N	3gram	Losev_Prob_5	UchenyiS
1	не может быть	2	4
2	с другой стороны	5	3
3	то же время	1	3
4	бы то ни	2	3
5	в то же	1	3
6	то ни было	1	3
7	в самом деле	1	2
8	но даже и	2	2
9	в этом смысле	3	2
10	до сих пор	2	2
11	в этом отношении	1	2
12	в том что	8	2
13	по крайней мере	4	2
14	и то что	3	2
15	и в частности	3	2
16	тех или иных	2	2
17	в конце концов	6	2
18	тот же автор	1	1
19	все что угодно	1	1
20	и в конце	1	1
21	или по крайней	1	1
22	конце концов не	1	1
23	нам представляется что	1	1
24	в своей работе	1	1
25	так или иначе	1	1
26	все же не	3	1
27	равно как и	2	1
28	в значительной мере	2	1
29	природе и в	1	1
30	никогда и не	1	1
31	сам по себе	1	1
32	не входит в	1	1
33	он и делает	1	1
34	все же остается	1	1
35	кого бы то	1	1
36	а не то	1	1
37	но это не	1	1
38	нам думается что	1	1
39	можно сказать что	3	1
40	на то что	2	1
41	художественного творчества то	2	1
42	что он и	2	1
43	говорить не о	1	1
44	в данном случае	2	1
45	но в то	1	1
46	не только в	1	1
47	с одной стороны	3	1
48	на первый взгляд	1	1
