N	2gram	Medvedev_V_1	Komedia
1	и в	2	26
2	и не	1	14
3	и его	1	12
4	в том	2	11
5	в этом	1	10
6	столь же	1	9
7	том что	2	9
8	ясно что	1	8
9	потому что	1	6
10	к этому	1	5
11	более чем	1	4
12	в самом	1	4
13	только в	1	4
14	так как	1	4
15	в частности	1	4
16	то же	1	3
17	в их	1	3
18	даже не	1	3
19	да и	1	3
20	все это	1	3
21	по поводу	1	3
22	в конце	2	2
23	так в	1	2
24	все время	1	2
25	ничуть не	1	2
26	хотя бы	1	2
27	говоря о	1	1
28	самом деле	1	1
29	один пример	1	1
30	чем больше	1	1
31	время в	1	1
32	гораздо более	1	1
33	юноши в	1	1
34	главным образом	1	1
35	в другом	1	1
36	поэтического творчества	1	1
37	том же	1	1
38	в устах	1	1
39	здесь достаточно	1	1
40	сводится к	1	1
41	других и	1	1
42	впрочем не	1	1
43	имеется в	1	1
44	от других	1	1
45	речи и	1	1
46	не одно	1	1
47	именно в	1	1
48	по существу	1	1
49	тем более	1	1
50	же все	1	1
