N	3gram	Nazirov_Tv_2	Russkaja
1	то же время	7	10
2	в то же	7	10
3	в том что	2	7
4	во всяком случае	2	6
5	до сих пор	3	5
6	не может быть	3	4
7	можно было бы	1	3
8	и не может	2	3
9	той или иной	1	3
10	точно так же	1	2
11	о том чтобы	1	2
12	и в том	1	2
13	того или иного	1	2
14	о том что	2	2
15	и в другом	1	2
16	в другом месте	1	1
17	в себе всегда	1	1
18	никогда не было	2	1
19	дело в том	1	1
20	в свою очередь	1	1
21	по отношению к	3	1
22	в самом деле	2	1
23	но как бы	1	1
24	в том числе	1	1
25	в том же	2	1
26	может быть назван	1	1
27	на точку зрения	1	1
28	только то что	1	1
29	для себя из	1	1
30	том числе и	1	1
31	на этот вопрос	2	1
32	по крайней мере	2	1
33	в применении к	1	1
34	и что в	1	1
35	но в то	1	1
36	тем что он	1	1
37	и от которого	1	1
38	только с этой	1	1
39	но при этом	1	1
40	и должно быть	1	1
41	и в этом	1	1
42	не только для	1	1
43	в связи с	1	1
44	тем что они	1	1
45	так же как	2	1
46	потому что они	1	1
47	одну и ту	1	1
48	приходит к сознанию	1	1
49	это и есть	1	1
50	с самого начала	1	1
51	он еще не	2	1
52	не должны вызывать	1	1
53	в нем самом	1	1
54	но ведь в	1	1
55	и ту же	1	1
56	самого себя если	1	1
57	чудесным образом в	1	1
58	и прежде всего	1	1
59	к тому же	1	1
60	полное представление о	1	1
