N	3gram	Medvedev_F_2	Otkroven
1	для того чтобы	3	3
2	что же это	1	2
3	и в этом	5	2
4	а не в	1	2
5	не может быть	10	2
6	но и в	3	2
7	не могут быть	4	2
8	с тем что	5	2
9	же это за	1	2
10	смысле этого слова	1	1
11	он в корне	1	1
12	как например в	1	1
13	не в том	3	1
14	а вовсе не	1	1
15	прежде всего в	2	1
16	в самом деле	5	1
17	и больше всего	1	1
18	ее как бы	1	1
19	находится в противоречии	1	1
20	не было и	2	1
21	рассказ ведется от	1	1
22	между этими двумя	2	1
23	и не может	3	1
24	во всяком случае	5	1
25	еще одну особенность	1	1
26	том случае если	1	1
27	сам по себе	3	1
28	в этом отношении	7	1
29	в этот период	1	1
30	и прежде всего	2	1
31	в том что	2	1
32	что не в	1	1
33	в первый период	5	1
34	и не в	2	1
35	в том случае	2	1
36	как и в	1	1
37	и в его	1	1
38	может быть что	1	1
