N	3gram	Ircho_Kome_1	EvropaiC
1	в том что	9	16
2	до сих пор	2	12
3	по отношению к	3	10
4	а между тем	1	7
5	более или менее	1	7
6	на то что	2	7
7	друг от друга	1	6
8	для того чтобы	1	6
9	в этой области	1	4
10	к тому же	5	4
11	с другой стороны	5	4
12	о том что	3	4
13	о которых мы	1	4
14	тем не менее	1	4
15	в конце концов	4	4
16	в том же	1	3
17	так же как	1	3
18	в данном случае	1	3
19	так или иначе	1	3
20	таким образом в	2	3
21	о которых идет	1	3
22	которых идет речь	1	3
23	не в состоянии	2	2
24	время от времени	1	2
25	том что он	4	2
26	что же касается	1	2
27	при этом что	2	2
28	бы то ни	2	2
29	то же время	4	2
30	вместе с тем	1	2
31	из того же	1	2
32	именно потому что	2	2
33	то ни было	2	2
34	с одной стороны	3	2
35	аргументы в пользу	1	2
36	во всяком случае	2	2
37	как и в	2	2
38	в то же	4	2
39	и в том	1	2
40	и в конце	1	1
41	хотя и не	1	1
42	мало или вовсе	1	1
43	конце концов в	1	1
44	то время как	4	1
45	не говоря уже	2	1
46	но при этом	1	1
47	то же самое	2	1
48	и тому же	1	1
49	говоря уже о	2	1
50	в зависимости от	1	1
51	представление о том	1	1
52	для этой цели	1	1
53	и в дальнейшем	1	1
54	а может быть	1	1
55	независимо от того	1	1
56	по тем же	1	1
57	зрения в истории	1	1
58	этих элементов и	1	1
59	между тем с	1	1
60	греческой и римской	1	1
61	именно в этой	1	1
62	в высшей степени	1	1
63	состоит в том	1	1
64	а сам не	1	1
65	как тот же	1	1
66	каждый из них	2	1
67	во всех отношениях	1	1
68	или вовсе не	1	1
69	и отличие от	1	1
70	том что они	1	1
71	что у него	1	1
72	со своей стороны	1	1
73	следить за тем	1	1
74	в тех случаях	1	1
75	и таким образом	2	1
76	малейшего намека на	1	1
77	что и сам	1	1
78	в то время	5	1
79	смысле этого слова	1	1
80	и все это	1	1
81	с самого начала	1	1
82	из этих элементов	1	1
83	которые могут быть	1	1
84	все это конечно	1	1
85	лицо к которому	1	1
86	тех случаях когда	1	1
87	в другом случае	1	1
88	в том числе	1	1
89	к тому что	1	1
90	как мы видели	1	1
91	идет речь в	1	1
92	мы уже знаем	1	1
93	несмотря на всю	3	1
94	одному и тому	1	1
