N	3gram	Voloshinov_1	UchenyiS
1	в конечном счете	1	4
2	не может быть	2	4
3	в то же	9	3
4	то же время	7	3
5	с другой стороны	1	3
6	в этом отношении	2	2
7	но даже и	1	2
8	в самом деле	1	2
9	в конце концов	3	2
10	тех или иных	3	2
11	до сих пор	1	2
12	хотя бы и	1	2
13	в том что	1	2
14	то же самое	4	2
15	по крайней мере	1	2
16	слово как таковое	1	1
17	художественное творчество и	2	1
18	они находятся в	1	1
19	не было бы	2	1
20	более или менее	1	1
21	не только в	3	1
22	ничего не значит	1	1
23	говорить не о	1	1
24	является только одним	1	1
25	мы имеем в	1	1
26	между тем в	1	1
27	не может обойтись	1	1
28	точном смысле этого	2	1
29	и в то	2	1
30	но в то	2	1
31	тем что он	1	1
32	и т.д в	1	1
33	в точном смысле	2	1
34	можно сказать что	2	1
35	равно как и	2	1
36	и не только	2	1
37	она должна была	1	1
38	в той же	3	1
39	само по себе	1	1
40	в этом случае	3	1
41	его и в	1	1
42	на первый взгляд	1	1
