N	2gram	Propp_Isto_6	Otkroven
1	у него	7	22
2	и в	26	19
3	но и	9	13
4	и не	10	13
5	в этом	12	12
6	человека в	2	11
7	не в	3	11
8	не только	10	11
9	может быть	11	11
10	а не	2	11
11	вопрос о	3	10
12	в нем	8	10
13	прежде всего	4	9
14	не было	3	9
15	никогда не	13	9
16	потому что	13	9
17	он был	2	8
18	и он	4	8
19	в его	5	7
20	он не	2	7
21	но он	2	7
22	от него	3	7
23	как и	5	6
24	все это	1	6
25	отношение к	1	5
26	в том	12	5
27	в этой	2	5
28	для него	1	5
29	него в	2	5
30	о его	1	5
31	а в	3	5
32	то что	6	5
33	с его	4	4
34	все эти	8	4
35	него и	3	4
36	на земле	4	4
37	в самую	1	4
38	что не	2	4
39	не может	6	4
40	т е	22	4
41	того чтобы	1	4
42	и его	7	4
43	что в	12	4
44	и есть	1	3
45	о том	7	3
46	еще не	9	3
47	к нему	1	3
48	было бы	2	3
49	того что	2	3
50	когда он	3	3
51	что он	9	3
52	и ее	3	3
53	в себе	3	3
54	о природе	1	3
55	и вот	3	3
56	не могут	1	3
57	для того	1	3
58	это не	4	3
59	чем на	1	3
60	никто не	2	3
61	могут быть	3	3
62	как бы	4	3
63	с ним	8	3
64	в русской	6	3
65	и от	3	3
66	в этих	2	3
67	в своих	3	3
68	все что	4	3
69	он прежде	1	2
70	и с	6	2
71	те которые	1	2
72	и то	3	2
73	в ее	1	2
74	этого мира	1	2
75	на западе	2	2
76	что у	2	2
77	так и	5	2
78	его не	2	2
79	ни у	1	2
80	и о	1	2
81	с чего	1	2
82	их не	1	2
83	и на	12	2
84	природы и	1	2
85	не все	1	2
86	что и	4	2
87	что они	2	2
88	в истории	1	2
89	же можно	3	2
90	никакого другого	1	2
91	в своем	2	2
92	и нет	1	2
93	все же	8	2
94	и к	1	2
95	в этот	1	2
96	с богом	1	2
97	и этим	5	2
98	он в	1	2
99	учение о	1	2
100	так что	3	2
101	уже в	1	2
102	одно из	1	2
103	он весь	1	2
104	так как	18	2
105	и никогда	1	2
106	этом мире	1	2
107	тем что	5	2
108	в других	4	2
109	этом он	1	2
110	в другом	1	2
111	и из	1	2
112	его в	5	2
113	сказать что	3	2
114	с тем	4	2
115	и очень	1	2
116	но никогда	1	2
117	чем в	1	2
118	том что	10	2
119	что есть	1	2
120	к этому	3	2
121	что же	2	2
122	и там	6	2
123	можно ли	1	2
124	своей жизни	1	2
125	не имеет	2	2
126	и для	1	2
127	ничего не	2	2
128	к ней	1	2
129	ли сказать	1	2
130	не есть	2	2
131	в своей	3	2
132	что все	1	2
133	к этой	1	2
134	хотя и	1	2
135	ее в	6	2
136	все еще	1	2
137	но в	7	2
138	бог и	1	1
139	и это	8	1
140	отношения к	1	1
141	также и	1	1
142	например в	7	1
143	с образом	1	1
144	и действительно	3	1
145	и через	3	1
146	связана с	3	1
147	с кем	1	1
148	на нем	1	1
149	не могу	1	1
150	руки в	1	1
151	между двумя	1	1
152	от жажды	1	1
153	к другому	1	1
154	говорится что	1	1
155	и до	2	1
156	не имеют	1	1
157	должна быть	3	1
158	и больше	2	1
159	и когда	1	1
160	можно было	2	1
161	не с	1	1
162	есть не	1	1
163	в борьбе	1	1
164	из которой	1	1
165	которая была	1	1
166	им самим	1	1
167	и каждый	1	1
168	не умирает	2	1
169	он до	1	1
170	мы не	6	1
171	том как	3	1
172	ту же	2	1
173	связан с	6	1
174	несколько в	1	1
175	если бы	3	1
176	что связано	1	1
177	потому ли	1	1
178	находится в	1	1
179	не вполне	2	1
180	его пути	2	1
181	другом месте	1	1
182	себе что	1	1
183	в ней	5	1
184	на примере	1	1
185	и что	5	1
186	после того	2	1
187	с того	1	1
188	все его	1	1
189	это была	1	1
190	нет у	1	1
191	но ничего	1	1
192	которого не	1	1
193	и вопрос	1	1
194	но не	2	1
195	то он	2	1
196	очень ясно	2	1
197	иногда и	1	1
198	отметить что	2	1
199	в древнем	1	1
200	говорит он	2	1
201	в форме	2	1
202	есть просто	1	1
203	уходят в	1	1
204	и можно	1	1
205	человек может	1	1
206	все время	2	1
207	в одной	2	1
208	может принимать	1	1
209	так для	1	1
210	как в	6	1
211	по содержанию	1	1
212	что как	1	1
213	стихии он	1	1
214	в частности	3	1
215	он что	1	1
216	один из	3	1
217	и как	2	1
218	с ними	2	1
219	ли он	1	1
220	с душой	1	1
221	от этого	3	1
222	за собой	5	1
223	духа в	1	1
224	этот случай	6	1
225	что это	2	1
226	между этими	1	1
227	представляет собой	2	1
228	за это	1	1
229	человека с	1	1
230	же и	1	1
231	есть уже	1	1
232	уже не	7	1
233	через ивана	1	1
234	ее как	1	1
235	на то	2	1
236	чтобы овладеть	1	1
237	еще одну	2	1
238	бы ни	1	1
239	что она	3	1
240	и других	3	1
241	после этого	4	1
242	его и	1	1
243	от которого	1	1
244	ключ к	1	1
245	мир в	1	1
246	уверены что	1	1
247	был бы	1	1
248	есть та	1	1
249	к одному	1	1
250	что нужно	1	1
251	в силу	1	1
252	в одном	3	1
253	месте и	1	1
254	нужна была	1	1
255	вовсе не	2	1
256	и сам	2	1
257	у нее	1	1
258	так часто	2	1
259	из него	2	1
260	людей и	2	1
261	от того	3	1
262	и достигает	1	1
263	же не	2	1
264	к солнцу	1	1
265	и даже	1	1
266	со стороны	3	1
267	как у	2	1
268	главное и	1	1
269	чтобы все	1	1
270	восток и	1	1
271	а именно	9	1
272	с той	1	1
273	а это	1	1
274	в свой	1	1
275	приходит в	2	1
276	в жизни	1	1
277	кажется что	2	1
278	в это	4	1
279	смерть и	2	1
280	и пр	1	1
281	в них	3	1
282	этого слова	1	1
283	она и	1	1
284	а с	2	1
285	попал в	3	1
286	на этот	1	1
287	попадает в	3	1
288	ведется от	1	1
289	о чем	2	1
290	в чистом	1	1
291	бога и	1	1
292	в мире	1	1
293	над его	1	1
294	под влиянием	1	1
295	в царстве	2	1
296	он и	2	1
297	в одно	2	1
298	не так	2	1
299	связь с	11	1
300	сторона его	1	1
301	видели в	2	1
302	начиная с	1	1
303	его как	1	1
304	как это	5	1
305	в котором	1	1
306	и почему	1	1
307	и требованиями	1	1
308	человеком и	2	1
309	оказывается что	1	1
310	он говорит	1	1
311	и идеалы	1	1
312	смысле этого	1	1
313	это есть	1	1
314	него человек	1	1
315	который всегда	1	1
316	тех которые	2	1
317	в мир	1	1
318	мотив в	1	1
319	всяком случае	2	1
320	видно что	2	1
321	и более	1	1
322	друг с	1	1
323	как от	1	1
324	что сам	1	1
325	это вопрос	1	1
326	их было	1	1
327	и формы	2	1
328	для тех	1	1
329	людей а	2	1
330	и здесь	1	1
331	но это	4	1
332	на своем	4	1
333	природу и	1	1
334	а иногда	1	1
335	отличается от	2	1
336	она не	3	1
337	того как	3	1
338	одна из	2	1
339	ее с	1	1
340	этими двумя	1	1
341	не случайно	1	1
342	указать на	1	1
343	в уме	1	1
344	подошел к	1	1
345	не существует	1	1
346	что иной	1	1
347	человека для	1	1
348	есть одно	1	1
349	может служить	1	1
350	он за	1	1
351	к одной	1	1
352	ее и	1	1
353	в форму	2	1
354	показывает нам	1	1
355	но еще	1	1
356	бы в	1	1
357	по своей	1	1
358	его он	1	1
359	он подошел	1	1
360	как будто	3	1
361	же всегда	1	1
362	еще ничего	1	1
363	ты не	1	1
364	но есть	3	1
365	не потому	3	1
366	с другом	1	1
367	перед ним	1	1
368	тысячи лет	1	1
369	всего мира	1	1
370	у нас	5	1
371	и эта	3	1
372	состоит из	1	1
373	враг и	2	1
374	не стал	1	1
375	та же	3	1
376	в свое	2	1
377	они всегда	1	1
378	души человеческой	1	1
379	его с	3	1
380	жизни и	2	1
381	будто бы	1	1
382	предстала перед	1	1
383	это так	1	1
384	бы он	1	1
385	во всяком	2	1
386	случае если	1	1
387	даже когда	2	1
388	от которой	1	1
