N	4gram	Vygotskiy__4	StatiiOP
1	в том что в	1	2
2	сомневаться в том что	1	2
3	бы то ни было	1	2
4	в том что он	1	2
5	если принять во внимание	1	2
6	свидетельствуют о том что	1	1
7	заключается в том что	13	1
8	принять во внимание что	1	1
9	точно так же как	1	1
10	одни и те же	3	1
11	одно и то же	6	1
12	как мы видели выше	1	1
13	одному и тому же	4	1
14	но вместе с тем	2	1
15	внимание на то что	1	1
16	в том смысле что	1	1
17	на то что в	1	1
18	и что он не	1	1
19	не говоря уже о	1	1
20	одним и тем же	3	1
