N	2gram	Medvedev_U_1	Tvorches
1	и в	14	21
2	в то	3	15
3	то же	5	13
4	в его	2	13
5	то есть	1	12
6	как и	3	12
7	же время	3	12
8	что в	1	12
9	с его	2	11
10	том что	2	11
11	все это	5	10
12	он не	1	8
13	то что	7	8
14	но в	3	7
15	не только	10	7
16	у него	1	7
17	и не	8	7
18	в том	2	7
19	в этом	7	6
20	в котором	1	6
21	о том	1	6
22	и все	1	6
23	что он	2	6
24	для него	3	6
25	отнюдь не	1	5
26	все же	3	5
27	в этой	4	5
28	таким образом	2	5
29	по нашему	3	5
30	только в	2	5
31	может быть	6	5
32	нашему мнению	3	5
33	а не	10	5
34	но это	2	5
35	это уже	2	5
36	хотя бы	5	5
37	человека и	1	4
38	конечном счете	4	4
39	в своем	1	4
40	это не	3	4
41	в своей	3	4
42	не случайно	2	4
43	в конечном	4	4
44	прежде всего	8	4
45	на эту	2	4
46	не может	7	4
47	одним из	2	4
48	той же	1	3
49	в самом	2	3
50	в нем	1	3
51	в россии	4	3
52	на его	1	3
53	что все	2	3
54	и с	2	3
55	достоевского и	1	3
56	далеко не	1	3
57	в их	4	3
58	никогда не	1	3
59	вот почему	7	3
60	того что	1	3
61	по мнению	1	3
62	уже не	1	3
63	в виде	1	3
64	в которой	1	3
65	и даже	1	3
66	с другой	4	3
67	но и	4	3
68	но не	2	3
69	не существует	1	3
70	но если	1	3
71	ее в	1	3
72	это в	1	3
73	вряд ли	3	2
74	самом деле	2	2
75	мировоззрения и	1	2
76	а как	2	2
77	в ней	1	2
78	не то	1	2
79	в себе	2	2
80	что она	2	2
81	у пушкина	1	2
82	о котором	1	2
83	в данном	1	2
84	не столько	2	2
85	не в	2	2
86	но он	1	2
87	по крайней	2	2
88	могут быть	2	2
89	является одним	1	2
90	отказаться от	1	2
91	в виду	1	2
92	данном случае	1	2
93	приводит к	1	2
94	так и	1	2
95	об этом	1	2
96	можно сказать	1	2
97	переходит в	1	2
98	что и	2	2
99	крайней мере	2	2
100	тот же	1	2
101	больше чем	1	2
102	в качестве	1	2
103	и у	2	2
104	в современном	1	2
105	что для	1	2
106	до конца	1	2
107	его как	1	2
108	в частности	3	2
109	надо было	2	2
110	время не	1	2
111	сказать что	1	2
112	к этому	1	2
113	литературы а	1	1
114	в сфере	1	1
115	же как	1	1
116	эта позиция	1	1
117	и через	2	1
118	из самых	1	1
119	сам автор	1	1
120	их и	2	1
121	мы имеем	1	1
122	но даже	2	1
123	этом плане	1	1
124	одно из	1	1
125	он был	1	1
126	нам представляется	2	1
127	бы то	3	1
128	к сожалению	3	1
129	мы снова	1	1
130	первый взгляд	1	1
131	в художественном	5	1
132	специфическая форма	1	1
133	что по	1	1
134	искусство и	1	1
135	в этот	1	1
136	при таком	2	1
137	всего лишь	1	1
138	бы и	2	1
139	формы в	3	1
140	он в	1	1
141	еще один	1	1
142	в известном	1	1
143	имеем в	1	1
144	связанные с	1	1
145	перестает быть	5	1
146	всех этих	2	1
147	в первую	1	1
148	не значит	1	1
149	что еще	1	1
150	что читатель	1	1
151	искусстве это	1	1
152	то ни	3	1
153	же не	2	1
154	это было	2	1
155	было бы	3	1
156	форму и	2	1
157	котором говорил	1	1
158	с тем	1	1
159	он и	1	1
160	в не	1	1
161	о которой	1	1
162	на первый	2	1
163	что такое	4	1
164	вспять к	1	1
165	не самый	1	1
166	толстого но	1	1
167	что этот	1	1
168	если нет	1	1
169	по себе	2	1
170	этой области	3	1
171	что с	1	1
172	что ему	1	1
173	у кого	1	1
174	в процессе	1	1
175	не вполне	1	1
176	он успел	1	1
177	еще л	1	1
178	и искусства	1	1
179	и делает	1	1
180	в области	3	1
181	у нас	3	1
182	не могут	2	1
183	содержание в	1	1
184	эдгар по	1	1
185	не есть	2	1
186	анализа в	1	1
187	она не	1	1
188	и это	1	1
189	важным и	1	1
190	в конце	2	1
191	но по	1	1
192	другой стороны	3	1
193	вверх ногами	1	1
194	не предмет	1	1
195	в таком	1	1
196	и что	1	1
197	религии и	1	1
198	все его	1	1
199	нас в	2	1
200	между тем	2	1
201	язык в	1	1
202	до предела	1	1
203	и действительно	1	1
204	метода не	1	1
205	с одной	1	1
206	для всех	2	1
207	то и	1	1
208	не все	2	1
209	а это	1	1
210	его и	2	1
211	но что	1	1
212	тем что	2	1
213	не обладает	1	1
214	даже и	2	1
215	резких и	1	1
216	не было	1	1
217	понимая под	1	1
218	до сих	2	1
219	для этого	3	1
220	было и	1	1
221	у других	1	1
222	превращается в	2	1
223	одной стороны	1	1
224	о чем	2	1
225	него не	1	1
226	свой опыт	1	1
227	развитие в	1	1
228	что же	1	1
229	находятся в	1	1
230	и всей	1	1
231	это значит	1	1
232	л толстой	1	1
233	материал для	2	1
234	художественное произведение	5	1
235	сих пор	2	1
236	только для	1	1
237	же самое	2	1
238	как раз	2	1
239	вне его	1	1
240	процессе художественного	1	1
241	искусства как	2	1
242	в точном	1	1
243	начала и	1	1
244	еще раз	1	1
245	тем более	1	1
246	конце концов	2	1
247	все они	2	1
248	ни было	3	1
249	же в	1	1
250	в искусстве	6	1
251	тезис о	1	1
252	и содержание	1	1
253	и свое	1	1
254	только как	1	1
255	равно как	1	1
256	природе и	1	1
257	о литературе	1	1
258	первую очередь	1	1
259	о нем	1	1
260	художественного творчества	5	1
261	с самим	1	1
