N	2gram	Tiupa_Anal_1	Hudozhes
1	в мире	8	23
2	в качестве	31	19
3	то есть	11	18
4	состоит в	11	16
5	и не	21	16
6	не только	15	15
7	и в	18	15
8	в том	27	15
9	модуса художественности	1	13
10	тогда как	14	13
11	может быть	29	13
12	в частности	19	13
13	при этом	12	12
14	и его	5	12
15	а в	9	12
16	но не	10	11
17	в этом	13	11
18	в себе	11	11
19	художественного текста	12	11
20	я в	3	11
21	эстетического отношения	8	11
22	то же	9	10
23	по отношению	6	10
24	представляет собой	16	10
25	как бы	5	10
26	так и	4	10
27	а не	17	10
28	отношению к	5	10
29	но и	17	10
30	такого рода	5	9
31	литературного произведения	41	9
32	точки зрения	6	9
33	в его	13	9
34	в рамках	3	8
35	своего рода	3	8
36	сводится к	5	8
37	произведение искусства	9	8
38	себя в	6	8
39	знаковой системы	1	8
40	в душе	1	8
41	присутствия в	2	8
42	я и	6	7
43	отличие от	6	7
44	но в	8	7
45	в принципе	8	7
46	внутренней речи	5	7
47	в отличие	6	7
48	в то	9	7
49	или иной	6	7
50	с другой	4	7
51	в искусстве	2	7
52	с его	3	6
53	отношение к	2	6
54	эмоциональная рефлексия	1	6
55	объектной организации	2	6
56	художественного письма	2	6
57	том что	12	6
58	не в	14	6
59	в основе	6	6
60	же время	6	6
61	по своей	6	6
62	в ее	1	6
63	в состав	3	6
64	не сводится	2	6
65	в тексте	5	6
66	не может	22	6
67	что в	5	6
68	в их	5	5
69	более или	1	5
70	в самом	6	5
71	то что	6	5
72	художественной реальности	14	5
73	не предполагает	2	5
74	ни в	4	5
75	художественного творчества	2	5
76	я есть	2	5
77	тем самым	7	5
78	коммуникативного события	14	5
79	могут быть	4	5
80	той или	6	5
81	внутреннего зрения	1	5
82	можно сказать	2	5
83	а также	3	5
84	того что	4	5
85	и одновременно	3	5
86	только в	6	5
87	уже не	4	5
88	и т.п	5	5
89	между ними	1	5
90	другой стороны	2	5
91	субъектной организации	3	5
92	или менее	1	5
93	я с	1	5
94	в нем	3	5
95	присутствия я	1	5
96	отношения к	2	4
97	и то	2	4
98	мы имеем	6	4
99	место в	3	4
100	высказывания в	1	4
101	еще не	3	4
102	а только	1	4
103	внутреннего я	4	4
104	как к	2	4
105	кто говорит	1	4
106	хотя и	1	4
107	сознания в	4	4
108	и как	5	4
109	он не	3	4
110	креативная компетенция	1	4
111	без исключения	1	4
112	в другом	4	4
113	самим собой	2	4
114	и тем	1	4
115	личностного присутствия	1	4
116	в этих	1	4
117	в ходе	3	4
118	в своей	6	4
119	не столько	2	4
120	эстетический объект	6	4
121	личности в	3	4
122	эстетического объекта	11	4
123	говоря словами	1	4
124	знакового материала	3	4
125	и т.д	1	4
