N	4gram	Vinokur_Ku_3	Freidism
1	в то же время	1	4
2	одной и той же	1	3
3	один и тот же	2	3
4	и не может быть	1	2
5	в зависимости от того	3	2
6	в собственном смысле слова	1	1
7	собственном смысле этого слова	1	1
8	и тот же объект	1	1
9	одна на другую и	1	1
10	во что бы то	1	1
11	который в данном случае	1	1
12	в самом деле ведь	1	1
13	в то время когда	1	1
14	и не могут быть	1	1
15	и пр и пр	1	1
16	а может быть и	1	1
17	и тем не менее	3	1
18	я не сомневаюсь что	1	1
19	что бы то ни	1	1
20	в самом деле откуда	1	1
21	бы то ни стало	1	1
22	ни в коем случае	1	1
23	может повлечь за собой	1	1
24	зависимости от того в	1	1
