N	4gram	Bakhtin_Pr_3	Russkaja
1	в то же время	12	10
2	и в том и	1	2
3	и вместе с тем	1	2
4	том и в другом	1	2
5	в том и в	1	2
6	для него прежде всего	1	1
7	одного и того же	1	1
8	но на самом деле	4	1
9	и во всяком случае	1	1
10	именно с точки зрения	1	1
11	и прежде всего в	1	1
12	во всяком случае не	1	1
13	бы то ни было	4	1
14	ни того ни другого	1	1
15	тем что он на	1	1
16	он на самом деле	1	1
17	но в то же	3	1
18	с самим собой не	1	1
19	несмотря на то что	1	1
20	что он на самом	1	1
21	с самим собой и	1	1
