N	2gram	Medvedev_F_1	SlovoVZh
1	не может	16	16
2	может быть	14	14
3	точки зрения	16	14
4	как бы	6	13
5	и его	10	13
6	таким образом	13	12
7	и в	24	12
8	по отношению	4	11
9	в нашем	2	11
10	отношению к	4	11
11	и не	20	10
12	если бы	4	9
13	так как	1	9
14	прежде всего	22	8
15	художественного произведения	23	7
16	нашем примере	1	7
17	сказать что	1	7
18	для нас	1	7
19	в ней	10	6
20	в том	6	6
21	только в	2	6
22	при этом	5	6
23	к содержанию	1	6
24	с помощью	3	6
25	в нем	14	6
26	все время	2	6
27	в процессе	9	6
28	должна быть	7	5
29	то же	10	5
30	можно сказать	1	5
31	мы ни	2	5
32	отнюдь не	6	5
33	как в	8	5
34	но в	5	5
35	и др	5	5
36	в жизни	3	5
37	а не	10	5
38	художественной формы	2	5
39	как и	11	5
40	том что	1	5
41	к предмету	1	5
42	никогда не	4	5
43	хотя бы	5	5
44	то что	8	5
45	к материалу	1	4
46	на самом	7	4
47	зависимости от	3	4
48	литературы и	2	4
49	социального общения	6	4
50	как если	2	4
51	к нему	1	4
52	за пределы	2	4
53	в литературе	5	4
54	в этом	15	4
55	все же	3	4
56	в самом	5	4
57	уже не	2	4
58	не только	7	4
59	ни было	2	4
60	отношение к	3	4
61	от того	2	4
62	так и	18	4
63	материала и	3	4
64	с другой	5	4
65	что не	1	4
66	не в	8	4
67	его в	3	4
68	и является	2	4
69	и к	4	4
70	жизни и	7	4
71	и на	8	4
72	художественном произведении	3	3
73	здесь не	3	3
74	самом деле	6	3
75	формы и	5	3
76	в котором	1	3
77	в пределах	6	3
78	ясно что	3	3
79	еще не	6	3
80	мы не	3	3
81	социальной группы	4	3
82	социологической поэтики	15	3
83	бы то	3	3
84	но и	7	3
85	между тем	2	3
86	точка зрения	2	3
87	того что	5	3
88	в художественном	3	3
89	быть и	4	3
90	когда он	3	3
91	и наконец	3	3
92	и ее	10	3
93	все эти	6	3
94	только на	5	3
95	конечно не	4	3
96	в себе	3	3
97	для него	3	3
98	отражает в	1	3
99	он должен	3	3
100	внутренней речи	1	3
101	воздействует на	1	3
102	и по	1	3
103	то ни	3	3
104	и с	8	3
105	до сих	6	3
106	ни в	2	3
107	и пр	17	3
108	в них	3	3
109	и уже	1	3
