N	3gram	Tiupa_Narr_1	Komedia
1	к тому же	5	10
2	обращает на себя	3	5
3	на себя внимание	3	5
4	в том что	5	5
5	едва ли не	1	5
6	о том что	2	4
7	для того чтобы	3	4
8	на этот раз	1	4
9	и столь же	1	3
10	в том числе	1	3
11	то же время	4	3
12	по отношению к	3	3
13	в то же	4	3
14	в связи с	2	3
15	с одной стороны	1	2
16	к этому времени	1	2
17	бы то ни	1	2
18	друг с другом	1	2
19	речь идет о	3	2
20	что у него	1	2
21	в ответ на	1	2
22	до сих пор	2	2
23	то ни было	1	2
24	в той же	1	2
25	к тому что	1	2
26	в частности в	1	2
27	в поле зрения	1	2
28	в самом начале	1	2
29	только потому что	1	2
30	в нем не	1	2
31	в отличие от	2	2
32	во всяком случае	2	2
33	то что не	1	1
34	что у нее	2	1
35	на протяжении всего	1	1
36	и еще более	1	1
37	связи с этим	1	1
38	ни о чем	1	1
39	в том случае	1	1
40	одна из них	1	1
41	всю свою жизнь	1	1
42	но и здесь	1	1
43	и в то	1	1
44	как это было	1	1
45	как будто он	1	1
46	той же мере	1	1
47	с другой стороны	1	1
48	но все же	1	1
49	имеем дело с	2	1
50	том что именно	1	1
51	само по себе	1	1
52	том случае если	1	1
53	и та же	1	1
54	в первом случае	3	1
55	этих двух наиболее	1	1
56	но в этом	1	1
57	до нас в	1	1
58	в этой связи	1	1
59	не только в	6	1
60	более или менее	1	1
61	то хотя бы	1	1
62	той или иной	4	1
63	и в самом	1	1
64	действующих лиц сюжетной	1	1
65	как мы видели	1	1
66	себя внимание что	1	1
67	в самом деле	2	1
68	точно так же	1	1
69	одна и та	1	1
70	но и в	2	1
71	с точки зрения	1	1
72	друг от друга	1	1
73	потому что в	1	1
74	мы имеем дело	2	1
75	так и не	2	1
76	том числе и	1	1
77	тем не менее	3	1
78	в свою очередь	2	1
79	в соответствии с	4	1
80	не может быть	4	1
