N	3gram	Propp_Isto_1	VrazhdaK
1	в связи с	3	3
2	но в то	1	2
3	не может быть	7	2
4	в том что	4	2
5	и в ней	3	1
6	и уже по	1	1
7	равно как и	1	1
8	в этом смысле	1	1
9	в соответствии с	1	1
10	что это за	3	1
11	до сих пор	5	1
12	ему нужно было	1	1
13	при этом он	1	1
14	в этом отношении	1	1
15	точно так же	3	1
16	в это время	1	1
17	о том как	1	1
18	едва ли не	1	1
19	так же как	2	1
20	его отношения к	1	1
21	и что он	1	1
22	но в целом	1	1
23	на первый взгляд	2	1
24	и в этом	1	1
25	что в жизни	1	1
26	все же не	2	1
27	с другой стороны	5	1
28	потому что исследователи	1	1
29	тем не менее	6	1
30	что они не	1	1
31	в то время	3	1
32	ли не самым	1	1
33	о том что	3	1
34	он как бы	1	1
35	на то что	4	1
