N	3gram	Berdyaev_O_1	Tvorches
1	в романах достоевского	3	12
2	преступлении и наказании	3	10
3	в преступлении и	3	10
4	в братьях карамазовых	1	6
5	о великом инквизиторе	6	3
6	записках из подполья	3	3
7	в записках из	3	3
8	легенда о великом	2	3
9	не может быть	2	3
10	о том что	1	2
11	преступления и наказания	1	2
12	с иваном карамазовым	1	2
13	он еще не	1	2
14	в дневнике писателя	2	2
15	у достоевского нет	1	2
16	в том что	1	2
17	и не может	1	2
18	не в силах	1	2
19	в своих романах	1	2
20	в самом деле	1	2
21	записки из подполья	1	2
22	никогда не было	2	2
23	во всяком случае	1	2
24	достоевским в идиоте	1	1
25	достоевского преступление и	1	1
26	у достоевского есть	1	1
27	том что в	1	1
28	о том как	1	1
29	униженные и оскорбленные	1	1
30	записок из подполья	5	1
31	в другом месте	1	1
32	достоевского нет ничего	1	1
33	и в этом	2	1
34	всегда и везде	1	1
35	и в том	1	1
36	и никогда не	2	1
37	ничего не делает	1	1
38	в противоречии с	1	1
39	потому что в	1	1
40	кто бы он	1	1
41	как и в	1	1
42	удар за ударом	1	1
43	и прежде всего	1	1
44	у достоевского всегда	1	1
45	приходит в голову	1	1
46	в этот период	1	1
47	он ни был	1	1
48	бытия но достоевский	1	1
49	бога и дьявола	1	1
50	романов достоевского в	1	1
51	достоевский так и	1	1
52	преступление и наказание	1	1
53	как будто бы	1	1
54	может быть назван	1	1
55	что он был	1	1
56	у достоевского не	1	1
57	не могут быть	2	1
58	достоевского не могут	1	1
59	на западе но	2	1
60	н к михайловского	1	1
61	что творчество достоевского	1	1
62	что у него	2	1
63	бы он ни	1	1
64	нет ничего кроме	2	1
65	в нем нет	3	1
66	человека в его	2	1
67	не так как	1	1
68	и ивана карамазова	2	1
69	так и не	1	1
70	и он всегда	1	1
71	не приходит в	1	1
72	в каждом из	1	1
73	о человеке которая	1	1
74	его образ и	1	1
75	хотя и не	1	1
76	и в преступлении	1	1
