N	2gram	Kanaev_Sov_1	Analitik
1	в этом	7	18
2	не только	4	16
3	и в	7	16
4	как и	6	14
5	и не	6	12
6	том что	1	12
7	в том	4	12
8	при этом	3	10
9	могут быть	2	10
10	а не	3	10
11	как бы	4	10
12	в этой	3	9
13	ничего не	6	9
14	и даже	2	9
15	в целом	4	8
16	в данном	1	8
17	не случайно	1	8
18	и т.п	1	8
19	отнюдь не	3	8
20	о том	1	7
21	в себе	3	7
22	в самом	2	6
23	но в	3	6
24	в мире	1	6
25	говорить о	2	6
26	может быть	12	6
27	с другой	1	6
28	и к	3	5
29	данном случае	1	5
30	с одной	2	5
31	того же	1	4
32	между двумя	1	4
33	по преимуществу	1	4
34	но не	1	4
35	по отношению	1	4
36	в своем	1	4
37	хотя и	1	4
38	он в	3	4
39	на этом	2	4
40	то же	3	4
41	точки зрения	12	4
42	не в	3	4
43	в конце	3	4
44	только не	1	4
45	не менее	2	4
46	во всех	1	4
47	только в	1	4
48	и его	1	4
49	уже не	2	4
50	у него	2	4
51	одной стороны	1	4
52	не может	17	4
53	и особенно	1	4
54	этом случае	1	4
55	все это	3	4
56	в один	2	4
57	отношению к	1	4
58	на две	3	3
59	в конечном	1	3
60	мы имеем	1	3
61	в нашем	2	3
62	на его	2	3
63	и если	1	3
64	несмотря на	1	3
65	в эту	1	3
66	тем не	2	3
67	по крайней	1	3
68	никогда не	1	3
69	ни о	1	3
70	той или	1	3
71	как мы	2	3
72	приводит к	2	3
73	можно было	1	3
74	в результате	6	3
75	если бы	1	3
76	и т.д	3	3
77	одного из	1	3
78	крайней мере	1	3
79	и все	3	3
80	одной из	1	3
81	из них	4	3
82	только на	1	3
83	или иной	2	3
84	именно в	1	3
85	было бы	3	3
86	или в	1	3
87	прежде всего	5	3
88	а в	4	3
89	не знает	1	3
90	в действительности	1	3
91	и до	1	2
92	той же	2	2
93	имеют место	1	2
94	а далее	1	2
95	еще не	3	2
96	конечном счете	1	2
97	отличие от	2	2
98	о жизни	2	2
99	вследствие этого	1	2
100	он не	1	2
101	что она	3	2
102	таким образом	11	2
103	а затем	1	2
104	что все	2	2
105	на этой	3	2
106	обоих случаях	1	2
107	этом смысле	1	2
108	в споре	1	2
109	по себе	1	2
110	жизни но	1	2
111	еще в	1	2
112	с точки	5	2
113	в отличие	2	2
114	но эта	1	2
115	она не	1	2
116	что с	1	2
117	в обоих	1	2
118	в то	1	2
119	не имеет	1	2
120	на котором	2	2
121	же время	1	2
122	роль в	2	2
123	с ее	1	2
124	те же	1	2
125	это только	1	2
126	с ним	1	2
127	что в	2	2
128	его в	1	2
129	и во	2	2
130	в два	3	2
131	в его	2	2
132	и ответственности	1	2
133	вообще и	1	2
134	один из	1	2
135	целого и	1	2
136	и их	1	2
137	ведь это	3	2
138	в одном	3	2
139	вовсе не	1	2
140	здесь в	1	2
141	может ли	1	2
142	на этот	2	2
143	вместе с	4	2
144	так же	1	2
145	такого рода	2	2
146	по существу	1	2
147	и для	1	2
148	при таком	3	2
149	еще более	2	2
150	сказать что	1	2
151	все что	1	2
152	внешнего слоя	1	2
153	к этому	1	2
154	в таком	2	2
155	и наиболее	1	1
156	как известно	2	1
157	с жизнью	1	1
158	самом деле	2	1
159	идет о	1	1
160	между всеми	2	1
161	здесь и	1	1
162	в первом	3	1
163	к другому	1	1
164	по его	1	1
165	мы уже	1	1
166	их и	1	1
167	есть не	1	1
168	принадлежит только	1	1
169	именно к	1	1
170	что иное	1	1
171	нечего делать	1	1
172	то его	1	1
173	иное как	1	1
174	быть в	1	1
175	мы надеемся	1	1
176	совсем не	1	1
177	то он	1	1
178	и будет	2	1
179	один и	1	1
180	не принимает	1	1
181	независимо от	1	1
182	и наконец	5	1
183	и тот	1	1
184	тем же	2	1
185	следующим образом	3	1
186	не приходится	1	1
187	в которой	2	1
188	все эти	5	1
189	из этих	2	1
190	более в	1	1
191	которые в	1	1
192	и действительное	1	1
193	с ю	1	1
194	в известном	1	1
195	и те	1	1
196	но ведь	1	1
197	как он	3	1
198	в наших	3	1
199	так сказать	2	1
200	быть только	1	1
201	в нем	3	1
202	к одному	1	1
203	у читателя	1	1
204	свое время	1	1
205	и по	2	1
206	человека в	1	1
207	чем при	1	1
208	в каждом	8	1
209	что такой	1	1
210	времени и	2	1
211	это не	4	1
212	каждого из	2	1
213	что один	1	1
214	в ином	1	1
215	только одно	1	1
216	ни в	1	1
217	все равно	1	1
218	этого не	1	1
219	которой он	2	1
220	всегда и	1	1
221	такой же	2	1
222	обратимся к	1	1
223	но если	1	1
224	и при	1	1
225	таким же	1	1
226	в такой	1	1
227	это делает	1	1
228	времени не	1	1
229	и более	1	1
230	мере в	1	1
231	ни одна	2	1
232	зрения и	1	1
233	и вся	1	1
234	раз и	1	1
235	играть в	1	1
236	все три	1	1
237	одна из	3	1
238	но только	1	1
239	он с	1	1
240	только и	1	1
241	жизни не	1	1
242	этих двух	2	1
243	связи с	1	1
244	чем объясняется	1	1
245	с другом	2	1
246	и несколько	1	1
247	у нас	3	1
248	которых он	1	1
249	отличается от	3	1
250	же самое	2	1
251	что при	2	1
252	если же	2	1
253	и тогда	1	1
254	то она	1	1
255	такой фактор	1	1
256	свою очередь	2	1
257	в совершенно	1	1
258	поэтому в	1	1
259	из одного	2	1
260	и соответственно	1	1
261	в другом	1	1
262	определенным образом	1	1
263	но мы	3	1
264	и что	2	1
265	отдельном случае	5	1
266	что его	1	1
267	все его	1	1
268	может не	3	1
269	в которую	2	1
270	к нему	1	1
271	с его	1	1
272	где у	1	1
273	меньше и	1	1
274	другого для	1	1
275	известном смысле	1	1
276	мы видим	2	1
277	тот же	2	1
278	в какой	1	1
279	реагирует на	1	1
280	все они	1	1
281	одни и	1	1
282	этот вопрос	1	1
283	уже в	3	1
284	то и	2	1
285	в следующих	1	1
286	в начале	1	1
287	именно та	1	1
288	его и	1	1
289	этот раз	1	1
290	который как	2	1
291	пока не	1	1
292	сами по	1	1
293	так как	4	1
294	как его	1	1
295	появление в	1	1
296	и речи	1	1
297	мы это	1	1
298	и из	1	1
299	как у	1	1
300	на ее	1	1
301	нельзя сказать	1	1
302	каждом отдельном	5	1
303	в свою	2	1
304	только к	1	1
305	означало бы	1	1
306	не погиб	1	1
307	не допускает	1	1
308	в связи	1	1
309	и потому	3	1
310	свою собственную	2	1
311	стороны и	1	1
312	друг с	2	1
313	что же	5	1
314	еще раз	1	1
315	в любом	1	1
316	на которой	1	1
317	скажем в	2	1
318	при условии	1	1
319	случае он	1	1
320	не является	1	1
321	а все	3	1
322	другое дело	1	1
323	человек и	1	1
324	но отнюдь	1	1
325	себя самого	1	1
326	для нас	3	1
327	или нет	1	1
328	мы должны	4	1
329	но это	1	1
330	силы в	1	1
331	же в	1	1
332	могли быть	1	1
333	в системе	3	1
334	зрения может	1	1
335	а о	1	1
336	состоит из	3	1
337	совершенно не	2	1
338	не что	1	1
339	в свое	1	1
340	ли он	1	1
341	есть то	1	1
342	самое что	1	1
343	на это	1	1
344	просто не	1	1
345	они относятся	1	1
346	значение в	2	1
347	из многих	1	1
