N	2gram	Berdyaev_O_1	RusskieA
1	и в	19	36
2	не только	11	22
3	что в	4	19
4	том что	2	19
5	т е	4	17
6	в том	5	17
7	но и	13	16
8	так как	2	15
9	в этом	12	12
10	в других	2	11
11	как и	6	10
12	в этот	2	10
13	потому что	9	10
14	это не	3	10
15	и на	2	10
16	а в	5	9
17	как это	1	8
18	с тем	2	8
19	может быть	11	8
20	у нас	1	8
21	один из	1	8
22	о том	3	8
23	из них	1	8
24	что они	2	7
25	так и	2	7
26	и других	1	7
27	что и	2	7
28	в них	1	6
29	видно что	1	6
30	мы не	1	6
31	то что	5	6
32	не имеет	2	6
33	и не	13	6
34	будто бы	1	6
35	уже не	1	6
36	все это	6	6
37	все же	2	5
38	иногда и	1	5
39	как в	1	5
40	с ними	1	5
41	того как	1	5
42	одно из	2	5
43	как будто	1	5
44	как бы	3	5
45	еще не	3	4
46	в русском	1	4
47	в эти	1	4
48	а иногда	1	4
49	того что	3	4
50	в первый	1	4
51	в россии	5	4
52	после этого	1	4
53	представляет собой	1	4
54	его с	1	4
55	а с	1	4
56	тем что	2	4
57	одна из	1	4
58	и что	1	4
59	к этому	2	4
60	не может	4	4
61	но это	1	4
62	и из	2	3
63	христа и	1	3
64	в разных	1	3
65	как например	1	3
66	говорится что	1	3
67	думать что	1	3
68	этого слова	1	3
69	что это	1	3
70	в одном	1	3
71	в это	1	3
72	не с	1	3
73	в этих	3	3
74	и к	2	3
75	русского народа	2	3
76	в древнем	1	3
77	ничего не	2	3
78	о чем	1	3
79	на этот	1	3
80	начиная с	1	3
81	по содержанию	1	3
82	в своем	2	3
83	все эти	4	2
84	и здесь	1	2
85	и с	2	2
86	но есть	1	2
87	в частности	1	2
88	друг к	1	2
89	на западе	2	2
90	и для	2	2
91	у которых	1	2
92	не было	9	2
93	после того	1	2
94	христа в	1	2
95	в жизни	1	2
96	с ним	3	2
97	в каждом	1	2
98	что у	2	2
99	в нем	10	2
100	его и	1	2
101	та же	1	2
102	у него	22	2
103	но тем	1	2
104	когда он	3	2
105	но не	1	2
106	же не	1	2
107	его как	1	2
108	например в	1	2
109	но в	2	2
110	на самом	1	2
111	к ней	2	2
112	хотя и	2	2
113	в его	7	2
114	между двумя	1	2
115	так что	2	2
116	они и	1	2
117	интерес к	1	2
118	в силу	1	2
119	природы и	2	2
120	находится в	1	2
121	до конца	7	2
122	и потому	2	2
123	подойти к	2	2
124	к другу	1	2
125	ii в	1	2
126	за все	2	2
127	могут быть	3	2
128	и до	1	2
129	чем у	1	2
130	она не	1	2
131	в своих	3	2
132	не случайно	1	2
133	очень ясно	1	2
134	к другому	1	2
135	чем в	2	2
136	а не	11	2
137	в ней	1	2
138	и пр	1	2
139	что она	1	2
140	и как	1	2
141	и более	1	2
142	их не	2	2
143	он был	8	2
144	в себе	3	1
145	христова и	1	1
146	это подтверждается	1	1
147	в форме	1	1
148	с великим	1	1
149	ты не	1	1
150	жизни человека	1	1
151	во всяком	1	1
152	благополучия и	1	1
153	вопрос о	10	1
154	что их	1	1
155	в одно	1	1
156	и его	4	1
157	жизни и	1	1
158	и самый	1	1
159	говорит о	1	1
160	от этого	1	1
161	но оно	1	1
162	все можно	1	1
163	может служить	1	1
164	в культурном	1	1
165	что пишет	1	1
166	уже в	2	1
167	был еще	2	1
168	и ее	3	1
169	на свободу	1	1
170	в народном	1	1
171	и действительно	1	1
172	должна быть	1	1
173	это часто	1	1
174	что не	4	1
175	видели в	1	1
176	не оставляет	1	1
177	и все	10	1
178	на то	1	1
179	не по	1	1
180	к нему	3	1
181	и это	1	1
182	не так	1	1
183	сам и	1	1
184	и без	1	1
185	от него	7	1
186	но можно	1	1
187	друг с	1	1
188	с трудом	1	1
189	с другом	1	1
190	мыслей в	1	1
191	иначе чем	1	1
192	бы ни	1	1
193	когда будет	1	1
194	и он	8	1
195	что было	1	1
196	его в	2	1
197	и всех	1	1
