N	2gram	Medvedev_F_3	VeschiIm
1	не есть	4	49
2	т е	32	42
3	не может	24	33
4	не только	9	31
5	может быть	25	29
6	и не	30	28
7	и в	27	26
8	вещи и	1	24
9	то что	8	24
10	это значит	2	22
11	и т	11	21
12	т д	6	20
13	а не	17	20
14	не просто	1	18
15	и следовательно	3	15
16	в смысле	4	15
17	что она	2	14
18	только в	8	14
19	по себе	4	13
20	и что	3	13
21	того что	3	13
22	и то	1	12
23	есть не	1	12
24	все же	6	12
25	в себя	1	12
26	что это	3	12
27	было бы	6	12
28	и ее	6	12
29	но и	10	12
30	сказать что	3	12
31	а и	3	11
32	таким образом	18	11
33	что же	5	11
34	то же	15	10
35	в ней	5	10
36	не значит	2	10
37	как бы	8	10
38	потому что	7	10
39	уже не	3	10
40	что мы	1	10
41	бы то	4	9
42	в самом	11	9
43	то ни	4	9
44	и с	3	9
45	в том	7	9
46	еще и	1	9
47	прежде всего	4	9
48	ни было	5	9
49	с ее	2	8
50	в себе	3	8
51	на то	1	8
52	смысл и	4	8
53	и это	2	8
54	ничего не	2	8
55	она есть	3	8
56	но это	2	8
57	вещь не	1	7
58	говорить о	2	7
59	в этом	18	7
60	не будет	1	7
61	его в	7	7
62	с другими	1	7
63	том что	4	7
64	в то	7	7
65	себя в	1	7
66	и их	5	7
67	так как	9	7
68	как раз	8	7
69	и пр	15	7
70	смысла и	4	7
71	от всего	1	7
72	е в	1	7
73	совершенно не	7	7
74	со стороны	4	6
75	что они	5	6
76	и как	4	6
77	но в	6	6
78	бы и	3	6
79	одно и	1	6
80	что является	1	6
81	точки зрения	16	6
82	но если	2	6
83	необходимо чтобы	2	6
84	с ним	1	6
85	она не	4	6
86	оно есть	1	6
87	отличается от	2	6
88	можно было	1	6
89	ясно что	3	6
90	должно быть	1	6
91	и только	2	6
92	так что	1	6
93	если мы	7	6
94	ни с	2	6
95	для него	1	6
96	быть только	2	6
97	в результате	5	6
98	жизни и	4	6
99	что в	8	6
100	того же	3	5
101	это и	2	5
102	и до	1	5
103	ведь и	1	5
104	в сущности	2	5
105	но не	5	5
106	отнюдь не	8	5
107	чем же	2	5
