N	2gram	Bakhtin_KF_1	UchenyiS
1	и в	24	14
2	а не	17	10
3	не только	5	10
4	прежде всего	2	8
5	и не	26	8
6	не может	27	7
7	в этом	14	7
8	то что	7	7
9	может быть	45	6
10	в искусстве	1	6
11	то же	5	5
12	и только	6	5
13	все это	10	5
14	хотя бы	4	5
15	перестает быть	1	5
16	художественного творчества	1	5
17	но и	9	4
18	в их	8	4
19	в конечном	1	4
20	конечном счете	1	4
21	в этой	2	4
22	конечно не	7	4
23	то ни	2	3
24	и то	2	3
25	это не	10	3
26	было бы	8	3
27	как и	5	3
28	для этого	2	3
29	в своей	10	3
30	и т.д	2	3
31	бы то	2	3
32	в то	3	3
33	все же	5	3
34	но в	5	3
35	не следует	1	3
36	же время	2	3
37	в области	2	3
38	только к	1	3
39	для него	8	3
40	не как	4	3
41	ни было	4	3
42	не о	2	3
43	что все	1	2
44	же не	1	2
45	именно как	1	2
46	и с	1	2
47	а как	2	2
48	это было	2	2
49	самом деле	3	2
50	форму и	1	2
51	противном случае	1	2
52	должна быть	4	2
53	превращается в	1	2
54	мы не	3	2
55	если бы	8	2
56	что мы	1	2
57	ничего не	3	2
58	как таковой	1	2
59	если не	2	2
60	том что	4	2
61	сводится к	2	2
62	но конечно	3	2
63	с его	1	2
64	но не	12	2
65	в его	40	2
66	что и	7	2
67	по себе	2	2
68	более чем	1	2
69	но это	6	2
70	этом смысле	3	2
71	в противном	1	2
72	в том	6	2
73	это уже	2	2
74	и для	9	2
75	что он	2	2
76	в себе	21	2
77	при таком	1	2
78	в самом	1	2
79	между тем	4	2
80	только в	16	2
81	не в	12	2
82	все они	1	2
83	не есть	20	2
84	приходится признать	1	2
85	его и	2	2
86	бы и	3	2
87	всех этих	3	2
88	представляется нам	1	2
89	их и	1	2
90	могут быть	3	2
91	смысле этого	1	2
92	же самое	1	2
93	как раз	1	2
94	тем что	3	2
95	что она	1	2
96	т.е в	1	2
97	для себя	5	1
98	и это	12	1
99	единицы и	1	1
100	как таковым	1	1
101	об этом	1	1
102	теоретические и	1	1
103	связанных с	1	1
104	не делает	1	1
105	архитектоники в	1	1
106	отвлеченное от	1	1
107	в этот	1	1
108	то есть	1	1
109	в виду	3	1
110	по методу	1	1
111	входит в	3	1
112	только при	1	1
113	к следующему	1	1
114	не случайной	1	1
115	было и	2	1
116	и теоретической	1	1
117	и др	1	1
118	но понятие	1	1
119	правда может	1	1
120	к которой	2	1
121	никогда не	5	1
122	но прежде	1	1
123	так и	2	1
124	и индивидуального	1	1
125	это много	1	1
126	той же	1	1
127	относится к	1	1
128	этого не	1	1
129	которой все	2	1
130	отсюда и	3	1
131	до конца	3	1
132	не предмет	1	1
133	с тем	2	1
134	мы имеем	5	1
135	место и	2	1
136	своем месте	2	1
137	смысле можно	1	1
138	в не	1	1
139	дан в	2	1
140	и эстетической	1	1
141	он становится	1	1
142	и всякого	1	1
143	именно к	1	1
144	и разнообразие	1	1
145	и даже	1	1
146	должно быть	6	1
147	остается в	1	1
148	можно сказать	1	1
149	смысле и	2	1
150	содержания на	1	1
151	вся система	1	1
152	пройти мимо	2	1
153	никогда и	1	1
154	стороны в	3	1
155	о нем	4	1
156	не исключительно	1	1
157	выхода в	1	1
158	науки они	1	1
159	приводит к	1	1
160	о том	3	1
161	в ней	3	1
162	и потому	2	1
163	во мне	3	1
164	относятся к	1	1
165	в котором	24	1
166	только для	1	1
167	она в	1	1
168	и содержание	5	1
169	все и	1	1
170	но такое	1	1
171	в различных	1	1
172	единства и	2	1
173	быть в	4	1
174	из которых	2	1
175	в значительной	1	1
176	содержания в	1	1
177	где же	1	1
178	его теоретической	1	1
179	конечно это	1	1
180	признать что	1	1
181	как таковая	1	1
182	он будет	1	1
183	все в	1	1
184	является только	1	1
185	философское мышление	1	1
186	он может	2	1
187	в данном	2	1
188	того что	3	1
189	она эта	1	1
190	поскольку он	2	1
191	их в	1	1
192	на его	1	1
193	это значит	1	1
194	что этот	3	1
195	нет и	3	1
196	содержательны и	1	1
197	и единого	1	1
198	на то	1	1
199	быть не	2	1
200	определяется не	1	1
201	его как	5	1
202	отнюдь не	6	1
203	она не	1	1
204	его эстетической	1	1
205	какого-нибудь произведения	1	1
206	независимо от	3	1
207	его на	2	1
208	принципов и	1	1
209	и историческая	1	1
210	в своем	16	1
211	но для	2	1
212	научного мышления	2	1
213	которой и	1	1
214	что ему	1	1
215	и все	7	1
216	и методических	1	1
217	что только	2	1
218	вне его	1	1
219	тот же	1	1
220	на своем	3	1
221	поступка в	6	1
222	и отчетливо	2	1
223	и действительно	6	1
224	этого конечно	1	1
225	не существует	1	1
226	в которой	1	1
227	бы ни	1	1
228	он пытается	1	1
229	не было	8	1
230	находятся в	1	1
231	закон и	1	1
232	тогда когда	3	1
233	впрочем в	1	1
234	значимость и	2	1
235	в качестве	2	1
236	только этот	1	1
237	в известном	1	1
238	построения и	1	1
239	его еще	1	1
240	как основной	1	1
241	бы только	1	1
242	уже не	7	1
243	имеем в	2	1
244	ее как	2	1
245	же в	1	1
246	они находятся	1	1
247	и всей	1	1
248	в процессе	2	1
249	в виде	2	1
250	теории и	3	1
251	в нем	28	1
252	или просто	1	1
253	месте в	1	1
254	он не	6	1
255	а для	2	1
256	только как	4	1
257	одно из	1	1
258	не значит	6	1
259	равно как	1	1
260	исходить из	1	1
261	и так	1	1
262	весь и	1	1
263	ценность в	1	1
264	он и	2	1
265	содержания и	2	1
266	этот процесс	1	1
267	религии и	1	1
268	в понятии	1	1
269	правда не	1	1
270	нем но	1	1
271	не для	1	1
272	содержание и	2	1
273	быть обоснованы	1	1
274	самое что	1	1
275	может служить	1	1
276	но он	1	1
277	не принцип	1	1
278	само по	1	1
279	мы можем	1	1
280	всего что	1	1
281	это содержание	1	1
282	ее в	1	1
283	и делает	2	1
284	и эта	2	1
285	это в	1	1
286	а это	2	1
287	философии это	1	1
288	отказаться от	2	1
289	к этому	2	1
290	что в	4	1
291	все что	1	1
