N	3gram	Nazirov_Vr_1	formyVre
1	то же время	4	9
2	в то же	4	6
3	и в то	1	5
4	в связи с	3	5
5	как раз в	2	4
6	до сих пор	1	3
7	в этом отношении	1	3
8	одно и то	1	3
9	не может быть	2	3
10	в то время	1	3
11	и то же	1	3
12	равно как и	1	2
13	в соответствии с	1	2
14	с точки зрения	2	2
15	в мировой литературе	1	2
16	так же как	1	2
17	может быть и	1	2
18	и во всей	1	2
19	связи с этим	1	2
20	в том что	2	2
21	а следовательно и	1	1
22	да и в	1	1
23	в том же	1	1
24	на первый план	1	1
25	и во многом	1	1
26	в той же	1	1
27	что в нем	1	1
28	их и не	1	1
29	которого никто не	1	1
30	в это время	1	1
31	в момент его	1	1
32	но в то	2	1
33	и в этом	1	1
34	в этот момент	2	1
35	во всяком случае	1	1
36	преступление и наказание	1	1
37	и все же	5	1
38	имел в виду	3	1
39	в свою очередь	1	1
40	быть и речи	1	1
41	о том что	1	1
42	и в самом	1	1
43	и в котором	1	1
44	но в этом	1	1
45	в высшей степени	1	1
46	в литературу в	1	1
