N	3gram	Savitsky_E_1	Myshleni
1	в том что	6	19
2	по сравнению с	2	14
3	с точки зрения	16	10
4	для того чтобы	5	8
5	к тому что	1	7
6	так же как	5	6
7	в то время	1	6
8	можно сказать что	3	6
9	можно было бы	3	5
10	то время как	1	5
11	заключается в том	2	5
12	и тем самым	1	5
13	друг с другом	3	5
14	тех и других	1	5
15	и того же	1	4
16	в своем развитии	1	4
17	на то что	2	4
18	одного и того	1	4
19	как мы видели	2	4
20	в этом отношении	3	3
21	из того что	2	3
22	друг к другу	1	3
23	мы видели что	1	3
24	в этом смысле	3	2
25	в том же	1	2
26	он мог бы	1	2
27	мы не станем	1	2
28	независимо от того	1	2
29	с тем что	1	2
30	на этот вопрос	1	2
31	в значительной мере	1	2
32	несмотря на то	1	2
33	не могут быть	1	2
34	в последнее время	1	2
35	оно не может	1	2
36	с другой стороны	2	2
37	вместо того чтобы	1	2
38	это мы видим	1	2
39	в себе ничего	1	2
40	том смысле что	1	2
41	именно потому что	1	2
42	совершенно очевидно что	1	2
43	в связи с	1	2
44	в том смысле	1	2
45	так и по	1	2
46	не может быть	2	2
47	один и тот	1	1
48	она никогда не	1	1
49	себе подтверждение в	1	1
50	только в пределах	1	1
51	в силу этого	1	1
52	от этого пункта	1	1
53	но так как	1	1
54	ответить на этот	1	1
55	в их развитии	1	1
56	в огромной степени	1	1
57	в том числе	1	1
58	гораздо большей степени	1	1
59	же как и	3	1
60	друг от друга	2	1
61	того чтобы ответить	1	1
62	что как бы	1	1
63	только в том	2	1
64	в отличие от	1	1
65	в отношении которых	1	1
66	так как мы	1	1
67	в пределах данной	1	1
68	иначе обстоит дело	2	1
69	ориентироваться не на	1	1
70	то что в	2	1
71	том числе и	1	1
72	в гораздо большей	1	1
73	в этот период	1	1
74	с этой точки	5	1
75	то и другое	1	1
76	так как их	1	1
77	во внимание что	1	1
78	пределах одного и	1	1
79	в данном случае	2	1
80	не только в	4	1
81	с одной стороны	8	1
82	на этот раз	1	1
83	чтобы ответить на	1	1
84	и тот же	1	1
85	и в этом	4	1
86	если этот вопрос	1	1
87	то окажется что	2	1
88	в известных пределах	2	1
89	не может остаться	1	1
90	этой точки зрения	5	1
91	могут быть установлены	1	1
92	если обратиться к	1	1
93	мы остановились на	1	1
94	и в отношении	1	1
95	что в силу	1	1
96	было бы совершенно	1	1
97	в лучшем случае	1	1
98	только тогда когда	1	1
99	мы не можем	1	1
100	в свою очередь	2	1
101	не может не	1	1
102	связи с этим	1	1
103	той или иной	4	1
104	кроме того что	1	1
105	в данной области	2	1
106	смысле этого слова	1	1
107	нас к установлению	1	1
108	во второй половине	2	1
109	если бы они	1	1
110	не только это	1	1
111	но не в	1	1
112	и ту же	1	1
113	что оно не	1	1
114	тех или иных	1	1
115	в пределах одного	1	1
