N	3gram	Losev_Vlad_3	FransuaR
1	в то же	3	6
2	то же время	2	6
3	с точки зрения	6	5
4	не только в	1	5
5	до сих пор	1	4
6	не может быть	6	4
7	в этом отношении	2	3
8	на первом плане	3	3
9	с одной стороны	3	3
10	о том что	8	3
11	с другой стороны	2	3
12	в году в	3	2
13	но даже и	2	2
14	только то что	1	2
15	в себе и	2	2
16	и даже в	1	2
17	в своей статье	1	2
18	содержит в себе	4	2
19	и в то	2	2
20	во всяком случае	3	2
21	там же с	6	2
22	включает в себя	1	2
23	как мы видели	3	2
24	мы знаем что	1	1
25	для него только	1	1
26	в те времена	5	1
27	потому что в	1	1
28	ровно ничего не	1	1
29	как и для	1	1
30	дело в том	5	1
31	как и прежде	1	1
32	перед нами здесь	1	1
33	был еще и	1	1
34	в этом последнем	1	1
35	в настоящее время	3	1
36	также и в	2	1
37	в том же	1	1
38	одной стороны и	2	1
39	так и его	1	1
40	выходит далеко за	1	1
41	при этом что	1	1
42	в первую очередь	1	1
43	на самом же	2	1
44	то что в	3	1
45	далеко за пределы	2	1
46	что в нем	1	1
47	за свое существование	2	1
48	этом отношении он	1	1
49	то есть на	1	1
50	в самом процессе	1	1
51	даже и не	2	1
52	не подлежит никакому	1	1
53	не менее если	3	1
54	еще раз что	1	1
55	далеко не всегда	1	1
56	с целым рядом	1	1
57	подлежит никакому сомнению	1	1
58	в конце концов	5	1
59	и не вполне	1	1
60	и в отношении	3	1
61	то есть через	1	1
62	в строгом смысле	1	1
63	только в году	2	1
64	не только от	1	1
65	в связи со	1	1
66	мы находим уже	1	1
67	находим уже в	1	1
68	без учета этого	1	1
69	т ii с	1	1
70	даже и в	2	1
71	в этом случае	1	1
72	не только с	1	1
73	не только не	1	1
74	не только на	1	1
75	выходит за пределы	1	1
76	в одном акте	1	1
77	самом же деле	2	1
78	в новое время	1	1
79	и как мы	1	1
80	на то что	2	1
81	она была на	1	1
82	то есть о	2	1
83	как не может	1	1
84	и ни на	1	1
85	не только то	1	1
86	для того чтобы	1	1
87	в том что	10	1
88	но вот в	1	1
89	ее то есть	1	1
90	на точке зрения	1	1
