N	3gram	Nazirov_Tr_1	KFilosof
1	не может быть	1	11
2	может быть в	1	3
3	и в этом	1	3
4	в то же	5	2
5	во всем его	1	2
6	в том что	2	2
7	но это уже	1	2
8	то же время	5	2
9	и не быть	1	2
10	тем не менее	1	2
11	бы и не	1	2
12	нет в нем	1	1
13	справедливости все это	1	1
14	ко всему что	1	1
15	смысле этого слова	1	1
16	но в то	2	1
17	к тому что	1	1
18	и чтобы не	1	1
19	и как бы	2	1
20	и должна быть	1	1
21	все в этом	1	1
22	и то что	1	1
23	хотя бы и	1	1
24	могло бы и	1	1
25	вместо того чтобы	1	1
26	во всяком случае	1	1
27	в этом мире	1	1
28	не может жить	1	1
29	и все же	1	1
30	но уже не	1	1
31	это может быть	1	1
