N	2gram	Trubetskoy_1	Retstnzi
1	не может	4	4
2	и в	26	3
3	один из	2	2
4	если в	3	2
5	и не	8	1
6	не только	10	1
7	ни один	2	1
8	связи с	9	1
9	от связи	3	1
10	точки зрения	13	1
11	языка как	1	1
12	так называемая	1	1
13	но и	9	1
14	и должно	1	1
15	и заставляет	2	1
16	не менее	3	1
17	с другими	4	1
18	ничего кроме	1	1
19	по своим	2	1
20	в ней	1	1
21	может и	1	1
22	в то	4	1
23	с точки	6	1
24	и на	2	1
25	для него	3	1
26	мы видим	1	1
27	на русской	2	1
28	может не	1	1
29	и больше	2	1
30	на нее	3	1
31	русской почве	2	1
32	к тому	6	1
33	а не	5	1
34	его от	2	1
35	может быть	10	1
36	несмотря на	6	1
37	и взаимное	1	1
38	в его	5	1
39	с самых	2	1
40	он в	2	1
41	же время	2	1
42	то же	4	1
43	и все	2	1
44	из этих	10	1
45	можно назвать	2	1
46	если бы	3	1
47	бы в	1	1
