N	2gram	Nazirov_Vr_1	Sotsiolo
1	все это	4	7
2	в этом	8	5
3	в том	3	5
4	для нас	4	3
5	не только	9	3
6	как же	2	3
7	в его	3	3
8	и в	8	3
9	но ведь	1	3
10	может быть	4	2
11	и что	8	2
12	это и	1	2
13	то же	5	2
14	было бы	1	2
15	далеко не	3	2
16	таким образом	2	2
17	но и	7	2
18	тем более	2	2
19	еще не	2	2
20	то что	7	2
21	конце концов	1	2
22	нужно было	1	2
23	только как	1	2
24	в частности	1	2
25	к которому	1	2
26	в конце	3	2
27	что в	7	2
28	как бы	4	2
29	том что	3	2
30	и не	5	1
31	в мире	2	1
32	и есть	1	1
33	в этой	2	1
34	столь же	2	1
35	в процессе	1	1
36	в своей	2	1
37	бы в	1	1
38	его слишком	1	1
39	и его	3	1
40	а между	1	1
41	в целом	1	1
42	вряд ли	1	1
43	с другой	1	1
44	это как	1	1
45	в те	3	1
46	связи с	3	1
47	крайней мере	1	1
48	в них	2	1
49	в связи	3	1
50	что он	4	1
51	не было	5	1
52	а вот	1	1
53	а с	2	1
54	ли не	1	1
55	но не	1	1
56	не должна	1	1
57	все же	6	1
58	между тем	5	1
59	но как	2	1
60	а в	2	1
61	это не	4	1
62	в то	5	1
63	литературе и	1	1
64	писателя не	1	1
65	и наконец	1	1
66	в чем	3	1
67	на первый	2	1
68	никогда не	2	1
69	в силу	1	1
70	и самые	1	1
71	во всяком	1	1
72	спросить о	1	1
73	в котором	6	1
74	в него	2	1
75	отнюдь не	2	1
76	по крайней	1	1
77	и о	3	1
78	же это	1	1
79	единства и	1	1
80	в этих	1	1
81	том как	1	1
82	у него	5	1
83	как и	6	1
84	с помощью	1	1
85	вот в	1	1
86	с ним	4	1
87	место в	2	1
88	первый план	1	1
89	один из	1	1
90	этого и	1	1
91	и как	3	1
92	же не	2	1
93	его в	3	1
94	о том	4	1
95	полемизируя с	1	1
96	тотчас же	1	1
97	это дает	1	1
98	дает нам	1	1
99	ничего не	1	1
100	развиваться в	1	1
101	что это	1	1
102	на этот	1	1
103	не может	2	1
104	же время	5	1
105	а тем	1	1
106	прежде всего	1	1
107	они не	1	1
108	всяком случае	1	1
109	тем что	3	1
110	полагает что	1	1
111	так и	1	1
112	именно в	1	1
113	это же	1	1
