N	3gram	Berdyaev_M_2	Psycholo
1	для того чтобы	4	19
2	на то что	1	16
3	в том что	2	14
4	о том что	2	6
5	к тому что	3	6
6	мы увидим что	2	6
7	до сих пор	3	5
8	по сравнению с	1	4
9	друг к другу	5	4
10	сам по себе	1	3
11	в этом отношении	1	3
12	что иное как	3	2
13	мы видим в	1	2
14	потому что в	1	2
15	и той же	2	2
16	может быть и	2	2
17	с точки зрения	1	2
18	потому что он	2	2
19	одной и той	2	2
20	так же как	3	2
21	в конце концов	1	2
22	с такой силой	1	2
23	такой силой как	1	2
24	не может быть	8	2
25	не что иное	3	2
26	той или иной	1	2
27	для этого необходимо	3	2
28	на самом деле	1	2
29	именно потому что	1	2
30	том что в	1	1
31	сам не знает	1	1
32	в чем не	2	1
33	не мог бы	1	1
34	но под этой	1	1
35	это означает что	2	1
36	по отношению к	2	1
37	было бы назвать	1	1
38	том что он	1	1
39	берет человека в	1	1
40	же как и	3	1
41	и в этом	3	1
42	и во многих	1	1
43	которых он изображает	1	1
44	того что есть	1	1
45	что он не	1	1
46	так это в	1	1
47	но он не	1	1
48	он никогда не	1	1
49	тому что наш	1	1
50	никогда не достигает	1	1
51	лежит в основе	1	1
52	у нее нет	1	1
53	смысле этого слова	1	1
54	потому что она	3	1
55	бы для этого	1	1
56	и в этой	1	1
57	но он был	1	1
58	к другу как	1	1
59	да и нет	2	1
60	есть не только	1	1
61	того чтобы сделать	1	1
62	что у него	1	1
63	не есть еще	1	1
64	у нас не	2	1
65	но так как	1	1
66	этот смысл в	1	1
67	сих пор не	1	1
68	ни в чем	2	1
69	в нем нет	2	1
70	означает что в	1	1
71	после того как	2	1
72	и в учении	1	1
73	что это не	2	1
74	в романах достоевского	1	1
75	в письме к	1	1
76	чем не подозревает	1	1
77	и этим он	1	1
