N	2gram	Berdyaev_M_1	FransuaR
1	и в	28	41
2	в преисподнюю	1	21
3	то есть	3	20
4	в этом	20	15
5	как и	5	14
6	и все	10	14
7	все эти	2	13
8	в этой	6	13
9	мы уже	1	12
10	в его	9	12
11	в себе	7	11
12	в том	6	11
13	прежде всего	10	11
14	так и	1	10
15	в то	2	10
16	никто не	2	10
17	все это	6	10
18	в своем	10	9
19	не в	16	9
20	и его	9	9
21	но и	25	9
22	что в	10	9
23	движение в	2	8
24	но в	7	8
25	в конце	7	8
26	то что	5	8
27	и от	2	8
28	в нем	13	7
29	в эпоху	1	7
30	в новой	1	7
31	вовсе не	1	7
32	в них	4	7
33	как бы	2	7
34	и не	11	7
35	и до	1	6
36	он хочет	1	6
37	о том	2	6
38	мы видим	2	6
39	только в	6	6
40	это не	5	6
41	для него	11	6
42	у него	17	6
43	как в	2	5
44	и к	2	5
45	не только	29	5
46	в плане	1	5
47	на этом	3	5
48	точки зрения	4	5
49	потому что	16	5
50	всего в	2	5
51	и это	12	5
52	в ней	15	5
53	к нему	7	5
54	на одном	1	5
55	и у	2	5
56	уже в	4	5
57	что и	4	5
58	вместе с	6	5
59	так же	1	5
60	и для	2	5
61	а в	4	5
62	к этому	2	5
63	место в	2	4
64	момент в	2	4
65	и на	6	4
66	целый ряд	1	4
67	и наконец	1	4
68	та же	1	4
69	он не	24	4
70	в чистилище	1	4
71	на земле	2	4
72	и с	3	4
73	должно быть	3	4
74	том что	3	4
75	он дает	1	4
76	но он	9	4
77	ничего не	3	4
78	рядом с	1	4
79	в виду	2	4
80	в образе	1	4
81	из одного	1	4
82	влияние на	1	4
83	может быть	30	4
84	в более	2	4
85	было бы	10	4
86	мира в	1	4
87	к жизни	1	4
88	мира и	5	4
89	конце концов	2	4
90	все что	2	4
91	и есть	14	3
92	из самых	8	3
93	проникает в	2	3
94	я не	1	3
95	он был	14	3
96	во всех	1	3
97	средневекового человека	1	3
98	его к	1	3
99	от этого	2	3
100	и те	2	3
101	и по	4	3
102	в мире	10	3
103	его в	3	3
104	во время	1	3
105	в своей	15	3
106	в их	4	3
107	оказывается что	2	3
108	не должно	1	3
109	вперед по	1	3
110	сам он	1	3
111	в отношении	1	3
112	не имеет	3	3
113	тем что	4	3
114	ведь все	1	3
115	все то	1	3
116	легенды о	2	3
117	можно было	1	3
118	так много	1	3
119	его интересует	1	3
120	и вся	1	3
121	путь на	1	3
122	о нем	2	3
123	все его	3	3
124	нас в	1	3
125	в свете	3	3
126	что он	10	3
127	земли и	1	3
128	и их	3	3
129	в одном	1	3
130	в землю	1	3
131	так как	3	3
132	не на	1	3
133	не было	18	3
134	в описании	1	3
135	не может	28	3
136	и потому	10	3
137	в той	2	3
138	но этот	1	3
139	в это	1	3
140	но это	1	3
141	в свою	2	3
142	не знает	4	3
143	которым он	1	3
144	есть и	3	3
145	жизни и	2	3
146	и эта	1	3
147	мира его	1	2
148	ту же	1	2
149	также и	2	2
150	начинается с	1	2
151	и то	1	2
152	на самом	1	2
153	из всех	1	2
154	есть не	4	2
155	он знает	2	2
156	мы не	1	2
157	мир не	2	2
158	в которой	6	2
159	и новых	1	2
160	еще не	1	2
161	в которых	4	2
162	с его	3	2
163	по отношению	2	2
164	отношение к	4	2
165	в течение	1	2
166	в одной	1	2
167	к новому	2	2
168	говорит что	1	2
169	имеем в	1	2
170	учение о	3	2
171	как он	2	2
172	и еще	3	2
173	и вот	3	2
174	человека в	13	2
175	значительной степени	1	2
176	это было	1	2
177	по прямой	1	2
178	с начала	1	2
179	с этим	3	2
180	мы имеем	1	2
181	которой он	1	2
182	не мог	3	2
183	в этих	4	2
184	находит свое	1	2
185	что есть	5	2
186	и сама	2	2
187	человек может	2	2
188	вперед в	1	2
189	все свои	1	2
190	через все	2	2
191	так называемый	2	2
192	в области	1	2
193	нет ни	1	2
194	к тому	3	2
195	не есть	9	2
196	оно не	1	2
197	должен быть	2	2
198	как отрицание	1	2
199	роль в	1	2
200	на том	3	2
201	никогда не	14	2
202	особенно в	3	2
203	жизнь и	1	2
204	в разных	1	2
205	находится в	1	2
206	одного из	1	2
207	и мира	3	2
208	в значительной	1	2
209	и во	2	2
210	бы в	2	2
211	во всей	1	2
212	не видел	1	2
213	еще более	1	2
214	движения в	2	2
215	все время	1	2
216	того что	7	2
217	на которой	1	2
218	одной из	1	2
219	и ее	1	2
220	был также	1	2
221	уже не	4	2
222	и исторического	1	2
223	к человеку	9	2
224	связано с	2	2
225	отношению к	2	2
226	нужно сказать	1	2
227	связан с	1	2
