N	2gram	Bakhtin_fo_2	Problema
1	то есть	10	46
2	в его	8	43
3	и не	9	42
4	и в	46	38
5	и проч	1	28
6	не может	2	27
7	может быть	7	26
8	как бы	10	22
9	отнюдь не	4	19
10	и с	6	17
11	и его	12	16
12	в этом	22	15
13	в нем	5	15
14	и т	14	14
15	только в	11	13
16	т п	11	13
17	прежде всего	14	13
18	но не	5	12
19	за пределы	1	12
20	во всех	11	11
21	ни в	1	11
22	и для	9	11
23	не входит	1	10
24	отношение к	3	10
25	таким образом	3	10
26	в их	3	10
27	материала в	1	10
28	не только	11	9
29	в поэзии	2	9
30	не имеет	1	9
31	его в	6	9
32	но и	9	9
33	и как	3	8
34	было бы	2	8
35	точки зрения	10	8
36	место в	4	8
37	в том	10	8
38	и др	5	8
39	то что	7	8
40	еще не	6	7
41	в самом	1	7
42	вообще не	1	7
43	как и	8	7
44	и становится	2	7
45	не в	9	7
46	как мы	6	7
47	с другой	2	7
48	между тем	1	7
49	с помощью	3	7
50	совершенно не	1	7
51	в своей	1	7
52	что в	5	7
53	отношения к	4	6
54	самом деле	1	6
55	на основе	3	6
56	там где	2	6
57	и наконец	6	6
58	в пределах	5	6
59	с точки	8	6
60	и этим	1	6
61	дело с	1	6
62	мы можем	1	6
63	все же	6	6
64	а в	3	6
65	себя как	1	5
66	тем как	1	5
67	отличие от	1	5
68	в своем	5	5
69	все эти	5	5
70	при этом	6	5
71	то же	8	5
72	это не	2	5
73	в них	7	5
74	рядом с	2	5
75	далеко не	2	5
76	в содержание	1	5
77	в отличие	1	5
78	так и	7	5
79	в основе	6	5
80	и о	2	5
81	никогда не	6	5
82	с ним	4	5
83	и прежде	3	5
84	конечно не	4	5
85	большинстве случаев	3	5
86	в большинстве	3	5
87	не на	3	5
88	а не	4	5
89	могут быть	2	5
90	быть только	1	5
91	должно быть	5	5
92	формы и	1	5
93	все они	3	5
94	имеет место	3	5
95	мы здесь	1	4
96	на самом	1	4
97	должна быть	1	4
98	конечно и	1	4
99	в виду	3	4
100	в ней	1	4
101	как вещь	1	4
102	но конечно	1	4
103	не входят	1	4
104	как в	4	4
105	но в	10	4
106	в нашем	1	4
107	в себе	4	4
108	перестает быть	2	4
109	в данном	2	4
110	о значении	1	4
111	в то	5	4
112	для поэзии	1	4
113	должны быть	1	4
114	здесь не	2	4
115	в ее	1	4
116	данном случае	1	4
117	в произведении	1	4
118	о том	4	4
119	которых мы	1	4
120	от всех	1	4
121	всех его	1	4
122	в форме	3	4
123	и только	2	4
124	что не	1	4
125	в романе	13	4
126	более того	1	4
127	и потому	2	4
128	лишь как	1	4
129	между ними	2	4
130	сказать что	1	4
131	другой стороны	1	4
132	также и	4	3
133	например в	1	3
134	действительности и	1	3
135	особенно часто	1	3
136	на материале	1	3
137	которую мы	1	3
138	говорить о	2	3
139	мы будем	3	3
140	точка зрения	3	3
141	менее всего	1	3
142	нет и	3	3
143	значение имеет	2	3
144	значение для	2	3
145	связи и	1	3
146	кроме того	3	3
147	и к	2	3
148	и художественного	3	3
149	отдельных произведений	1	3
150	вследствие этого	1	3
151	он не	5	3
152	как момент	1	3
153	в мире	4	3
154	а как	1	3
155	и тем	1	3
156	несмотря на	1	3
157	том что	4	3
158	на него	1	3
159	как его	2	3
160	же время	4	3
161	или как	1	3
162	как только	1	3
163	и это	2	3
164	хотя и	3	3
165	и от	2	3
166	в дальнейшем	5	3
167	дано в	2	3
168	мы в	1	3
169	если бы	1	3
170	но здесь	2	3
171	и должно	2	3
172	на ее	1	3
173	содержания но	1	3
174	мы увидим	1	3
175	как нечто	1	3
176	с одной	2	3
177	со всеми	2	3
178	входят в	1	3
179	как такового	1	3
180	и даже	3	3
181	бытия в	1	3
182	оно не	1	3
183	себя и	3	3
184	одной стороны	1	3
185	его как	1	3
186	и иной	1	3
187	и на	7	3
188	в тех	1	3
189	да и	1	3
190	слова и	3	3
191	но это	2	3
192	все это	6	3
193	не является	3	3
194	культуры и	1	3
195	и все	6	3
196	не знает	2	3
197	в таком	1	3
198	все что	2	3
199	они не	1	3
200	смысле слова	2	2
201	можно говорить	1	2
202	ряд как	1	2
203	относится и	1	2
204	его моментов	1	2
205	и есть	2	2
206	так при	1	2
207	в котором	4	2
208	их и	1	2
209	есть не	1	2
210	со всех	1	2
211	мы имеем	2	2
212	имеют место	1	2
213	и он	4	2
214	всех сторон	1	2
215	первый план	2	2
216	в чем	1	2
217	с его	1	2
218	но как	1	2
219	путем создания	1	2
220	в истории	4	2
221	дело идет	2	2
222	и у	5	2
223	бы не	1	2
224	и те	1	2
225	не имеют	1	2
226	оно было	2	2
227	понятий и	1	2
228	в корне	2	2
229	на этом	2	2
230	всех своих	1	2
231	человека в	6	2
232	в каждом	1	2
233	здесь мы	3	2
234	опираются на	1	2
235	лишь в	2	2
236	и других	2	2
237	о которых	1	2
238	переходим к	3	2
239	на первый	3	2
240	и более	2	2
241	войти в	1	2
242	не могли	3	2
243	том же	4	2
244	и вообще	1	2
245	случае мы	1	2
246	раз и	1	2
247	в таких	1	2
248	она не	2	2
249	дело в	1	2
250	одна из	1	2
251	того чтобы	8	2
252	чем не	2	2
253	слово и	1	2
254	в самой	2	2
255	и весь	2	2
256	в форму	1	2
257	цельного человека	1	2
258	все стороны	2	2
259	во всем	1	2
260	связи с	8	2
261	здесь же	1	2
262	этом отношении	2	2
263	у нас	2	2
264	к себе	4	2
265	не могут	1	2
266	же самое	3	2
267	для того	8	2
268	должен быть	1	2
269	и художественное	1	2
270	что все	2	2
271	самим собою	2	2
272	нами выше	1	2
273	в себя	2	2
274	особенно в	2	2
275	и которые	1	2
276	с самим	1	2
277	том как	3	2
278	является конечно	1	2
279	и здесь	1	2
280	в другом	3	2
281	и что	1	2
282	и связями	1	2
283	в значительной	1	2
284	и во	6	2
285	этот момент	1	2
286	носит чисто	1	2
287	в него	1	2
288	мир в	4	2
289	например при	1	2
290	того что	3	2
291	в двух	2	2
292	нуждается в	1	2
293	что он	3	2
294	и ее	1	2
295	себя в	1	2
296	не можем	1	2
297	не обходится	1	2
298	в виде	1	2
299	ни с	1	2
300	что и	3	2
301	вовсе не	13	2
302	в некоторых	2	2
303	тем что	3	2
304	в особенности	6	2
305	событие в	1	2
306	без всякой	1	2
307	чем в	1	2
308	или иной	2	2
309	здесь в	6	2
310	миру и	1	2
311	форме и	1	2
312	характерно для	1	2
313	души и	1	2
314	и пр	2	2
315	не было	3	2
316	в связи	8	2
317	человек в	2	2
318	в частности	5	2
319	как это	2	2
320	и смысла	1	2
321	по существу	5	2
322	можно сказать	2	2
323	форм и	1	2
324	и события	1	2
325	той или	1	2
326	как явление	2	2
327	в этих	3	2
328	всего человека	1	2
329	от ее	1	2
330	говорить и	1	2
331	в свою	1	2
332	лишь что	1	2
333	и другие	3	2
334	по поводу	1	2
335	к этому	3	2
336	ни своей	1	1
337	то на	1	1
338	лежат в	1	1
339	человека и	4	1
340	тех же	1	1
341	это и	1	1
342	с природой	1	1
343	своего выражения	1	1
344	чего не	1	1
345	как необходимый	2	1
346	к созданию	1	1
347	п имеет	1	1
348	бы уже	1	1
349	рядом в	2	1
350	и момент	1	1
351	связан с	1	1
352	последовательностью и	2	1
353	что уже	1	1
354	вопрос о	1	1
355	во внутреннем	1	1
356	почти все	3	1
357	и глубоких	1	1
358	время как	1	1
359	с ее	1	1
360	жизни как	2	1
361	бы ни	1	1
362	в соотнесении	1	1
363	так называемые	1	1
364	такое же	1	1
365	подчеркнуть что	1	1
366	в каждой	1	1
