N	2gram	Bakhtin_Fr_8	Sotsiolo
1	все это	8	7
2	в том	13	5
3	в этом	14	5
4	и только	1	3
5	для нас	1	3
6	не только	8	3
7	и в	56	3
8	но ведь	1	3
9	не в	3	3
10	в его	18	3
11	за пределы	4	2
12	но и	9	2
13	было бы	2	2
14	к которому	3	2
15	исторической жизни	2	2
16	исторического развития	1	2
17	только в	9	2
18	дело не	2	2
19	далеко не	2	2
20	в результате	5	2
21	тем более	1	2
22	том что	8	2
23	в частности	7	2
24	как будто	1	2
25	то что	3	2
26	главным образом	3	2
27	или даже	1	2
28	и что	1	2
29	литературы и	1	2
30	еще не	10	2
31	только как	1	2
32	таким образом	17	2
33	отношению к	1	2
34	что в	5	2
35	может быть	3	2
36	как бы	11	2
37	по отношению	1	2
38	то же	11	2
39	не из	1	1
40	что все	4	1
41	же не	1	1
42	нашей работы	2	1
43	наконец в	4	1
44	даже в	4	1
45	в мире	2	1
46	и цельного	1	1
47	границы и	1	1
48	сказать и	1	1
49	в этой	6	1
50	тому что	1	1
51	индивидуальность и	2	1
52	выходит за	1	1
53	на все	1	1
54	с каким-либо	1	1
55	с другой	2	1
56	его в	2	1
57	как замкнутые	1	1
58	с ним	2	1
59	это не	2	1
60	на этот	1	1
61	именно в	1	1
62	в чем	1	1
63	все же	2	1
64	один из	5	1
65	перед нами	3	1
66	в то	12	1
67	это наиболее	2	1
68	тем же	1	1
69	и наконец	3	1
70	какой же	1	1
71	еще и	3	1
72	только то	1	1
73	а с	1	1
74	том как	1	1
75	тем что	1	1
76	и как	2	1
77	в процессе	5	1
78	что эти	2	1
79	на ней	1	1
80	что он	2	1
81	прежде всего	6	1
82	слова но	1	1
83	в них	11	1
84	так и	13	1
85	не было	5	1
86	одной стороны	2	1
87	те же	1	1
88	и не	9	1
89	искусство слова	1	1
90	никогда не	5	1
91	мы не	2	1
92	это как	1	1
93	со своими	1	1
94	же время	10	1
95	переходим к	4	1
96	между собою	2	1
97	мы еще	1	1
98	и о	3	1
99	все эти	15	1
100	именно на	1	1
101	как и	5	1
102	между собой	1	1
103	бы в	3	1
104	с помощью	3	1
105	для этого	1	1
106	в настоящее	3	1
107	она должна	1	1
108	первый план	2	1
109	в таких	3	1
110	в сущности	8	1
111	образом в	2	1
112	конечно не	4	1
113	в связи	3	1
114	в те	3	1
115	и его	12	1
116	в этих	11	1
117	место в	1	1
118	связи с	6	1
119	мы переходим	1	1
120	не может	2	1
121	в своей	2	1
122	а в	2	1
123	работы в	1	1
124	еще недостаточно	2	1
125	исторического характера	1	1
126	благодаря этому	2	1
127	него и	1	1
128	что она	2	1
129	о том	4	1
130	именно и	1	1
131	в области	5	1
132	и потому	4	1
133	настоящее время	3	1
134	в котором	2	1
135	между ними	2	1
136	из тех	1	1
137	и стиля	1	1
138	на что	1	1
139	представляется нам	1	1
140	время в	3	1
141	он говорит	2	1
142	должно было	1	1
143	что это	4	1
144	вовсе не	6	1
145	новое и	3	1
146	на отдельные	1	1
147	же самое	1	1
148	голова его	1	1
149	с одной	4	1
150	далеки от	2	1
151	но не	5	1
152	у него	7	1
153	правда он	1	1
154	в систему	3	1
155	в виде	2	1
156	дело конечно	1	1
157	очень далеки	1	1
158	в данном	2	1
159	между тем	3	1
160	что на	2	1
161	и темы	1	1
162	не один	1	1
163	и более	4	1
164	они не	5	1
