N	2gram	Losev_Dial_1	OGranits
1	и в	18	13
2	и его	1	12
3	прежде всего	10	9
4	может быть	17	8
5	не может	12	8
6	и не	30	8
7	в его	3	7
8	и их	2	7
9	и пр	5	7
10	точки зрения	17	7
11	только в	3	6
12	как бы	11	6
13	не только	13	6
14	то что	13	6
15	мы должны	5	6
16	таким образом	1	6
17	все же	5	5
18	и наконец	1	5
19	в поэзии	1	5
20	с точки	12	5
21	хотя бы	6	5
22	и эта	2	5
23	мы не	1	4
24	но мы	1	4
25	еще и	3	4
26	но в	6	4
27	вопроса о	1	4
28	мы можем	4	4
29	то же	10	4
30	в сознании	3	4
31	в своей	2	4
32	было бы	12	4
33	все это	11	4
34	только и	4	4
35	не является	3	4
36	в каждом	2	4
37	и то	9	3
38	в ее	1	3
39	самом деле	3	3
40	так и	9	3
41	говорить о	5	3
42	в их	3	3
43	общего с	5	3
44	с этим	2	3
45	в которой	1	3
46	в себе	11	3
47	к одному	1	3
48	не как	2	3
49	так как	11	3
50	одно и	4	3
51	здесь мы	1	3
52	но и	7	3
53	как и	2	3
54	и уже	1	3
55	со всей	2	3
56	точку зрения	3	3
57	что же	3	3
58	не в	6	3
59	да и	6	3
60	есть прежде	1	3
61	но для	1	3
62	и для	2	3
63	никогда не	9	3
64	и все	3	3
65	превращается в	1	3
66	что в	13	3
67	в искусстве	1	3
68	ничего общего	4	3
69	и наиболее	1	2
70	и др	1	2
71	и может	2	2
72	и этот	1	2
73	мы уже	1	2
74	есть не	3	2
75	мог бы	2	2
76	если бы	12	2
77	что иное	1	2
78	иное как	1	2
79	не что	1	2
80	с самого	1	2
81	и должно	1	2
82	себе что	1	2
83	для исследования	1	2
84	в ней	3	2
85	а также	1	2
86	в чем	6	2
87	вне всякой	1	2
88	между тем	1	2
89	явлений и	1	2
90	нуждается в	3	2
91	что они	3	2
92	вслед за	2	2
93	чем же	1	2
94	и следовательно	2	2
95	может иметь	3	2
96	его на	1	2
97	как в	2	2
98	только ее	1	2
99	в данном	3	2
100	в этом	12	2
101	но так	2	2
102	в полном	1	2
103	в том	9	2
104	мы видим	4	2
105	с ними	2	2
106	от этого	3	2
107	и отчасти	1	2
108	и тем	1	2
109	все эти	2	2
110	с одной	2	2
111	учение о	11	2
112	думать что	3	2
113	уже в	1	2
114	кажется что	1	2
115	в нем	16	2
116	связанные с	2	2
117	при этом	1	2
118	для него	2	2
119	в другом	2	2
120	говорить об	1	2
121	вовсе не	7	2
122	в них	3	2
123	с другой	6	2
124	а как	1	2
125	в самом	3	2
126	того или	1	2
127	одной стороны	2	2
128	он только	1	2
129	а не	14	2
130	другой стороны	4	2
131	между собою	2	2
132	там где	1	2
133	несмотря на	10	2
134	в связи	1	2
135	том что	9	2
136	и научно	1	2
137	от своего	1	2
138	и при	2	2
139	так же	4	2
140	в отношении	5	2
141	с этой	2	2
142	не менее	2	2
143	что эта	4	2
144	самого начала	1	2
145	не имеет	15	2
146	форм и	1	2
147	сознания и	3	2
148	на язык	1	2
149	собственно говоря	4	2
150	бы в	3	2
151	и является	2	2
152	во всем	2	2
153	а в	5	2
154	еще в	1	2
155	и к	1	2
156	имеет место	1	2
157	могут быть	3	2
158	к тому	4	2
159	и это	2	1
160	можно говорить	2	1
161	также и	7	1
162	как смена	1	1
163	же как	2	1
164	своего развития	1	1
165	даже самые	1	1
166	но мало	1	1
167	в виду	5	1
168	на нем	2	1
169	выражения в	1	1
170	как известно	1	1
171	только потому	3	1
172	это и	4	1
173	выражение то	1	1
174	и есть	16	1
175	и до	1	1
176	или иная	3	1
177	он всегда	2	1
178	материи и	1	1
179	будет существовать	1	1
180	на том	1	1
181	в образе	1	1
182	можно было	5	1
183	свою полную	1	1
184	отождествляется с	7	1
185	или на	2	1
186	поэтому анализ	1	1
187	мы имеем	2	1
188	сознания нет	1	1
189	и о	3	1
190	вопрос о	2	1
191	быть может	4	1
192	другое дело	1	1
193	для этого	2	1
194	по себе	25	1
195	по мере	2	1
196	как то	1	1
197	общем виде	1	1
198	связанное с	1	1
199	на себя	1	1
200	из того	2	1
201	но даже	1	1
202	то это	4	1
203	приближается к	1	1
204	виде но	1	1
205	в мире	2	1
206	и он	5	1
207	другими словами	2	1
208	и что	12	1
209	утверждаю что	5	1
210	почему же	1	1
211	еще не	2	1
212	столь же	1	1
213	осмысления и	1	1
214	в различных	1	1
215	ибо здесь	1	1
216	не могу	4	1
217	то мы	2	1
218	эпоху то	1	1
219	к нему	8	1
220	на самом	3	1
221	совсем не	1	1
222	но не	4	1
223	или иные	1	1
224	то он	2	1
225	переходит в	1	1
226	эта особенность	1	1
227	может и	4	1
228	природы и	1	1
229	отношение к	5	1
230	нет и	1	1
231	или иное	3	1
232	в оценке	1	1
233	материал который	1	1
234	на то	5	1
235	один и	1	1
236	эта связь	1	1
237	и последнее	1	1
238	не зная	2	1
239	явление и	3	1
240	в своем	5	1
241	как из	1	1
242	то или	3	1
243	переходит из	1	1
244	по своей	1	1
245	что касается	2	1
246	один из	3	1
247	которые и	1	1
248	вечная и	1	1
249	и как	7	1
250	не хотят	3	1
251	его к	1	1
252	если наконец	1	1
253	что он	11	1
254	более или	3	1
255	есть его	1	1
256	не должна	2	1
257	и вопроса	1	1
258	чем его	1	1
259	не приходится	1	1
260	или же	1	1
261	в выражении	1	1
262	со всеми	1	1
263	так в	1	1
264	выражение в	1	1
265	в этой	1	1
266	с их	1	1
267	в дальнейшем	5	1
268	конечно не	3	1
269	можно установить	1	1
270	не можем	1	1
271	и у	2	1
272	только на	3	1
273	если он	1	1
274	и если	1	1
275	и чисто	1	1
276	всеми ее	1	1
277	является не	2	1
278	что она	7	1
