N	4gram	Bakhtin_Fr_1	Myshleni
1	в том числе и	7	3
2	как мы уже говорили	2	3
3	дело в том что	2	1
4	мы имеем в виду	1	1
5	без преувеличения сказать что	1	1
6	в той или иной	5	1
7	можно без преувеличения сказать	1	1
8	в полном отрыве от	1	1
9	в связи с развитием	1	1
10	формы речевого общения между	1	1
11	и в некоторых других	1	1
12	с точки зрения этих	1	1
13	что с точки зрения	1	1
14	в том что он	1	1
15	уже говорили выше в	1	1
16	сводится к тому чтобы	1	1
17	и вовсе не в	1	1
18	все более и более	1	1
19	на самом же деле	3	1
20	мы уже говорили выше	1	1
