N	4gram	Losev_Dial_2	Problemy
1	в то же время	3	9
2	в том что он	1	4
3	и в то же	1	2
4	но потому что она	2	2
5	но это не значит	1	1
6	на самом деле это	1	1
7	что бы то ни	1	1
8	не в том что	1	1
9	в своей последней основе	1	1
10	не потому что она	3	1
11	с другой стороны эта	1	1
12	в то время как	3	1
13	уже само по себе	1	1
14	именно в том что	1	1
15	во что бы то	1	1
16	и независимо от того	1	1
17	так же как и	1	1
18	заключается в том что	1	1
19	бы то ни стало	1	1
20	все новые и новые	1	1
21	в одном месте и	1	1
