N	3gram	Berdyaev_O_1	Tvorches
1	в романах достоевского	3	13
2	записки из подполья	1	6
3	в том что	1	6
4	о том что	1	5
5	преступления и наказания	1	4
6	в преступлении и	3	4
7	человек по природе	1	4
8	преступление и наказание	1	4
9	записок из подполья	5	3
10	преступлении и наказании	3	3
11	и все же	1	3
12	в записках из	3	3
13	том что в	1	2
14	самим собой в	1	2
15	записках из подполья	3	2
16	мира в преступлении	1	2
17	униженные и оскорбленные	1	2
18	что человек по	1	2
19	хотя и не	1	1
20	главное у достоевского	1	1
21	высокого и прекрасного	1	1
22	из подполья и	3	1
23	человеческой природы в	2	1
24	себе что он	1	1
25	мысли подпольного человека	1	1
26	может быть назван	1	1
27	все та же	1	1
28	достоевского не могут	1	1
29	которого не случайно	1	1
30	бога и дьявола	1	1
31	у него не	2	1
32	к творчеству достоевского	1	1
33	не могут быть	2	1
34	то что в	1	1
35	к человеку и	4	1
36	заключает в себе	1	1
37	в других романах	1	1
38	у него была	1	1
39	искать ключ к	1	1
40	человека и все	1	1
41	и в одно	1	1
42	у достоевского не	1	1
43	все эти писатели	1	1
44	что у него	2	1
45	бросается в глаза	1	1
46	от свободы от	1	1
47	и в бесах	1	1
48	у него в	5	1
49	в самом последнем	1	1
50	для человека и	1	1
51	и в самом	1	1
52	на земле к	1	1
53	из мертвого дома	2	1
54	бы он ни	1	1
55	у достоевского нет	1	1
56	добро и зло	1	1
57	как и в	1	1
58	и в ее	1	1
59	не так как	1	1
