N	3gram	Voloshinov_1	PoTuStor
1	с точки зрения	20	6
2	по ту сторону	1	4
3	на самом деле	1	4
4	с самого начала	4	4
5	в этом смысле	2	3
6	до сих пор	8	3
7	мы полагаем что	1	3
8	во всяком случае	2	3
9	не может быть	13	3
10	и пр и	2	3
11	можно сказать что	3	3
12	в большинстве случаев	3	3
13	по аналогии с	1	2
14	в нем нет	2	2
15	так же как	2	2
16	в самом деле	9	2
17	не могут быть	2	2
18	в его целом	1	2
19	пр и пр	2	2
20	важный момент в	1	1
21	и того же	5	1
22	теперь мы должны	2	1
23	для психики и	1	1
24	быть ничего общего	1	1
25	для него только	1	1
26	всех без исключения	4	1
27	не следует что	1	1
28	в тесной зависимости	1	1
29	во всех областях	2	1
30	его целом это	1	1
31	подобно тому как	1	1
32	одного и того	5	1
33	и есть та	1	1
34	первый план выдвигается	1	1
35	то же самое	3	1
36	как это делает	1	1
37	же как и	2	1
38	на первый план	2	1
39	как мы сказали	1	1
40	оно само нуждается	1	1
41	таким образом к	1	1
42	бы то ни	8	1
43	и та же	1	1
44	в этом отношении	3	1
45	как наука о	1	1
46	совершенно так же	1	1
47	можно было бы	2	1
48	идеологического творчества все	1	1
49	рано или поздно	1	1
50	в сознание или	1	1
51	мы отвлечемся от	2	1
52	здесь в области	1	1
53	именно то что	1	1
54	со всех сторон	2	1
55	может быть только	1	1
56	с этой точки	1	1
57	именно здесь в	1	1
58	не чем иным	1	1
59	то ни было	8	1
60	очень важный момент	1	1
61	с одной стороны	1	1
62	этом отношении и	1	1
63	в высшей степени	3	1
64	ничего общего не	1	1
65	в связи с	7	1
66	каких бы то	3	1
67	в применении к	1	1
68	должен освободиться от	1	1
69	само нуждается в	1	1
70	так и с	1	1
71	связанных как с	1	1
72	если мы отвлечемся	2	1
73	существует только в	1	1
74	формы так и	1	1
75	таким образом сплошь	1	1
76	в том что	3	1
77	из всего сказанного	1	1
78	может быть ничего	1	1
79	этой точки зрения	1	1
80	между организмом и	1	1
81	оно ни было	2	1
82	чем иным как	1	1
83	не существует для	1	1
84	и пр в	3	1
85	так и в	1	1
86	это и есть	2	1
87	связи с этим	3	1
88	одна и та	1	1
89	мы на самом	1	1
90	жизни в этом	2	1
91	и его школы	1	1
92	и прежде всего	2	1
93	или во всяком	1	1
94	и как мы	1	1
95	он не дает	1	1
96	и ту же	1	1
97	есть прежде всего	1	1
98	и быть не	1	1
99	таким образом и	1	1
100	только при таком	1	1
101	друг с другом	1	1
102	мы уже знаем	1	1
103	снова и снова	1	1
104	для того чтобы	3	1
105	одну и ту	1	1
106	как мы знаем	5	1
107	таким образом с	1	1
108	тесной зависимости от	1	1
109	и его школа	1	1
110	той или иной	1	1
