N	3gram	Tiupa_Anal_1	NovoeSre
1	не может быть	16	4
2	подобно тому как	3	3
3	равно как и	1	2
4	в этом смысле	1	2
5	и заключается что	1	2
6	вместе с тем	1	2
7	с одной стороны	3	2
8	и должно быть	1	2
9	том и заключается	1	2
10	с другой стороны	2	2
11	в том и	2	2
12	по своей природе	1	1
13	и того же	2	1
14	такой же мере	1	1
15	а не к	1	1
16	а не с	1	1
17	а не в	3	1
18	одного и того	2	1
19	в том числе	3	1
20	не было и	1	1
21	до сих пор	1	1
22	и не может	4	1
23	том случае если	1	1
24	в зависимости от	1	1
25	сами по себе	2	1
26	в отличие от	6	1
27	но и в	2	1
28	том числе и	1	1
29	в то что	1	1
30	и не в	4	1
31	в том случае	1	1
32	он нуждается в	1	1
33	в том чтобы	7	1
34	не только в	1	1
35	и не могут	1	1
36	как будто бы	1	1
37	в известном смысле	1	1
38	не могут быть	2	1
39	по природе своей	2	1
40	в такой же	1	1
41	не в том	3	1
42	во всяком случае	1	1
43	лишь в том	3	1
44	я не могу	1	1
45	о том что	3	1
46	для того и	1	1
47	и вместе с	1	1
48	и т.п по	1	1
49	должны помнить что	1	1
50	выходит за пределы	1	1
51	как будто не	1	1
52	быть не может	3	1
53	в том что	9	1
54	того чтобы быть	1	1
55	как и в	1	1
