N	2gram	Tiupa_Narr_1	Retstnzi
1	не может	10	4
2	и в	19	3
3	если в	3	2
4	достоевского и	1	2
5	один из	3	2
6	и больше	1	1
7	то же	4	1
8	с другими	1	1
9	можно назвать	1	1
10	в системе	1	1
11	в ней	3	1
12	его от	1	1
13	может быть	25	1
14	из этих	3	1
15	и не	20	1
16	этой проблемы	1	1
17	в его	9	1
18	во второй	2	1
19	подхода к	1	1
20	может и	1	1
21	связи с	4	1
22	истории но	1	1
23	не только	32	1
24	с точки	2	1
25	не менее	3	1
26	для него	2	1
27	ни один	1	1
28	если бы	1	1
29	и лингвистики	1	1
30	при анализе	1	1
31	нет и	2	1
32	к тому	7	1
33	в особенности	4	1
34	несмотря на	2	1
35	и все	2	1
36	именно с	1	1
37	исходя из	2	1
38	в то	3	1
39	но и	23	1
40	точки зрения	10	1
41	и на	3	1
42	может не	3	1
43	не смог	1	1
44	же время	4	1
45	а не	12	1
