N	3gram	Bakhtin_Fr_8	KulturaY
1	с точки зрения	2	16
2	в самом деле	1	11
3	для того чтобы	2	11
4	можно было бы	1	10
5	до сих пор	8	8
6	в том что	6	8
7	той или иной	1	5
8	в данном случае	2	4
9	с одной стороны	2	4
10	и в этом	1	4
11	в связи с	3	4
12	и в самом	1	4
13	после того как	1	4
14	на самом деле	1	3
15	сих пор еще	4	3
16	а с другой	1	3
17	с другой стороны	2	3
18	не может быть	2	3
19	так и в	1	3
20	о том что	2	3
21	в той или	1	2
22	по отношению к	1	2
23	в том числе	3	2
24	в отличие от	1	2
25	только то что	1	2
26	с тем чтобы	1	2
27	слов и выражений	1	2
28	в известном смысле	1	2
29	потому что в	1	2
30	не в том	1	2
31	более или менее	2	2
32	к тому же	1	2
33	как мы видели	2	2
34	в свое время	1	2
35	можно себе представить	1	1
36	точка зрения на	1	1
37	в их конкретной	1	1
38	в чем же	1	1
39	прежде всего в	1	1
40	что для того	1	1
41	в этом смысле	1	1
42	в полной силе	1	1
43	то же самое	1	1
44	он мог бы	1	1
45	по своему значению	1	1
46	которые не только	1	1
47	и в то	5	1
48	в другом месте	3	1
49	бы то ни	2	1
50	но и в	1	1
51	что все эти	1	1
52	языка можно лишь	1	1
53	или иной степени	1	1
54	не только не	2	1
55	в наши дни	1	1
56	которые независимо от	1	1
57	вместе с тем	1	1
58	что даже в	1	1
59	может быть и	1	1
60	то время когда	1	1
61	если же мы	1	1
62	в то время	2	1
63	не потому что	1	1
64	на французском языке	1	1
65	заключается в том	1	1
66	подхода к языку	1	1
67	и не могут	1	1
68	все без исключения	1	1
69	и при этом	1	1
70	ведь в этом	1	1
71	и в отношении	1	1
72	тем или иным	1	1
73	возможно что и	1	1
74	на вопрос о	1	1
75	на той же	1	1
76	не потому ли	1	1
77	то же время	10	1
78	мы не можем	1	1
79	примеров можно привести	1	1
80	и вместе с	1	1
81	никогда не может	1	1
82	но дело не	2	1
83	же время как	1	1
84	речь шла о	1	1
85	и прежде всего	1	1
86	выходит за пределы	1	1
87	как мы видим	1	1
88	в ее целом	1	1
89	искусство слова и	1	1
90	в то же	10	1
91	и в той	1	1
92	вовсе еще не	2	1
93	в главе о	1	1
94	один из самых	1	1
