N	2gram	Propp_Isto_7	RusskieA
1	и в	24	29
2	т е	16	24
3	том что	10	22
4	в том	7	22
5	что в	13	22
6	как бы	4	18
7	состоит в	1	15
8	в других	4	15
9	и другие	9	14
10	так как	8	13
11	может быть	14	13
12	во время	6	12
13	там же	2	12
14	в этом	12	11
15	как и	6	11
16	одна из	7	11
17	в этот	1	10
18	не только	21	10
19	и с	1	10
20	е в	2	10
21	в лесу	2	10
22	все это	8	10
23	во многих	2	9
24	а на	1	9
25	о том	9	9
26	в некоторых	1	9
27	а в	10	9
28	его в	3	8
29	показывает что	8	8
30	но и	11	8
31	других местах	1	8
32	ее в	3	8
33	из леса	1	7
34	как в	12	7
35	данном случае	3	7
36	мы видели	7	7
37	представляют собой	5	7
38	в день	1	7
39	или в	8	7
40	этот обряд	2	6
41	мы имеем	12	6
42	мы не	4	6
43	еще не	8	6
44	и на	2	6
45	при этом	4	6
46	таким образом	7	6
47	на нее	1	6
48	на голову	1	6
49	в обряде	3	6
50	для нас	6	6
51	д фрэзер	1	6
52	для того	1	6
53	с тем	1	6
54	вместе с	7	6
55	в данном	4	6
56	этом случае	1	6
57	же в	1	6
58	и т	17	5
59	но не	6	5
60	следующим образом	3	5
61	но в	5	5
62	на земле	2	5
63	это не	10	5
64	т д	16	5
65	не может	14	5
66	представление о	3	5
67	эти обряды	1	5
68	потому что	9	5
69	для этого	1	5
70	и что	10	5
71	земли и	1	5
72	то что	7	5
73	с ней	3	5
74	кладут в	2	5
75	к этому	2	5
76	в русских	2	4
77	же как	4	4
78	то же	8	4
79	вопрос о	3	4
80	песни и	1	4
81	видели что	1	4
82	и сл	1	4
83	не все	3	4
84	что по	2	4
85	уже не	2	4
86	это представление	2	4
87	из девушек	1	4
88	в них	3	4
89	далеко не	1	4
90	становятся в	1	4
91	в которых	1	4
92	из земли	1	4
93	не в	9	4
94	тогда когда	3	4
95	эти представления	1	4
96	говорится что	1	4
97	мы рассмотрим	3	4
98	а также	1	4
99	к нему	7	4
100	так что	3	4
101	то и	4	4
102	в виде	1	4
103	из них	2	4
104	именно в	1	4
105	а не	8	4
106	о чем	1	4
107	так же	6	4
108	как это	2	4
109	эта теория	1	4
110	этих случаях	16	4
111	предположить что	3	4
112	по существу	4	4
113	этих обрядов	1	4
114	это делалось	1	4
115	и все	6	4
116	или вообще	1	4
117	в таком	1	4
118	или ее	1	3
119	и о	2	3
120	в народном	1	3
121	в ее	2	3
122	только тогда	1	3
123	можно предположить	2	3
124	обряда в	1	3
125	что это	6	3
126	все эти	2	3
127	представления не	2	3
128	в этой	1	3
129	что она	5	3
130	другие сроки	1	3
131	и по	3	3
132	в народе	1	3
133	живет в	1	3
134	должен был	2	3
135	не всегда	4	3
136	на первый	4	3
137	в эту	1	3
138	в этих	13	3
139	в котором	2	3
140	выше мы	3	3
141	но он	2	3
142	она не	2	3
143	в таких	2	3
144	не имеет	4	3
145	на землю	1	3
146	и после	2	3
147	как мы	3	3
148	эту ночь	1	3
149	нас к	2	3
150	должно было	2	3
151	во всех	7	3
152	в свете	3	3
153	а именно	6	3
154	того что	6	3
155	что здесь	7	3
156	как например	1	3
157	девушки в	2	3
158	в качестве	3	3
159	связь с	2	3
160	или даже	2	3
161	за ним	1	3
162	друг друга	2	3
163	связаны с	2	3
164	тем что	6	3
165	по всей	1	3
166	для этой	1	3
167	и там	2	3
168	и от	2	3
169	не объясняет	1	3
170	было бы	2	3
171	но если	1	3
172	они представляют	1	2
173	одним из	1	2
174	мы здесь	2	2
175	и то	1	2
176	тем и	1	2
177	этого дерева	1	2
178	деревьев и	1	2
179	но она	1	2
180	что иное	1	2
181	на себя	2	2
182	не совсем	2	2
183	он показывает	6	2
184	между собой	1	2
185	не говорится	3	2
186	это означало	1	2
187	особую силу	1	2
188	здесь имеем	2	2
189	с одной	5	2
190	ее к	1	2
191	по представлению	1	2
192	очевидно что	1	2
193	тогда как	3	2
194	иногда и	1	2
195	эта связь	3	2
196	с этим	2	2
197	не подтверждается	1	2
198	все же	9	2
199	и как	1	2
200	в руках	2	2
201	не можем	2	2
202	та же	2	2
203	в которой	2	2
204	представляет собой	4	2
205	из этих	3	2
206	право на	5	2
207	после чего	2	2
208	если он	3	2
209	после этого	3	2
210	том чтобы	3	2
211	характер в	1	2
212	в образе	3	2
213	здесь мы	5	2
214	связанные с	2	2
215	об этом	6	2
216	же а	1	2
217	и иногда	1	2
218	материалы дают	1	2
219	не ясно	2	2
220	должно быть	1	2
221	можно больше	1	2
222	так в	4	2
223	в своей	1	2
224	нас не	2	2
225	в их	4	2
226	не столько	3	2
227	на берег	1	2
228	должны были	3	2
229	нечто вроде	3	2
230	для объяснения	3	2
231	при рассмотрении	1	2
232	силу и	1	2
233	тем не	4	2
234	не менее	5	2
235	а иногда	1	2
236	как можно	1	2
237	в то	2	2
238	дело не	5	2
239	того как	3	2
240	никогда не	4	2
241	этого обряда	2	2
242	с религией	1	2
243	того в	1	2
244	к ней	2	2
245	во всем	2	2
246	связи с	3	2
247	кроме того	3	2
248	начиная с	1	2
249	в состав	1	2
250	обряд и	1	2
251	что при	2	2
252	только одну	1	2
253	говорит о	2	2
254	должен быть	1	2
255	вывод что	1	2
256	на другой	1	2
257	то время	2	2
258	можно было	1	2
259	не с	1	2
260	с другим	1	2
261	или их	1	2
262	после того	4	2
263	с другой	9	2
264	все в	2	2
265	в приведенных	2	2
266	связь между	1	2
267	ее от	1	2
268	одного конца	1	2
269	в ряд	2	2
270	что и	8	2
271	в форме	2	2
272	представления о	4	2
273	в него	1	2
274	в самый	1	2
275	один из	7	2
276	сразу же	1	2
277	с обрядами	1	2
278	совсем не	1	2
279	и дело	2	2
280	этот вопрос	2	2
281	об обряде	1	2
282	и ее	2	2
283	по этому	2	2
284	всего комплекса	1	2
285	такое объяснение	3	2
286	представлений о	1	2
287	связано с	3	2
288	в руки	1	2
289	ее на	4	2
290	в целях	2	2
291	смерти и	1	2
292	делалось для	1	2
293	сюда же	2	2
294	здесь в	1	2
295	приведенные материалы	2	2
296	а с	1	2
297	прежде всего	2	2
298	и пр	1	2
299	одной стороны	5	2
300	там где	5	2
301	совершенно очевидно	2	2
302	можно будет	1	2
303	сказки о	1	2
304	из которых	1	2
305	такие представления	1	2
306	магическую силу	1	2
307	с этой	6	2
308	видно что	5	2
309	этом и	2	2
310	ногами и	1	2
311	ее и	1	2
312	у некоторых	2	2
313	отправляется в	1	2
314	такая форма	1	2
315	две формы	1	2
316	только как	1	2
317	и при	1	2
318	на деревьях	1	2
319	из этого	1	2
