N	3gram	Propp_Morf_1	Freidism
1	с точки зрения	2	11
2	по отношению к	4	8
3	во всяком случае	2	7
4	не может быть	9	7
5	в большинстве случаев	3	5
6	в данном случае	1	4
7	на самом деле	4	4
8	можно сказать что	1	4
9	для того чтобы	2	3
10	в таком случае	1	3
11	бы то ни	3	3
12	в собственном смысле	3	3
13	с самого начала	1	3
14	что же касается	1	2
15	до сих пор	1	2
16	в таких случаях	2	2
17	но если мы	1	2
18	может быть и	2	2
19	не могут быть	2	2
20	в этом отношении	1	2
21	то ни было	2	2
22	с одной стороны	1	2
23	тем не менее	4	2
24	в высшей степени	1	2
25	и может быть	1	1
26	о так называемых	1	1
27	следует заметить что	2	1
28	то ни стало	1	1
29	уже не может	1	1
30	а вовсе не	1	1
31	в мифах и	1	1
32	и даже не	1	1
33	это уже не	1	1
34	совершенно убежден что	1	1
35	в этом случае	8	1
36	во что бы	1	1
37	точки зрения его	1	1
38	и все с	1	1
39	могут быть поняты	1	1
40	до известной степени	1	1
41	друг на друга	2	1
42	является одним из	1	1
43	в какой степени	1	1
44	лежат в основе	1	1
45	при таких условиях	1	1
46	и тем не	1	1
47	в коем случае	1	1
48	что бы то	1	1
49	можно сказать о	1	1
50	имеем ли мы	1	1
51	т д таким	1	1
52	в этой работе	1	1
53	далеко не всегда	1	1
54	ни в коем	1	1
55	на первый взгляд	3	1
56	ему в голову	1	1
57	а также и	3	1
58	то что он	1	1
59	о мотивах и	1	1
60	из них не	1	1
61	собственном смысле слова	3	1
62	то что же	1	1
63	бросается в глаза	1	1
64	и пр и	2	1
65	остановимся на нескольких	1	1
66	очень большую роль	1	1
67	сих пор не	1	1
68	это было бы	1	1
69	на каком материале	1	1
70	мы не можем	1	1
71	в то время	3	1
72	мы не будем	2	1
73	говорить о том	1	1
74	коем случае не	1	1
75	того чтобы получить	1	1
76	о том что	1	1
77	но все же	3	1
78	или во всяком	1	1
79	мы имеем в	1	1
80	случае не является	1	1
81	и т д	39	1
82	в том что	3	1
83	где оно есть	1	1
84	что и в	1	1
85	д таким образом	1	1
