N	2gram	Medvedev_U_1	Psycholo
1	то что	7	37
2	и в	14	30
3	в том	2	27
4	что в	1	24
5	и что	1	23
6	том что	2	21
7	таким образом	2	20
8	на то	1	17
9	что он	2	17
10	не только	10	16
11	в этом	7	14
12	в самом	2	14
13	то есть	1	13
14	как раз	2	13
15	с одной	1	12
16	одной стороны	1	12
17	может быть	6	11
18	если бы	2	11
19	что мы	2	11
20	как на	1	11
21	о том	1	10
22	и то	3	9
23	никогда не	1	9
24	с другой	4	9
25	для этого	3	9
26	не может	7	9
27	сказать что	1	9
28	самом деле	2	8
29	мы имеем	1	8
30	с тем	1	8
31	не в	2	8
32	и это	1	8
33	того что	1	8
34	а не	10	8
35	могут быть	2	8
36	то же	5	7
37	но не	2	7
38	все же	3	7
39	в нем	1	7
40	по себе	2	7
41	мы можем	1	7
42	в своем	1	6
43	что она	2	6
44	что все	2	6
45	как и	3	6
46	что с	1	6
47	о котором	1	6
48	по мнению	1	6
49	тем что	2	6
50	но и	4	6
51	и не	8	6
52	и для	2	6
53	в искусстве	6	6
54	в себе	2	5
55	в этой	4	5
56	материала и	2	5
57	было бы	3	5
58	сих пор	2	5
59	же самое	2	5
60	но в	3	5
61	сводится к	2	5
62	искусства и	1	5
63	только в	2	5
64	до сих	2	5
65	и потому	1	5
66	художественное произведение	5	5
67	бы в	1	5
68	другой стороны	3	5
69	в виду	1	4
70	в ней	1	4
71	могли бы	2	4
72	в своей	3	4
73	из которых	1	4
74	у нас	3	4
75	в его	2	4
76	содержания и	1	4
77	в конце	2	4
78	содержание и	1	4
79	прежде всего	8	4
80	в частности	3	4
81	о чем	2	4
82	искусства как	2	4
83	и все	1	4
84	не есть	2	4
85	художественного произведения	2	3
86	сам по	1	3
87	в их	4	3
88	по его	1	3
89	той же	1	3
90	мы не	2	3
91	первый план	1	3
92	в которой	1	3
93	на его	1	3
94	он не	1	3
95	не как	3	3
96	находит себе	1	3
97	об этом	1	3
98	это не	3	3
99	очень легко	1	3
100	эмоциональный тон	1	3
101	но он	1	3
102	и вся	1	3
103	конструктивного фактора	1	3
104	находятся в	1	3
105	этом отношении	2	3
106	эстетический объект	1	3
107	с другом	1	3
108	не могут	2	3
