N	2gram	Medvedev_B_1	UchenyiS
1	и в	1	14
2	а не	1	10
3	не только	1	10
4	и не	2	8
5	прежде всего	1	8
6	все это	2	5
7	с другой	1	4
8	у нас	3	3
9	в своей	1	3
10	все же	1	3
11	по нашему	1	3
12	другой стороны	1	3
13	не следует	1	3
14	в области	1	3
15	не о	1	3
16	было бы	1	3
17	нашему мнению	1	3
18	неудивительно что	1	2
19	же не	1	2
20	не все	1	2
21	крайней мере	1	2
22	представляется нам	1	2
23	что все	1	2
24	должна быть	1	2
25	а о	1	2
26	таким образом	1	2
27	по крайней	1	2
28	художественном произведении	1	2
29	словесного творчества	1	2
30	художественного произведения	1	2
31	точно и	1	1
32	до конца	1	1
33	теории словесности	2	1
34	об этом	1	1
35	отнюдь не	1	1
36	в значительной	1	1
37	не то	2	1
38	тем более	1	1
39	по теории	1	1
40	было и	1	1
41	бы только	1	1
42	и потому	1	1
43	больше чем	2	1
44	что в	1	1
45	литературы как	1	1
46	на выражение	1	1
47	по меньшей	1	1
48	говорить не	1	1
49	так и	1	1
50	установка на	1	1
51	поэтика должна	1	1
52	является только	1	1
53	лучше и	2	1
54	только более	1	1
55	поэтики и	1	1
56	не было	1	1
57	в пределах	1	1
58	эстетикой словесного	1	1
59	за пределы	1	1
60	в ней	2	1
61	в формалистическое	1	1
62	далеко не	1	1
63	не вполне	1	1
64	быть эстетикой	1	1
65	меньшей мере	1	1
66	в данном	1	1
