N	3gram	Losev_Vesc_1	Istorich
1	и т д	19	15
2	с другой стороны	2	7
3	до сих пор	1	5
4	в том что	4	5
5	тем не менее	3	5
6	мы видим что	1	4
7	что иное как	7	3
8	в данном случае	2	3
9	не что иное	7	3
10	мы видели что	1	3
11	еще не вполне	1	2
12	и здесь мы	1	2
13	что и в	1	2
14	с одной стороны	3	2
15	то время как	1	2
16	и то что	3	2
17	во всяком случае	2	2
18	в то время	1	2
19	о том что	4	2
20	не только не	2	2
21	все еще не	1	1
22	есть один из	1	1
23	вот у меня	1	1
24	с полной ясностью	1	1
25	в чем же	3	1
26	мы имеем дело	2	1
27	и пр но	1	1
28	продавал и покупал	1	1
29	со стороны ее	1	1
30	между прочим и	1	1
31	подобно тому как	4	1
32	т е не	2	1
33	но и здесь	1	1
34	не могла бы	1	1
35	той же причине	1	1
36	с этой точки	1	1
37	с точки зрения	3	1
38	сами по себе	3	1
39	так как мы	1	1
40	он находится в	1	1
41	на самом же	1	1
42	только то что	2	1
43	независимо от того	1	1
44	из того что	2	1
45	с тем что	1	1
46	можно было бы	1	1
47	не есть ли	2	1
48	она не могла	1	1
49	с тех пор	1	1
50	они находятся в	1	1
51	вместе с тем	1	1
52	того что они	1	1
53	если это так	1	1
54	в том смысле	1	1
55	не только в	4	1
56	заключается в том	1	1
57	итак мы имеем	1	1
58	это так то	1	1
59	руки и ноги	2	1
60	так или иначе	4	1
61	все же не	1	1
62	и наличие в	1	1
63	так же как	1	1
64	по той же	1	1
65	этой точки зрения	1	1
66	а так как	2	1
67	совершенно ясно и	1	1
68	есть не что	5	1
69	в определенном направлении	1	1
70	в свою очередь	4	1
71	это и есть	1	1
72	равно как и	2	1
73	не может быть	6	1
74	что они находятся	1	1
75	и даже не	3	1
76	можно сказать что	3	1
77	у нас в	2	1
78	на то что	2	1
79	который уже не	1	1
80	только указать на	1	1
81	друг с другом	1	1
82	и эта сторона	1	1
83	не только то	1	1
84	самом же деле	1	1
85	а в свете	1	1
86	но и то	1	1
87	она не может	2	1
