N	3gram	Tiupa_Lite_2	Vvedenie
1	для того чтобы	1	20
2	в том что	5	12
3	о том что	2	12
4	не может быть	7	8
5	тем не менее	2	8
6	то же время	9	6
7	в то же	9	6
8	и т п	2	5
9	в том чтобы	3	5
10	с другой стороны	4	5
11	по отношению к	3	4
12	в этом случае	2	4
13	в этом отношении	3	4
14	можно было бы	1	4
15	по крайней мере	2	4
16	в данном случае	3	4
17	не только как	1	4
18	с одной стороны	6	4
19	одной стороны и	1	3
20	вместе с тем	1	3
21	что может быть	1	3
22	как мы видели	1	3
23	в свое время	2	3
24	состоит в том	4	2
25	не говоря уже	2	2
26	подобно тому как	2	2
27	в соответствии с	1	2
28	то же самое	1	2
29	что же касается	1	2
30	с точки зрения	3	2
31	еще при жизни	1	2
32	в конце концов	1	2
33	поэтов и прозаиков	1	2
34	не могут быть	1	2
35	не в том	1	2
36	в целом ряде	1	2
37	а так как	1	2
38	той или иной	1	2
39	тех пор пока	1	1
40	мы имеем дело	1	1
41	прежде всего в	1	1
42	может быть названа	1	1
43	на самом деле	1	1
44	в принципе не	2	1
45	представляет собой одно	1	1
46	собой одно из	1	1
47	говоря уже о	2	1
48	в отличие от	1	1
49	того же автора	1	1
50	в руках у	1	1
51	только то что	1	1
52	и т.д и	1	1
53	что было сказано	1	1
54	принципе не может	1	1
55	имеем дело с	1	1
56	с этой точки	1	1
57	и то что	1	1
58	одно и то	2	1
59	самом деле есть	1	1
60	все то что	1	1
61	не могло не	1	1
62	то ни было	1	1
63	и то же	2	1
64	пор пока не	1	1
65	бы то ни	1	1
66	руках у нас	1	1
67	тем что в	1	1
68	с полным основанием	1	1
69	этой точки зрения	1	1
70	а в том	1	1
71	в частности в	1	1
72	в тексте не	1	1
73	до тех пор	1	1
74	имел в виду	1	1
75	имея в виду	1	1
76	в свою очередь	1	1
77	что в ней	1	1
78	более широкого и	1	1
79	может быть сказано	1	1
80	и прежде всего	1	1
81	в этой системе	1	1
82	но с другой	3	1
83	после того как	1	1
84	к тому что	1	1
85	для того кто	1	1
86	в сравнении с	2	1
87	из того что	1	1
88	отрицать того что	1	1
