N	3gram	Bakhtin_Fr_3	Hudozhes
1	в том что	1	11
2	по отношению к	2	7
3	о том что	2	7
4	подобно тому как	1	4
5	то же время	6	4
6	в то же	6	4
7	том что в	1	3
8	мы уже отмечали	1	3
9	не может быть	2	3
10	как и в	2	3
11	для того чтобы	3	3
12	о том как	1	2
13	и в этом	1	2
14	с точки зрения	1	2
15	до сих пор	4	2
16	хотя бы и	1	2
17	можно было бы	2	2
18	в данном случае	2	2
19	как будто бы	1	2
20	не во внешнем	1	1
21	на том что	1	1
22	в частности и	1	1
23	такова же и	1	1
24	нет и не	1	1
25	но и самого	1	1
26	той или иной	2	1
27	не принимает участия	1	1
28	дело в том	1	1
29	мы узнаем что	1	1
30	в настоящее время	1	1
31	как раз и	1	1
32	о чем я	1	1
33	и в других	2	1
34	бы то ни	1	1
35	между тем как	1	1
36	в этом отношении	2	1
37	рода ключом к	1	1
38	том числе и	2	1
39	встречаются и в	1	1
40	прежде всего тем	1	1
41	к жизни и	1	1
42	принимает участия в	1	1
43	в значительной степени	2	1
44	мы знаем что	1	1
45	за него и	2	1
46	данном случае на	1	1
47	вот и все	1	1
48	всего тем что	1	1
49	а также и	3	1
50	и не было	2	1
51	жизни и смерти	2	1
52	как и сама	1	1
53	не только для	1	1
54	и потому не	1	1
55	дело здесь не	1	1
56	с другой стороны	1	1
57	с нею в	1	1
58	заключается в том	1	1
59	в нашем примере	3	1
60	в первом случае	1	1
61	в этом случае	1	1
62	и в самом	1	1
63	но и для	1	1
64	с самого начала	1	1
65	одной из форм	1	1
66	но все же	1	1
67	можно сказать что	2	1
68	но ведь это	1	1
69	не было ни	3	1
70	однако и здесь	1	1
71	как мы знаем	1	1
72	в последней главе	1	1
73	можно судить по	1	1
74	в одном из	1	1
75	в том числе	3	1
76	внешнего и внутреннего	1	1
77	и все что	2	1
78	что и в	1	1
79	не нуждается в	1	1
80	своего рода ключом	1	1
