N	2gram	Bakhtin_fo_1	VelikijI
1	и не	14	20
2	и в	50	16
3	так как	6	9
4	то что	6	9
5	еще не	5	8
6	в истории	2	8
7	а не	3	7
8	и потому	3	7
9	человека и	11	6
10	на себя	2	5
11	но и	8	5
12	по пути	1	5
13	того что	2	5
14	хотя и	3	5
15	в мире	1	5
16	все это	4	5
17	как бы	2	5
18	и есть	1	4
19	в образе	5	4
20	в его	13	4
21	и я	1	4
22	в этом	25	4
23	что он	1	4
24	потому что	4	4
25	в нем	24	4
26	так и	12	4
27	что все	2	4
28	что не	3	4
29	как и	8	4
30	что мы	2	4
31	в котором	4	4
32	в ней	4	4
33	и все	6	4
34	от этого	2	3
35	этого мира	4	3
36	нас и	1	3
37	хотя бы	2	3
38	лишь в	6	3
39	в чем	2	3
40	с его	9	3
41	во всех	6	3
42	что и	3	3
43	в том	9	3
44	тот же	1	3
45	но в	10	3
46	бы и	1	3
47	по этому	1	3
48	все эти	9	3
49	и они	1	3
50	его во	1	3
51	в конце	9	3
52	их в	3	3
53	в своей	2	3
54	в жизни	6	3
55	ни в	8	3
56	в них	4	3
57	не было	7	3
58	должно быть	1	3
59	если не	1	3
60	в этих	3	3
61	нет ничего	4	3
62	что во	1	3
63	в первый	1	3
64	не в	5	3
65	не имеет	4	3
66	никогда не	2	3
67	личности и	2	3
68	первый раз	1	3
69	и для	4	3
70	что ты	1	3
71	к тому	3	3
72	жизни и	8	3
73	что в	5	3
74	оно не	2	3
75	и это	4	2
76	нем нет	2	2
77	того чтобы	5	2
78	и то	4	2
79	во главе	1	2
80	по которым	1	2
81	и сам	1	2
82	и т	8	2
83	и за	1	2
84	мы не	3	2
85	в последнем	1	2
86	с ним	2	2
87	мы это	1	2
88	дороги и	3	2
89	их жизнь	1	2
90	и во	7	2
91	нет и	2	2
92	человека как	1	2
93	его к	1	2
94	только в	4	2
95	в человека	2	2
96	в себя	1	2
97	государство не	1	2
98	конечно не	4	2
99	уже не	2	2
100	не только	9	2
101	вера в	2	2
102	его и	2	2
103	для него	2	2
104	не к	2	2
105	тем что	2	2
106	на том	1	2
107	это не	6	2
108	и люди	1	2
109	прежде всего	15	2
110	для них	3	2
111	люди не	1	2
112	соединение в	1	2
113	с тем	3	2
114	мы и	4	2
115	один из	3	2
116	от государства	1	2
117	и тогда	1	2
118	мира в	3	2
119	когда я	1	2
120	и последнее	2	2
121	не могут	3	2
122	мир и	2	2
123	самого себя	1	2
124	что было	3	2
125	да и	3	2
126	одна из	2	2
127	что их	1	2
128	уже на	2	2
129	том что	4	2
130	для нас	2	2
131	от него	1	2
132	в форме	3	2
133	они и	1	2
134	ее в	2	2
135	не создает	1	2
136	а в	3	2
137	но не	5	2
138	могут быть	5	2
139	всего в	1	2
140	во всяком	3	2
141	эта идея	1	1
142	как мы	14	1
143	в виду	3	1
144	для себя	7	1
145	в ее	6	1
146	жив дух	1	1
147	в словах	1	1
148	и до	5	1
149	роль в	9	1
150	он всегда	1	1
151	и самое	1	1
152	не имеют	3	1
153	значение в	5	1
154	мы будем	2	1
155	если они	2	1
156	то же	11	1
157	их и	2	1
158	это он	1	1
159	и которые	1	1
160	живет в	1	1
161	игру с	1	1
162	человеческого бытия	1	1
163	из всего	1	1
164	свое абсолютное	1	1
165	в результате	6	1
166	по сравнению	2	1
167	которого они	1	1
168	сами же	2	1
169	вопрос о	2	1
170	с человека	1	1
171	самой жизни	1	1
172	и вообще	2	1
173	философия истории	1	1
174	с радостью	1	1
175	для раскрытия	2	1
176	который был	1	1
177	находится в	1	1
178	я не	1	1
179	и ее	3	1
180	не был	1	1
181	же что	2	1
182	зависимости от	1	1
183	о судьбе	1	1
184	в их	6	1
185	идет за	1	1
186	и на	8	1
187	он был	1	1
188	природы и	2	1
189	все в	1	1
190	и освобождения	1	1
191	что оно	1	1
192	что люди	1	1
193	но как	1	1
194	от них	1	1
