N	2gram	Berdyaev_M_1	Literetu
1	не только	29	24
2	но и	25	17
3	в том	6	16
4	а не	25	16
5	в частности	1	15
6	том что	3	14
7	может быть	30	13
8	сознания в	1	12
9	и не	11	12
10	в этом	20	12
11	в своем	10	11
12	прежде всего	10	11
13	в русской	1	10
14	то что	5	10
15	не в	16	8
16	и в	28	8
17	только в	6	8
18	я и	1	7
19	я не	1	7
20	отказ от	1	7
21	как бы	2	7
22	в себе	7	7
23	не менее	1	7
24	в его	9	7
25	уже не	4	7
26	и я	5	6
27	то есть	3	6
28	как и	5	6
29	точки зрения	4	6
30	и сам	1	6
31	того что	7	6
32	в жизни	3	6
33	себя в	3	6
34	xix века	4	6
35	одним из	2	5
36	отличие от	1	5
37	как в	2	5
38	не столько	1	5
39	в отличие	1	5
40	в то	2	5
41	казалось бы	1	5
42	что он	10	5
43	уже в	4	5
44	русской поэзии	1	5
45	не может	28	5
46	с этой	4	5
47	я в	1	5
48	с его	3	5
49	в своей	15	4
50	еще не	1	4
51	но не	8	4
52	в этой	6	4
53	все же	2	4
54	не как	4	4
55	в силу	1	4
56	с собой	3	4
57	лишь в	6	4
58	духовной жизни	3	4
59	с миром	1	4
60	и его	9	4
61	ведет к	6	4
62	никогда не	14	4
63	так и	1	4
64	еще в	2	4
65	мир в	3	4
66	в конце	7	4
67	о себе	3	4
68	это не	5	4
69	культуры в	1	4
70	в своих	1	4
71	тех же	1	3
72	и есть	14	3
73	века в	2	3
74	также и	2	3
75	самого себя	2	3
76	по отношению	2	3
77	более чем	1	3
78	в самом	11	3
79	бы не	2	3
80	с их	2	3
81	его в	3	3
82	в душе	1	3
83	он и	2	3
84	не мог	3	3
85	в их	4	3
86	но в	7	3
87	что ему	1	3
88	в основе	2	3
89	не должен	1	3
90	в области	1	3
91	свое собственное	1	3
92	к себе	1	3
93	всего в	2	3
94	в виду	2	3
95	в пределах	1	3
96	приводит к	2	3
97	одного из	1	3
98	особый мир	1	3
99	по своей	2	3
100	один из	4	3
101	потому что	16	3
102	одно из	3	3
103	у него	17	3
104	и даже	1	3
105	и др	1	3
106	не было	18	3
107	произведения искусства	1	3
108	мира в	1	3
109	да и	1	3
110	жизни и	2	3
111	что в	10	3
112	а в	4	3
113	же и	1	3
114	во всяком	1	3
115	всем и	1	2
116	чтобы не	2	2
117	человека и	14	2
118	не остается	2	2
119	и то	1	2
120	самом деле	1	2
121	должна быть	6	2
122	та же	1	2
123	то это	1	2
124	во имя	10	2
125	то он	1	2
126	относится к	2	2
127	и нет	2	2
128	все эти	2	2
129	во многих	1	2
130	как он	2	2
