N	2gram	Nazirov_Tv_2	Problemy
1	из подполья	6	35
2	и в	20	35
3	как бы	11	31
4	и не	9	27
5	что он	6	24
6	в его	10	21
7	но в	4	19
8	как и	6	18
9	к себе	1	18
10	не может	7	18
11	в нем	3	16
12	то есть	5	16
13	то же	7	15
14	в этом	8	14
15	и его	9	14
16	для него	3	14
17	может быть	8	14
18	но и	8	14
19	все это	6	14
20	он не	3	13
21	что я	2	13
22	с другим	2	13
23	и с	8	12
24	в другом	1	12
25	у достоевского	30	12
26	прежде всего	8	12
27	и к	1	12
28	в пределах	1	11
29	в то	10	11
30	самом деле	2	10
31	не только	13	10
32	не в	4	10
33	же время	7	10
34	героя и	2	10
35	то что	3	10
36	а я	2	10
37	мы уже	1	8
38	я не	2	8
39	все же	5	8
40	самого начала	1	8
41	как мы	1	8
42	с самого	1	8
43	так и	6	8
44	и для	1	8
45	потому что	7	8
46	еще не	5	7
47	с его	1	7
48	и наконец	2	7
49	лишь в	1	7
50	таким образом	10	7
51	для себя	1	7
52	настасьи филипповны	4	7
53	и сам	5	7
54	в виде	2	7
55	творчестве достоевского	4	7
56	вовсе не	2	7
57	так же	5	7
58	что же	1	7
59	себя самого	1	7
60	с ним	3	7
61	а в	4	7
62	отношении к	1	7
63	отношению к	3	7
64	и на	5	6
65	он сам	3	6
66	но не	5	6
67	по отношению	3	6
68	отношение к	1	6
69	что они	4	6
70	в самом	3	6
71	что у	4	6
72	в плане	3	6
73	в каждом	1	6
74	у меня	1	6
75	к тому	1	6
76	он с	1	6
77	в одном	2	6
78	и что	2	6
79	только в	2	6
80	но это	5	6
81	от него	1	6
82	не знает	1	6
83	что в	7	6
84	как в	4	5
85	в себе	3	5
86	настасья филипповна	4	5
87	в конце	6	5
88	даже в	1	5
89	во время	1	5
90	на него	2	5
91	себе самом	1	5
92	уже говорили	1	5
93	его с	1	5
94	и это	3	5
95	в исповеди	1	5
96	в том	8	5
97	с ними	2	5
98	так что	2	5
99	к самому	2	5
100	и даже	5	5
