N	3gram	Bakhtin_Pr_2	Poddanst
1	в то же	3	7
2	то же время	3	7
3	не только в	1	4
4	в том что	4	4
5	с точки зрения	9	3
6	сами по себе	1	3
7	в том числе	2	2
8	в ней не	1	2
9	воспринимает не как	1	1
10	как она есть	1	1
11	в этом мире	1	1
12	видим в нем	1	1
13	далеко не все	1	1
14	более или менее	1	1
15	в выборе и	1	1
16	в этом смысле	5	1
17	и в этом	6	1
18	в развитии европейской	1	1
19	что с точки	1	1
20	и не может	2	1
21	хотя бы и	2	1
22	только в условиях	1	1
23	в отличие от	1	1
24	не было бы	1	1
25	что дело идет	1	1
26	так же как	3	1
27	там где он	1	1
28	в противоречии с	1	1
29	потому что по	1	1
30	в xix веке	2	1
31	для них в	1	1
32	по сравнению с	2	1
33	в творчестве достоевского	1	1
34	с другой стороны	1	1
35	в каком смысле	1	1
36	не может быть	6	1
37	настоящее и будущее	1	1
38	прошлое настоящее и	1	1
39	само по себе	2	1
40	но в то	3	1
41	именно потому что	1	1
42	тем более что	1	1
43	в большинстве случаев	2	1
44	не входят в	1	1
45	друг с другом	2	1
46	для того чтобы	1	1
47	в нем в	1	1
48	том числе и	2	1
