N	3gram	Berdyaev_M_1	Freidism
1	по отношению к	2	8
2	во всяком случае	1	7
3	не может быть	17	7
4	в самом деле	1	6
5	на протяжении всей	1	6
6	– все это	1	5
7	в зависимости от	1	4
8	для того чтобы	2	3
9	– один из	3	3
10	к тому чтобы	2	3
11	он не только	2	2
12	и по отношению	1	2
13	до сих пор	2	2
14	и не может	2	2
15	в отличие от	1	2
16	в первый период	1	2
17	может быть и	1	2
18	и есть та	1	2
19	чем он сам	1	2
20	это прежде всего	1	2
21	не могут быть	2	2
22	это и есть	4	2
23	выйти за пределы	1	2
24	в высшей степени	2	2
25	в конце концов	2	2
26	нет и не	1	1
27	в глубине ее	1	1
28	– не только	1	1
29	а вовсе не	1	1
30	так как они	1	1
31	новых и новых	1	1
32	о себе и	1	1
33	может быть непосредственно	1	1
34	они не могут	1	1
35	но не только	1	1
36	он не был	1	1
37	как и все	1	1
38	было для него	1	1
39	хотя бы и	2	1
40	в свою противоположность	2	1
41	не было бы	5	1
42	у него никогда	1	1
43	в себе и	1	1
44	во всех этих	1	1
45	а иногда и	1	1
46	часто трудно бывает	1	1
47	он никогда не	2	1
48	– одно из	1	1
49	иное отношение к	1	1
50	страдания и это	1	1
51	до конца и	1	1
52	отличает его от	1	1
53	ответ на это	1	1
54	но она не	1	1
55	человека и все	1	1
56	быть и речи	1	1
57	как будто бы	2	1
58	по сравнению с	1	1
59	человек не может	2	1
60	него никогда не	1	1
61	и потому не	3	1
62	бросается в глаза	1	1
63	потому не может	1	1
64	с еще большей	1	1
65	же прежде всего	1	1
66	что он был	1	1
67	но ведь как	1	1
68	от того что	1	1
69	имеем в виду	1	1
70	в то время	2	1
71	люди а не	1	1
72	о том что	1	1
73	к нему и	1	1
74	мы имеем в	1	1
75	влечет его к	1	1
76	и в нем	3	1
77	мы чувствуем себя	1	1
78	в том что	1	1
79	но не может	1	1
80	она не может	1	1
81	не был связан	1	1
82	что и в	1	1
