N	2gram	Nazirov_Vr_1	KulturaY
1	т е	3	32
2	и в	8	23
3	точки зрения	2	23
4	в том	3	22
5	не только	9	17
6	в этом	8	16
7	было бы	1	16
8	с точки	2	16
9	может быть	4	14
10	в самом	1	13
11	что в	7	13
12	не менее	2	12
13	потому что	1	12
14	том что	3	11
15	в его	3	11
16	того что	1	11
17	можно говорить	1	10
18	и не	5	10
19	еще не	2	9
20	таким образом	2	9
21	тем не	1	9
22	прежде всего	1	9
23	иными словами	1	8
24	в виду	4	8
25	уже не	2	8
26	до сих	1	8
27	сих пор	1	8
28	между прочим	1	8
29	как на	1	8
30	того как	1	7
31	и что	8	7
32	с другой	1	7
33	то же	5	6
34	говорить о	1	6
35	с помощью	1	6
36	в силу	1	6
37	так и	1	6
38	при этом	4	6
39	в их	1	6
40	ничего не	1	6
41	связи с	3	6
42	не может	2	6
43	могут быть	1	6
44	о том	4	6
45	что он	4	6
46	также и	1	5
47	и есть	1	5
48	я не	3	5
49	в чем	3	5
50	независимо от	1	5
51	все же	6	5
52	хотя и	1	5
53	как бы	4	5
54	как и	6	5
55	во внимание	1	5
56	от того	1	5
57	тем что	3	5
58	далеко не	3	5
59	в связи	3	5
60	что же	1	5
61	не будем	1	5
62	тем более	2	5
63	но это	2	5
64	а в	2	5
65	того же	1	4
66	п и	1	4
67	столь же	2	4
68	как в	1	4
69	в своем	3	4
70	целый ряд	4	4
71	в целом	1	4
72	ясно что	1	4
73	в своей	2	4
74	тем самым	1	4
75	как раз	2	4
76	в числе	1	4
77	и о	3	4
78	в ее	1	4
79	для нас	4	4
80	а также	2	4
81	заключается в	1	4
82	между тем	5	4
83	тех пор	1	4
84	один из	1	4
85	в нашей	2	4
86	не было	5	4
87	в той	2	4
88	то что	7	4
89	только как	1	4
90	в таком	1	4
91	речь идет	3	3
92	это и	1	3
93	то в	1	3
94	по преимуществу	1	3
95	той же	1	3
96	в ней	4	3
97	но не	1	3
98	то он	1	3
99	но как	2	3
100	отношение к	2	3
101	отнюдь не	2	3
102	что как	1	3
103	что слово	1	3
104	что это	1	3
105	тому же	1	3
106	но на	1	3
107	он не	3	3
108	и с	6	3
109	в то	5	3
110	как о	1	3
111	не имеет	1	3
112	в процессе	1	3
113	п в	2	3
114	в каком	1	3
115	не есть	1	3
116	но и	7	3
117	нас в	1	3
118	это не	4	3
119	как же	2	3
120	уже в	4	3
121	мы находим	1	3
122	именно в	1	3
123	а с	2	3
124	но для	1	3
125	другой стороны	1	3
126	они не	1	3
127	также что	1	2
128	содержания в	1	2
129	а тем	1	2
130	не все	1	2
131	он пишет	2	2
132	не просто	1	2
133	что они	1	2
134	и я	1	2
135	дает нам	1	2
136	как к	1	2
137	и как	3	2
138	но в	6	2
139	в известном	2	2
140	как он	1	2
141	и самый	1	2
142	же это	1	2
143	в россии	5	2
144	это конечно	1	2
145	его в	3	2
146	такой же	1	2
147	одного и	1	2
148	в этих	1	2
149	в котором	6	2
150	своего рода	1	2
151	сам же	1	2
152	ряда других	1	2
153	если это	1	2
154	однако в	1	2
155	а вот	1	2
156	раз и	1	2
157	что есть	3	2
158	разумеется при	1	2
159	нельзя не	1	2
160	по своему	1	2
161	более что	1	2
162	отличается от	1	2
163	такая же	1	2
164	так в	2	2
165	но мы	1	2
166	в печати	1	2
167	так называемую	1	2
168	здесь заключается	1	2
169	доходит до	1	2
170	известном смысле	1	2
171	сразу же	1	2
172	в качестве	1	2
173	тем чтобы	1	2
174	в одном	1	2
175	эту сторону	1	2
176	в особенности	1	2
177	только что	1	2
178	на этот	1	2
179	в свете	1	2
180	о чем	2	2
181	в частности	1	2
182	эти слова	3	2
183	вместе с	2	2
184	так же	4	2
185	еще раз	1	2
186	в условиях	1	2
187	все это	4	2
188	от нас	1	2
189	к вопросу	1	2
190	не с	1	2
191	еще более	1	2
192	равно как	1	2
193	только о	1	2
194	в свое	1	2
195	это в	2	2
196	во всяком	1	2
197	отношения к	2	1
198	же как	2	1
199	слова сказал	1	1
200	доступ в	1	1
201	и то	2	1
202	три строки	1	1
203	вряд ли	1	1
204	не принимая	1	1
205	уже по	1	1
206	из всех	1	1
207	на место	2	1
208	именно к	1	1
209	иметь никакого	1	1
210	в полной	1	1
211	в составе	1	1
212	не совсем	1	1
213	как ему	1	1
214	а еще	1	1
215	он сам	2	1
216	же на	1	1
217	в сторону	1	1
218	тогда как	2	1
219	тут же	1	1
220	литераторы но	1	1
221	февраля года	4	1
222	идет о	1	1
223	же с	1	1
224	с этим	1	1
225	войне и	1	1
226	каким-то образом	1	1
227	россии не	1	1
228	роль играет	1	1
229	на той	1	1
230	мы получаем	1	1
231	раз в	3	1
232	и такую	1	1
233	не могла	1	1
234	к русскому	1	1
235	этот процесс	1	1
236	от которого	1	1
237	всех этих	1	1
238	ведь не	1	1
239	сказал что	1	1
240	не будет	1	1
241	конечно в	1	1
242	не хуже	1	1
243	этом смысле	1	1
244	после этого	2	1
245	не ясно	1	1
246	рядом с	2	1
247	человек который	1	1
248	все равно	1	1
249	этого не	1	1
250	не всегда	1	1
251	и уже	3	1
252	не мог	2	1
253	во время	2	1
254	в войне	1	1
255	и ее	2	1
256	всяком случае	1	1
257	учиться у	1	1
258	свое понимание	1	1
259	представление о	1	1
260	что я	2	1
261	одном из	1	1
262	у тургенева	11	1
263	по крайней	1	1
264	есть еще	1	1
265	не должна	1	1
266	так он	1	1
267	в русской	3	1
268	в какую-то	1	1
269	правда в	1	1
270	первая часть	1	1
271	реального значения	1	1
272	не могло	1	1
273	же время	5	1
274	приближаемся к	1	1
275	мыслей и	1	1
276	того в	1	1
277	по своей	1	1
278	за исключением	1	1
279	и мире	1	1
280	во всем	1	1
281	это слово	1	1
282	и его	3	1
283	начиная с	2	1
284	мысли на	2	1
285	в одну	2	1
286	на это	2	1
287	у себя	1	1
288	свою очередь	1	1
289	это будет	1	1
290	на основе	2	1
291	знать этого	1	1
292	следовательно и	1	1
293	никогда не	2	1
294	конкретных фактов	1	1
295	чем у	1	1
296	имеется в	1	1
297	использованы в	1	1
298	о котором	1	1
299	в известной	1	1
300	может в	1	1
301	о нем	6	1
302	в фельетоне	1	1
303	не стоит	1	1
304	затем в	1	1
305	к нему	1	1
306	но он	3	1
307	крайней мере	1	1
308	котором он	1	1
309	вслед за	1	1
310	также в	1	1
311	не знаю	1	1
312	в него	2	1
313	быть и	1	1
314	но с	1	1
315	оказалось что	1	1
316	года и	1	1
317	проникнуть в	1	1
318	в себе	2	1
319	знать его	1	1
320	что ж	2	1
321	от них	1	1
322	литературе и	1	1
323	это же	1	1
324	сколько в	1	1
325	говорить об	1	1
326	своим собственным	1	1
327	в начале	6	1
328	целого ряда	1	1
329	при помощи	2	1
330	мы знаем	2	1
331	для него	2	1
332	и их	1	1
333	с различными	1	1
334	никто не	1	1
335	то время	1	1
336	отношении к	1	1
337	каждый из	1	1
338	остается за	1	1
339	так не	1	1
340	последнего в	1	1
341	что тот	1	1
342	труд и	1	1
343	такое же	1	1
344	что для	1	1
345	выше и	1	1
346	более того	1	1
347	больших и	1	1
348	не об	1	1
349	мнение о	1	1
350	из которых	1	1
351	не знал	1	1
352	тургенева в	7	1
353	наряду с	3	1
354	в первой	1	1
355	в эту	2	1
356	выписку из	2	1
357	указанием на	1	1
358	ли не	1	1
359	и верной	1	1
360	об одном	1	1
361	не любил	1	1
362	которых он	1	1
363	уже на	1	1
364	и от	1	1
365	это можно	1	1
366	это во	1	1
367	в те	3	1
368	у которого	1	1
369	этот рассказ	2	1
370	же в	2	1
371	но вот	1	1
372	давно уже	3	1
373	несмотря на	4	1
374	нам не	1	1
375	в период	2	1
376	а о	1	1
377	в свою	2	1
378	было считать	1	1
379	со мной	1	1
380	они как	1	1
381	к этому	3	1
382	к этой	1	1
383	помощью которых	1	1
384	только не	1	1
385	который не	1	1
386	все что	1	1
