N	4gram	Losev_Prob_1	Problema
1	с точки зрения самого	1	2
2	и в то же	1	2
3	мы можем говорить о	1	2
4	и тем не менее	8	1
5	дело в том что	3	1
6	без всякой оглядки на	1	1
7	и с точки зрения	1	1
8	что бы то ни	1	1
9	на самом же деле	1	1
10	и в том и	1	1
11	сказать и о других	1	1
12	не выходит за пределы	1	1
13	бы то ни стало	1	1
14	в то время как	1	1
15	не для того чтобы	1	1
16	которой можно было бы	1	1
17	не что иное как	2	1
18	не говоря уже о	1	1
19	во что бы то	1	1
20	но в то же	1	1
21	с другой стороны все	1	1
22	и в этом отношении	1	1
23	том и в другом	1	1
24	не чем иным как	1	1
25	на то что в	1	1
26	может иметь значение только	1	1
27	так и в его	1	1
28	в том и в	1	1
29	нет а имеются только	1	1
30	есть не что иное	2	1
