N	2gram	Potebnia_M_4	Myshleni
1	в том	23	42
2	том что	12	35
3	в процессе	3	27
4	таким образом	24	25
5	в развитии	1	25
6	в этом	23	24
7	точки зрения	4	24
8	в качестве	1	21
9	и в	23	20
10	что в	17	19
11	заключается в	1	18
12	детской мысли	1	17
13	то же	14	16
14	не только	10	15
15	то что	29	15
16	как мы	2	13
17	в их	1	12
18	что ребенок	1	12
19	при этом	15	12
20	может быть	26	12
21	с другой	2	12
22	потому что	33	12
23	с точки	3	11
24	в его	5	11
25	так же	4	11
26	этого слова	7	11
27	мы должны	2	11
28	и то	5	10
29	на основе	1	10
30	в истории	4	10
31	в себе	14	10
32	в отношении	1	10
33	того что	14	10
34	мы видим	2	10
35	только в	15	10
36	если мы	2	10
37	так как	14	10
38	того же	1	9
39	могли бы	4	9
40	и как	2	9
41	как и	14	9
42	понятия и	1	9
43	между тем	9	9
44	мы могли	2	9
45	что и	7	9
46	тот же	2	9
47	с одной	1	9
48	слова в	3	9
49	одной стороны	1	9
50	как это	1	9
51	другой стороны	1	9
52	но и	11	9
53	и тем	4	8
54	понятия в	1	8
55	было бы	8	8
56	тогда когда	8	8
57	и что	7	8
58	вместе с	6	8
59	и не	18	8
60	значения слова	1	8
61	самом деле	3	7
62	один и	5	7
63	в образовании	1	7
64	и тот	3	7
65	в своей	1	7
66	значение слова	5	7
67	и более	4	7
68	тем самым	4	7
69	могут быть	7	7
70	же самое	4	7
71	того чтобы	4	7
72	в собственном	1	7
73	тем что	10	7
74	этом отношении	1	7
75	понятия не	1	7
76	а не	12	7
77	что мы	10	7
78	смысле этого	1	7
79	как бы	5	7
80	в самом	3	6
81	той же	3	6
82	и на	3	6
83	этот процесс	1	6
84	те же	3	6
85	с тем	7	6
86	мы видели	1	6
87	одного и	1	6
88	к одному	3	6
89	на каждом	1	6
90	к тому	3	6
91	можно было	2	6
92	в силу	7	6
93	его в	4	6
94	что он	4	6
95	каждом шагу	1	6
96	уже в	5	6
97	не может	11	6
98	же предмет	1	6
99	слово в	4	6
100	сказать что	8	6
101	речь идет	1	5
102	мы уже	3	5
103	мышления мы	1	5
104	как в	7	5
105	с этим	7	5
106	все же	1	5
107	перед нами	1	5
108	и к	6	5
109	в действительности	3	5
110	увидим что	1	5
111	все эти	3	5
112	на то	7	5
113	одной и	1	5
114	это не	7	5
115	это положение	1	5
116	в действии	1	5
117	и того	1	5
118	и тому	1	5
119	только не	3	5
120	и его	2	5
121	никогда не	3	5
122	так и	6	5
123	если бы	13	5
124	о том	8	5
125	обе эти	1	5
126	мы можем	10	5
127	для того	6	5
128	в частности	1	5
129	слова и	5	5
130	что слова	1	5
131	что такое	7	5
132	тем же	1	4
133	этот предмет	1	4
134	в сущности	2	4
135	в своем	8	4
136	как уже	1	4
137	его к	2	4
138	в нашем	2	4
139	и те	1	4
140	состоит в	2	4
141	и с	4	4
142	уже сказано	1	4
143	на первый	1	4
144	и при	2	4
145	по известному	1	4
146	и той	1	4
147	которые в	1	4
148	не в	11	4
149	тому что	2	4
150	возникает в	1	4
151	что с	1	4
152	становится возможным	1	4
153	роль в	1	4
154	на том	2	4
155	по мере	7	4
156	и только	3	4
157	словом и	1	4
158	только что	3	4
159	в сознании	4	4
160	по выражению	1	4
161	из них	1	4
162	друг друга	2	4
163	образом что	2	4
164	в области	2	4
165	в речи	3	4
166	тех и	1	4
167	по своему	2	4
168	обратимся к	1	4
169	в смысле	3	4
170	и для	2	4
171	для нас	14	4
172	между ними	4	4
173	указывают на	1	4
174	во всяком	5	4
175	что понятия	1	3
176	идет о	1	3
177	на деле	2	3
178	в виду	3	3
179	значением слова	1	3
180	столь же	2	3
181	в чем	1	3
182	тем как	2	3
183	понятий но	1	3
184	неизмеримо более	1	3
185	следующим образом	1	3
