N	4gram	Voloshinov_1	FransuaR
1	в то же время	5	6
2	но в то же	3	3
3	в целом ряде других	1	1
4	и не может быть	1	1
5	и связанное с ним	1	1
6	или во всяком случае	1	1
7	одной и той же	1	1
8	таким образом он дает	1	1
9	во всяком случае в	1	1
10	мы можем сказать что	2	1
11	помимо воли и сознания	1	1
12	этом мы можем закончить	1	1
13	яркое выражение в его	1	1
14	дело в том что	1	1
15	не может быть ничего	1	1
16	не теряет своей силы	1	1
17	то же время это	1	1
18	на этом мы можем	1	1
19	один и тот же	2	1
20	смысл и значение в	1	1
21	здесь нам важно лишь	1	1
