N	2gram	Bakhtin_Fr_3	Retstnzi
1	не может	3	4
2	и в	40	3
3	один из	4	2
4	нет и	1	1
5	в особенности	5	1
6	смысл и	1	1
7	и не	13	1
8	тому что	1	1
9	не только	13	1
10	художественного произведения	1	1
11	связи с	6	1
12	и истории	1	1
13	точки зрения	2	1
14	конечно и	1	1
15	но и	11	1
16	не менее	2	1
17	в системе	2	1
18	с другими	1	1
19	именно с	1	1
20	в ней	4	1
21	впадает в	1	1
22	с теми	1	1
23	в то	6	1
24	с точки	1	1
25	и на	8	1
26	для него	5	1
27	мы видим	5	1
28	влияния на	1	1
29	в анализе	1	1
30	литературного произведения	1	1
31	в языке	2	1
32	на нее	1	1
33	а не	5	1
34	может быть	9	1
35	при анализе	2	1
36	вполне понятно	1	1
37	несмотря на	1	1
38	в его	13	1
39	он в	2	1
40	же время	6	1
41	то же	7	1
42	и все	9	1
43	из этих	2	1
44	если бы	3	1
