N	3gram	Vinokur_Ku_2	OGranits
1	с точки зрения	8	5
2	не может быть	4	4
3	до тех пор	1	4
4	тех пор пока	1	3
5	что иное как	1	2
6	в самом деле	7	2
7	в зависимости от	4	2
8	в данном случае	1	2
9	с одной стороны	1	2
10	с другой стороны	7	2
11	того или иного	2	2
12	ничего общего с	1	2
13	есть не что	1	2
14	с самого начала	1	2
15	не что иное	1	2
16	в том что	10	2
17	том что в	1	1
18	только потому что	6	1
19	этой точки зрения	2	1
20	иметь в виду	1	1
21	в виду что	1	1
22	на самом деле	2	1
23	с этим словом	1	1
24	можно говорить о	1	1
25	в отличие от	2	1
26	не было бы	1	1
27	только то что	1	1
28	в этом отношении	3	1
29	можно было бы	9	1
30	к слову в	1	1
31	может быть и	1	1
32	с этой точки	2	1
33	и в области	1	1
34	то или иное	2	1
35	в последнее время	1	1
36	постановка вопроса о	1	1
37	и пр с	1	1
38	в узком смысле	2	1
39	для того чтобы	8	1
40	так же как	2	1
41	может быть не	1	1
42	состоит в том	1	1
43	а также и	1	1
44	на основе такого	1	1
45	тем не менее	5	1
46	отношение к слову	1	1
47	но может быть	1	1
48	в связи с	3	1
49	чуть ли не	1	1
50	само по себе	5	1
51	прежде всего в	1	1
52	не должно быть	1	1
53	потому что они	1	1
54	что же такое	1	1
55	то же время	3	1
56	узком смысле слова	1	1
57	может быть это	1	1
58	те или иные	1	1
59	и никогда не	1	1
60	в конечном счете	2	1
61	несмотря на все	1	1
62	но что же	1	1
63	на то что	2	1
64	в то же	3	1
65	говорить и о	2	1
66	к тому что	1	1
67	тех или иных	1	1
68	социальной борьбы и	1	1
69	в предисловии к	1	1
70	языка но в	1	1
71	как и в	1	1
72	это особенно ясно	1	1
73	само собою разумеется	1	1
