N	2gram	Bakhtin_Pr_2	FransuaR
1	и в	45	49
2	то есть	50	32
3	прежде всего	11	19
4	в его	22	18
5	и на	7	17
6	не только	16	17
7	и его	8	17
8	в этом	20	15
9	и не	42	15
10	в году	1	13
11	в них	4	13
12	в эпоху	1	13
13	только в	9	13
14	но и	15	13
15	как и	14	11
16	и т.п	6	11
17	как бы	15	11
18	в этой	1	10
19	вовсе не	7	10
20	в нем	20	9
21	для него	9	9
22	и др	4	9
23	все это	5	9
24	в романе	3	9
25	в сущности	7	8
26	отношение к	8	8
27	до нас	1	8
28	то же	5	7
29	все же	4	7
30	все эти	4	7
31	таким образом	11	7
32	на протяжении	3	7
33	как мы	8	7
34	один из	2	7
35	не может	24	7
36	о мире	5	7
37	жизни и	15	7
38	мы уже	3	6
39	именно в	3	6
40	во всех	4	6
41	в истории	2	6
42	с их	4	6
43	так и	3	6
44	и с	7	6
45	рядом с	3	6
46	точки зрения	19	6
47	но он	1	6
48	в то	5	6
49	же время	3	6
50	в литературе	6	6
51	то что	5	6
52	здесь в	2	6
53	в творчестве	1	6
54	так как	5	6
55	сказать что	5	6
56	с точки	9	5
57	с его	8	5
58	из этих	1	5
59	но не	6	5
60	в своем	5	5
61	выражение в	3	5
62	при этом	2	5
63	в своей	6	5
64	никогда не	17	5
65	уже говорили	2	5
66	тот же	2	5
67	уже в	4	5
68	в начале	2	5
69	может быть	18	5
70	протяжении всего	2	5
71	в особенности	2	5
72	относится к	2	5
73	и потому	6	5
74	и смерти	7	5
75	в основном	1	5
76	отношения к	2	4
77	и до	4	4
78	и над	1	4
79	жить и	1	4
80	и к	2	4
81	но в	6	4
82	в себе	5	4
83	но все	4	4
84	лишь в	2	4
85	в жизни	3	4
86	в этих	4	4
87	и более	2	4
88	с ним	8	4
89	одна из	3	4
90	в области	2	4
91	на службу	2	4
92	она была	1	4
93	с другой	1	4
94	и мировоззрения	1	4
95	мы находим	1	4
96	а в	3	4
97	тем что	2	4
98	в форме	2	4
99	смерти и	1	4
100	до сих	2	4
101	не было	2	4
102	там где	6	4
103	и о	2	4
104	сих пор	2	4
105	том что	7	4
106	нового времени	3	4
107	в свое	2	4
108	в своих	4	4
109	как на	2	4
110	человека и	2	3
111	связана с	1	3
112	в самом	13	3
113	своего развития	2	3
114	на первом	1	3
115	место в	1	3
116	и со	2	3
117	меньшей степени	2	3
118	не был	2	3
119	точка зрения	7	3
120	менее всего	1	3
121	он пишет	1	3
122	правда о	2	3
123	да и	1	3
124	но именно	1	3
125	всех этих	1	3
126	но прежде	1	3
127	и вот	2	3
128	свое время	2	3
129	в плане	1	3
130	можно было	2	3
131	и других	3	3
132	было бы	4	3
133	из них	9	3
134	ни в	2	3
135	далеко не	4	3
136	несмотря на	1	3
137	мы видели	3	3
138	на земле	1	3
139	во всем	1	3
140	в одном	6	3
141	их в	7	3
142	даже в	6	3
143	его целом	3	3
144	xix веке	2	3
145	к этим	1	3
146	только с	1	3
147	с ее	3	3
148	в ее	3	3
149	так в	1	3
150	в xix	2	3
151	в последующих	2	3
152	но здесь	1	3
153	в виду	2	3
154	о том	3	3
155	другими словами	2	3
156	к нему	11	3
157	утрачивает свою	2	3
158	наконец в	1	3
159	нас дошли	1	3
160	же в	1	3
161	большей или	1	3
162	образов и	1	3
163	что он	7	3
164	мире и	1	3
165	с одной	1	3
166	не дает	1	3
167	этом отношении	2	3
168	и особенно	2	3
169	связан с	2	3
170	или меньшей	1	3
171	что для	2	3
172	превращается в	4	3
173	нужно сказать	1	3
174	связь с	2	3
175	о чем	1	3
176	видит в	1	3
177	первом плане	1	3
178	например у	1	3
179	в книге	1	3
180	его творчества	5	3
181	и перед	1	3
182	и все	1	3
183	в большей	1	3
184	в том	8	3
185	жизни в	2	3
186	другой стороны	1	3
187	одним из	3	2
188	такова была	1	2
189	на самом	1	2
190	своего романа	2	2
191	на материале	3	2
192	он как	3	2
193	ведущую роль	1	2
194	на мир	2	2
195	в ней	7	2
196	литературы и	1	2
