N	3gram	Voloshinov_1	VLabPisa
1	в этом отношении	1	13
2	не может быть	3	8
3	в конечном счете	2	5
4	можно сказать что	3	4
5	не могут быть	2	4
6	в связи с	1	4
7	в том что	1	4
8	это и есть	1	3
9	о том что	2	3
10	в основных чертах	1	3
11	как это делает	1	3
12	вместе с тем	1	3
13	в этом и	1	2
14	подобно тому как	1	2
15	с одной стороны	1	2
16	во всех его	2	2
17	мы знаем что	1	2
18	до сих пор	3	2
19	этой точки зрения	1	2
20	можно было бы	1	2
21	нет никаких оснований	2	2
22	и художественного творчества	3	2
23	для того чтобы	1	2
24	во всяком случае	3	2
25	по крайней мере	3	2
26	на язык сознания	1	1
27	фрейд и его	3	1
28	не чем иным	1	1
29	мы полагаем что	3	1
30	в этом смысле	3	1
31	что в них	1	1
32	бы он был	1	1
33	сознательное и бессознательное	2	1
34	по сравнению с	3	1
35	художественного творчества и	1	1
36	одну и ту	1	1
37	но даже и	1	1
38	еще в году	1	1
39	если бы он	1	1
40	может быть при	1	1
41	таким образом и	1	1
42	имеем дело с	1	1
43	его не интересует	1	1
44	имеем в виду	1	1
45	том что мы	1	1
46	как один из	1	1
47	то же самое	1	1
48	вспомним хотя бы	1	1
49	и др и	1	1
50	для него чисто	1	1
51	но вместе с	1	1
52	и может быть	2	1
53	как мы знаем	1	1
54	все то что	2	1
55	чем иным как	1	1
56	в том смысле	1	1
57	и не должна	1	1
58	той или иной	1	1
59	в применении к	1	1
60	очень близко к	1	1
61	во время сна	1	1
62	по его мнению	1	1
63	в каком направлении	1	1
64	и ту же	1	1
65	жизнь в его	1	1
66	в самом деле	2	1
67	как это было	1	1
68	может быть даже	1	1
69	так называемое бессознательное	1	1
70	со всех сторон	1	1
71	быть сведены все	1	1
72	между собою в	1	1
73	же как и	1	1
74	по аналогии с	2	1
75	так же как	2	1
76	а вместе с	1	1
77	в данном случае	1	1
78	с этой точки	1	1
79	можно определить как	2	1
