N	3gram	Bakhtin_Pr_4	RusskieA
1	в том что	2	18
2	в этом случае	1	6
3	в данном случае	1	6
4	и в других	2	4
5	так же как	1	4
6	о том что	2	4
7	в этих случаях	2	3
8	в отличие от	3	3
9	не может быть	8	3
10	о том же	2	3
11	но она не	1	2
12	и в некоторых	1	2
13	же как и	1	2
14	мы не будем	1	2
15	на самом же	1	2
16	самом же деле	1	2
17	после того как	1	2
18	с одной стороны	1	2
19	а именно в	1	2
20	все это позволяет	1	1
21	а между тем	1	1
22	не может не	1	1
23	прежде всего как	1	1
24	нужно иметь в	1	1
25	на себя внимание	2	1
26	иметь в виду	1	1
27	в виду что	1	1
28	более или менее	3	1
29	где есть в	1	1
30	в том же	1	1
31	и во многих	1	1
32	со смехом и	1	1
33	но и в	2	1
34	как мы увидим	3	1
35	между тем как	1	1
36	а может быть	1	1
37	можно было бы	2	1
38	сюда же относится	1	1
39	можно наблюдать что	1	1
40	может быть и	1	1
41	там где есть	1	1
42	во всяком случае	1	1
43	не входит в	1	1
44	остановиться несколько подробнее	1	1
45	дело в том	2	1
46	с другой стороны	3	1
47	можно сказать что	2	1
48	а не на	1	1
49	жизни в этом	1	1
50	они как бы	1	1
51	как мы уже	2	1
52	до некоторой степени	1	1
53	дело не в	1	1
54	как и в	3	1
55	в последний раз	2	1
