N	2gram	Propp_Russ_2	BTomashe
1	у нас	4	3
2	и не	1	2
3	все это	10	2
4	в ней	1	2
5	можно было	2	2
6	более подробно	1	1
7	по теории	1	1
8	более что	1	1
9	тем более	1	1
10	остановиться на	1	1
11	также что	2	1
12	говорить о	1	1
13	будто бы	5	1
14	об этом	2	1
15	и в	29	1
16	и о	3	1
17	к ней	2	1
18	что все	1	1
19	с другой	2	1
20	в своей	2	1
21	своей книге	2	1
22	на самом	2	1
23	на которой	1	1
24	как будто	1	1
25	не следует	1	1
26	было бы	3	1
27	все же	2	1
28	всяком случае	1	1
29	кроме того	2	1
30	еще не	6	1
31	и на	6	1
32	в пределах	1	1
33	нет но	1	1
34	прежде всего	2	1
35	в данном	6	1
36	и во	1	1
37	так и	1	1
38	о них	2	1
39	не было	2	1
40	то как	1	1
41	из своей	1	1
42	совершенно не	2	1
43	далеко не	4	1
44	можно в	1	1
45	до конца	3	1
46	а не	4	1
47	что в	22	1
48	другой стороны	1	1
49	также не	1	1
50	и ее	2	1
51	не все	4	1
52	отнюдь не	1	1
53	таким образом	6	1
54	вопрос о	4	1
55	и более	1	1
56	и потому	1	1
57	не только	10	1
58	во всяком	1	1
