N	2gram	Medvedev_F_3	Psycholo
1	то что	8	44
2	и в	27	33
3	в этом	18	28
4	и что	3	25
5	как бы	8	25
6	все время	6	24
7	потому что	7	24
8	для того	4	23
9	том что	4	22
10	того чтобы	5	22
11	может быть	25	22
12	что в	8	21
13	в том	7	21
14	о том	4	20
15	что он	6	20
16	как это	4	14
17	что это	3	13
18	таким образом	18	13
19	так же	9	13
20	и не	30	13
21	все это	7	13
22	сказать что	3	13
23	самом деле	16	12
24	в самом	11	12
25	было бы	6	12
26	все то	1	12
27	к тому	4	12
28	и все	8	12
29	если мы	7	12
30	так как	9	12
31	он не	1	11
32	на то	1	10
33	что она	2	10
34	если бы	12	10
35	рассказа и	1	10
36	в его	7	10
37	как она	1	10
38	не может	24	10
39	то же	15	9
40	в этой	2	9
41	и если	1	9
42	по себе	4	9
43	как раз	8	9
44	в конце	3	8
45	совершенно ясно	1	8
46	для этого	2	8
47	вместе с	6	8
48	характера и	1	8
49	в каком	2	8
50	в своем	2	7
51	не только	9	7
52	в нем	15	7
53	так что	1	7
54	и только	2	7
55	до конца	4	7
56	для нас	3	7
57	и т	11	6
58	на самом	14	6
59	в сущности	2	6
60	в ней	5	6
61	что они	5	6
62	все эти	6	6
63	в себе	3	6
64	точки зрения	16	6
65	но он	1	6
66	что эта	1	6
67	тому что	3	6
68	в самой	2	6
69	же самое	3	6
70	никак не	3	6
71	это не	3	6
72	мы видим	1	6
73	трагедии и	1	6
74	а не	17	6
75	что мы	1	6
76	мы должны	2	6
77	это и	2	5
78	мы уже	3	5
79	мы не	4	5
80	в целом	4	5
81	и на	3	5
82	с этим	1	5
83	все же	6	5
84	и как	4	5
85	как он	2	5
86	и может	1	5
87	ясно что	3	5
88	как и	14	5
89	нисколько не	2	5
90	самого начала	1	5
91	никогда не	5	5
92	и его	19	5
93	и это	2	5
94	с самого	1	5
95	и совершенно	1	5
96	с ним	1	5
97	в какой	3	5
98	что для	1	5
99	вовсе не	28	5
100	мы можем	4	5
101	фабулы и	1	5
102	из этого	4	5
103	той же	3	4
104	говорит о	1	4
105	мы совершенно	1	4
106	не будет	1	4
107	с тем	7	4
108	для чего	2	4
109	слова и	4	4
110	смысл и	4	4
111	этот материал	1	4
112	в своей	6	4
113	знаем что	2	4
114	с точки	14	4
115	одна из	2	4
116	на него	1	4
117	а в	1	4
118	с другом	1	4
119	у нас	3	4
120	так например	1	4
121	как мы	8	4
122	и о	1	4
123	можно было	1	4
124	жизнь и	3	4
125	даны в	1	4
126	об этом	1	4
127	о нем	3	4
128	не просто	1	4
129	того что	3	4
130	в двух	1	4
131	только в	8	4
132	и так	1	4
133	себя в	1	4
134	в жизни	11	4
135	и других	1	4
136	из них	2	4
137	от этих	2	4
138	смысла и	4	4
139	целым рядом	1	4
140	в частности	1	4
141	друг с	1	4
142	исходя из	1	4
143	с этой	1	4
144	совершенно не	7	4
145	жизни и	4	4
146	ее в	3	4
147	это в	1	4
148	к этому	2	4
149	в таком	2	4
150	же как	3	3
151	и сюжет	2	3
152	и до	1	3
153	и этот	1	3
154	в первый	1	3
155	говорить о	2	3
156	то это	1	3
157	что его	1	3
158	события в	1	3
159	слова как	2	3
160	но не	5	3
161	в сторону	2	3
162	от действительности	1	3
163	значение имеет	1	3
164	сама по	1	3
165	конце концов	2	3
166	как в	4	3
167	что именно	5	3
168	вот как	2	3
169	увидим что	2	3
170	от этого	2	3
171	не можем	2	3
172	та же	1	3
173	какой бы	2	3
174	на этом	2	3
175	в основу	2	3
176	его в	7	3
177	уже знаем	2	3
178	должен был	1	3
179	ни в	8	3
180	этого слова	2	3
181	должно быть	1	3
182	всех этих	2	3
183	но если	2	3
184	в которых	3	3
185	т п	5	3
186	их в	3	3
187	тому чтобы	1	3
188	что этот	2	3
189	тем самым	1	3
190	она не	4	3
191	в то	7	3
192	в основе	3	3
193	мы все	1	3
194	пути и	1	3
195	больше того	1	3
196	материала в	5	3
197	и для	6	3
198	во все	1	3
199	с ее	2	3
200	в пределах	8	3
201	в мире	1	3
202	так и	21	3
203	и здесь	1	3
204	что и	2	3
205	том как	2	3
206	дело с	3	3
207	с одной	1	3
208	конечно не	4	3
209	на сцене	1	3
210	был бы	2	3
211	всяком случае	6	3
212	могло бы	1	3
213	в одном	1	3
214	сами по	2	3
215	из нее	2	3
216	тем что	5	3
217	и из	2	3
218	до сих	1	3
219	но и	10	3
220	здесь в	1	3
221	и затем	1	3
222	не было	1	3
223	одной стороны	1	3
224	совершенно одинаково	1	3
225	он говорит	1	3
226	в той	3	3
227	смысле этого	2	3
228	мы условно	1	3
229	рассказа в	1	3
230	да и	4	3
231	сих пор	1	3
232	при таком	1	3
233	тот же	1	3
234	бы его	1	3
235	в своих	6	3
236	во всяком	6	3
237	нем нет	1	2
238	прав когда	1	2
239	сам по	1	2
240	и то	1	2
241	он может	2	2
242	между двумя	1	2
243	все те	1	2
244	с таким	2	2
245	мы имеем	1	2
246	нам в	1	2
247	так чтобы	2	2
248	на тему	2	2
249	и ее	6	2
250	это время	1	2
251	литературы и	3	2
252	художественный прием	2	2
253	не был	1	2
254	столь же	3	2
255	бы то	4	2
256	так если	1	2
257	с его	2	2
258	во всех	3	2
259	себе и	1	2
260	со стороны	4	2
261	оно является	1	2
262	она есть	3	2
263	они действительно	1	2
264	в одной	5	2
265	в художественном	5	2
266	нам кажется	2	2
267	в круг	1	2
268	и сюжета	1	2
269	не в	12	2
270	в каком-то	1	2
271	в действительности	9	2
272	но в	6	2
273	тому как	5	2
274	бы и	3	2
275	бы не	2	2
276	из этих	2	2
277	если он	1	2
278	при этом	8	2
279	т д	6	2
280	тем и	1	2
281	одной и	2	2
282	что ни	2	2
283	в нее	1	2
284	на все	2	2
285	время развития	1	2
286	совершенно непонятно	2	2
287	говорит эйхенбаум	2	2
288	в них	3	2
289	о которых	1	2
290	сюжета мы	1	2
291	когда вся	1	2
292	такой же	2	2
293	не больше	1	2
294	в такой	2	2
295	в котором	2	2
296	в их	1	2
297	место в	10	2
298	что говорит	1	2
299	и той	1	2
300	допустим что	2	2
301	и эти	1	2
302	быть не	1	2
303	быть передано	1	2
304	даже в	2	2
305	же мы	1	2
306	и именно	2	2
307	как много	2	2
308	только не	2	2
309	больше чем	1	2
310	же время	7	2
311	и является	4	2
312	не потому	1	2
313	этот закон	2	2
314	но все	1	2
315	лежит в	1	2
316	и конечно	1	2
317	в пьесе	1	2
318	что при	1	2
319	в ее	4	2
320	что такой	1	2
321	те же	3	2
322	и с	3	2
323	в словах	1	2
324	ничего не	2	2
325	можно сказать	3	2
326	в виду	3	2
327	все дело	1	2
328	сводится к	5	2
329	материала и	3	2
330	и та	1	2
331	но мы	1	2
332	знает что	1	2
333	но столь	1	2
334	один из	1	2
335	отца и	1	2
336	мы увидим	2	2
337	от одной	1	2
338	построения и	1	2
339	связи с	5	2
340	уже в	4	2
341	ни одного	1	2
342	в нашей	1	2
343	кажется что	2	2
344	его и	3	2
345	мы знаем	4	2
346	одно из	1	2
347	отклонения от	1	2
348	дело и	1	2
349	к самому	2	2
350	даже не	1	2
351	с другой	6	2
352	на ее	4	2
353	именно в	1	2
354	в каких	2	2
355	с той	1	2
356	фабула и	2	2
357	композиции как	1	2
358	прежде всего	4	2
359	а на	2	2
360	ничем не	1	2
361	не на	3	2
362	линии и	1	2
363	в руках	1	2
364	была бы	2	2
365	материал и	2	2
366	и потому	5	2
367	к другой	1	2
368	сюжета если	1	2
369	с такой	2	2
370	слов в	1	2
371	по существу	1	2
372	для понимания	1	2
373	который он	1	2
374	в это	1	2
375	и формы	5	2
376	та система	1	2
377	не является	5	2
378	совершается в	3	2
379	и от	11	2
380	в результате	5	2
381	его не	1	2
382	ее и	2	2
383	хотя бы	6	2
384	все они	1	2
385	слово в	2	2
386	героя и	2	2
387	и эта	3	2
388	другой стороны	5	2
389	а другой	1	2
390	самое и	1	2
391	в искусстве	7	2
392	этого романа	2	1
393	но наоборот	1	1
394	художественном произведении	3	1
395	который должен	1	1
396	от этой	1	1
397	уже готовые	1	1
398	он считает	2	1
399	таком случае	1	1
400	человека и	2	1
401	которая нашла	1	1
402	художественного произведения	7	1
403	того же	3	1
404	противоречие то	1	1
405	материал обычно	1	1
406	тем же	7	1
407	полагают что	1	1
408	прием и	2	1
409	в первом	1	1
410	к другому	2	1
411	не имеют	1	1
412	в какой-то	1	1
413	отдельных элементов	2	1
414	действительности и	6	1
415	к созданию	1	1
416	есть не	1	1
417	со всех	1	1
418	это делают	2	1
419	значение если	1	1
420	этого нет	1	1
421	к новой	1	1
422	не была	1	1
423	с толстым	1	1
424	требует от	1	1
425	завершение и	1	1
426	но даже	1	1
427	мы и	3	1
428	и со	2	1
429	так называемые	2	1
430	необходимо но	1	1
431	как таковые	1	1
432	еще не	6	1
433	это возможно	1	1
434	тем как	1	1
435	то мы	3	1
436	тристрам шенди	2	1
437	бы герой	1	1
438	правом может	1	1
439	в стихе	1	1
440	значение и	1	1
441	по отношению	3	1
442	в общем	2	1
443	очевидно что	2	1
444	менее всего	4	1
445	ведь мы	2	1
446	и речи	2	1
447	за пределы	2	1
448	и чем	1	1
449	связи и	2	1
450	в истории	5	1
451	же цели	1	1
452	своего пути	1	1
453	и сделал	1	1
454	независимо от	5	1
455	его со	2	1
456	стороны и	2	1
457	нового и	3	1
458	такой связи	1	1
459	роль играет	1	1
460	факт как	1	1
461	бы возникнуть	1	1
462	со своей	1	1
463	значения как	1	1
464	очень многие	1	1
465	из жизни	1	1
466	не даны	1	1
467	формы в	3	1
468	так или	1	1
469	в нашем	1	1
470	этом фоне	2	1
471	ни одна	1	1
472	прямой и	1	1
473	смысла но	2	1
474	только один	2	1
475	говорят о	2	1
476	и те	4	1
477	но ведь	4	1
478	не могла	1	1
479	так сказать	5	1
480	главным образом	2	1
481	они совершенно	1	1
482	в поэтике	1	1
483	исполнения и	3	1
484	образом для	1	1
485	теперь это	1	1
486	нашла свое	1	1
487	в корне	4	1
488	вообще не	2	1
489	между материалом	1	1
490	чем она	1	1
491	его от	2	1
492	подобно тому	4	1
493	теперь с	1	1
494	он недаром	1	1
495	речи его	1	1
496	находящийся в	1	1
497	мы обнаруживаем	1	1
498	в одну	1	1
499	то ни	4	1
500	его произведения	1	1
501	факт что	1	1
502	указывали на	1	1
503	материалом и	2	1
504	до бесконечности	1	1
505	или со	1	1
506	зрения на	1	1
507	противоположного характера	1	1
508	все их	1	1
509	те или	1	1
510	или просто	1	1
511	искусства в	3	1
512	от одного	2	1
513	его слов	1	1
514	раз он	1	1
515	этом романе	3	1
516	этом смысле	2	1
517	это противоречие	2	1
518	между смыслом	2	1
519	чисто художественные	1	1
520	это целое	1	1
521	еще одно	1	1
522	даже что	2	1
523	это событие	1	1
524	и романа	1	1
525	от действия	2	1
526	за ним	1	1
527	но уже	2	1
528	исходили из	2	1
529	слагаются в	2	1
530	шкловский и	1	1
531	можно считать	1	1
532	форма и	1	1
533	произведение с	2	1
534	на первый	1	1
535	в эту	2	1
536	в этих	3	1
537	вещи в	1	1
538	для него	1	1
539	та что	1	1
540	жизнь не	4	1
541	полностью в	1	1
542	что такая	1	1
543	какие бы	2	1
544	мы конечно	1	1
545	она в	1	1
546	не от	2	1
547	от его	3	1
548	для всякого	1	1
549	значение для	1	1
550	для объяснения	1	1
551	этим еще	1	1
552	его развертывание	1	1
553	является только	1	1
554	совершенно разные	1	1
