N	2gram	Losev_Dial_3	Mirosoze
1	может быть	13	30
2	не только	23	29
3	и в	24	28
4	не может	19	28
5	но и	9	25
6	а не	26	25
7	он не	5	24
8	в этом	8	20
9	не было	3	18
10	у него	2	17
11	не в	3	16
12	потому что	7	16
13	это –	16	16
14	в ней	2	15
15	и есть	16	14
16	он был	1	14
17	никогда не	7	14
18	в нем	3	13
19	и он	2	12
20	и это	4	12
21	он –	7	12
22	в самом	7	11
23	для него	4	11
24	и не	27	11
25	в своем	3	10
26	было бы	5	10
27	бога и	1	10
28	что в	7	10
29	свободы и	1	10
30	в мире	1	10
31	прежде всего	8	10
32	что он	13	10
33	был бы	1	10
34	и потому	2	10
35	и все	6	10
36	те которые	1	9
37	но он	1	9
38	и его	5	9
39	не есть	54	9
40	в его	2	9
41	из самых	3	8
42	в глубине	1	8
43	в котором	1	8
44	но не	2	8
45	но в	2	7
46	в себе	2	7
47	быть может	3	7
48	в самой	1	7
49	к нему	3	7
50	того что	12	7
51	нет ничего	9	7
52	должна быть	6	6
53	и на	3	6
54	в которой	1	6
55	свобода и	1	6
56	все в	1	6
57	только в	5	6
58	вместе с	1	6
59	все это	6	6
60	человек и	1	6
61	в том	5	6
62	христа в	1	5
63	нет и	4	5
64	если он	1	5
65	от нее	1	5
66	это не	4	5
67	как и	7	5
68	если нет	4	5
69	что есть	4	5
70	у нас	4	5
71	не могут	4	5
72	то что	14	5
73	у человека	2	5
74	и я	3	5
75	– не	7	5
76	мира и	3	5
77	есть свобода	1	5
78	отношения к	1	4
79	или к	2	4
80	это и	7	4
81	и этот	1	4
82	есть не	9	4
83	за пределы	3	4
84	духа и	1	4
85	чем его	1	4
86	чем у	1	4
87	не к	1	4
88	не как	1	4
89	и по	2	4
90	в них	5	4
91	в этих	1	4
92	точки зрения	25	4
93	в их	2	4
94	человека но	1	4
95	к ней	1	4
96	она не	3	4
97	иной мир	1	4
98	мог бы	1	4
99	– о	1	4
100	что и	6	4
101	значит что	24	4
102	уже не	5	4
103	есть уже	1	4
104	а в	2	4
105	тем что	3	4
106	нет в	1	4
107	свободе и	1	4
108	с этой	5	4
109	которых он	1	4
110	от него	1	4
111	не знает	3	4
112	его не	2	3
113	человека у	1	3
114	и мира	4	3
115	с его	2	3
116	с этим	3	3
117	бы и	1	3
118	вера в	1	3
119	и вот	2	3
120	свобода есть	1	3
121	на этом	2	3
122	и с	6	3
123	то есть	1	3
124	его в	1	3
125	только одно	2	3
126	мир в	3	3
127	не мог	1	3
128	том что	8	3
129	но если	6	3
130	мира не	1	3
131	не имеет	11	3
132	– все	3	3
133	ничего не	17	3
134	природы в	1	3
135	в движении	1	3
136	к тому	4	3
137	которая есть	1	3
138	в ее	1	3
139	учение о	8	3
140	только и	2	3
141	для философии	1	3
142	в него	1	3
143	социальной среды	1	3
144	себя в	2	3
145	конечно не	4	3
146	одно из	5	3
147	не так	1	3
148	так как	6	3
149	– к	1	3
150	себя и	2	3
151	людьми и	1	3
152	я хочу	1	3
153	о себе	2	3
154	плоти и	2	3
155	это есть	8	3
156	это значит	24	3
157	должно быть	3	3
158	он должен	3	3
159	потому не	1	3
160	для нас	2	3
161	христа и	1	3
162	хотя бы	4	3
163	есть и	12	3
164	также и	2	2
165	чтобы не	1	2
166	в этот	1	2
167	высшей степени	1	2
168	к чему	1	2
169	а как	1	2
170	ни того	9	2
171	вопрос о	5	2
172	время как	4	2
173	в виду	7	2
174	истории в	1	2
175	природу в	1	2
176	себе и	1	2
177	что дух	4	2
178	– значит	4	2
179	в истории	4	2
180	т е	48	2
181	всего –	1	2
182	все же	3	2
183	и как	8	2
184	и к	5	2
185	от этого	1	2
186	чего же	1	2
187	и у	2	2
188	личности но	1	2
189	все эти	3	2
190	самого себя	1	2
191	только один	1	2
192	вообще не	2	2
193	если бы	6	2
194	он ни	1	2
195	было с	1	2
196	не значит	3	2
197	них нет	1	2
198	людей и	2	2
199	человека –	1	2
200	я бы	3	2
201	тому чтобы	1	2
202	– он	1	2
203	с самим	1	2
204	бытия но	1	2
205	истории и	4	2
206	в ином	1	2
207	чем в	1	2
208	место в	1	2
209	оказывается что	1	2
210	от его	2	2
211	сих пор	1	2
212	все –	2	2
213	этот мир	1	2
214	мир он	1	2
215	с которой	2	2
216	в то	5	2
217	в основе	3	2
218	бога не	2	2
219	по своей	1	2
220	на природу	1	2
221	и сама	5	2
222	в каком	3	2
223	личности в	2	2
224	когда мы	2	2
225	есть только	12	2
226	могут быть	2	2
227	отличается от	8	2
228	всего в	1	2
229	его с	1	2
230	как для	1	2
231	должен быть	1	2
232	и уж	2	2
233	решить вопрос	1	2
234	отношения и	1	2
235	и от	3	2
236	человеческого сознания	1	2
237	то время	4	2
238	и что	15	2
239	и когда	2	2
240	есть также	2	2
241	разного рода	2	2
242	с ним	1	2
243	и нужно	2	2
244	о нем	4	2
245	о том	6	2
246	и во	2	2
247	у всех	1	2
248	и она	2	2
249	и мир	1	2
250	существует не	1	2
251	же можно	2	2
252	духа как	1	2
253	философии но	1	2
254	жизни и	5	2
255	был ли	1	2
256	никто не	2	2
257	ведь это	2	2
258	нет никаких	2	2
259	даже и	7	2
260	для того	3	2
261	момент в	1	2
262	личность и	2	2
263	в свой	1	2
264	до сих	1	2
265	мы еще	1	2
266	на людей	1	2
267	его как	3	2
268	о чем	1	2
269	он и	3	2
270	есть одно	1	2
