N	3gram	Tiupa_Narr_2	Komedia
1	до сих пор	1	9
2	в том что	8	9
3	в самом деле	1	6
4	для того чтобы	1	6
5	в то же	3	4
6	о том что	4	4
7	то же время	3	4
8	к тому же	4	4
9	по отношению к	5	3
10	с точки зрения	2	3
11	и т п	2	3
12	в связи с	1	3
13	во всяком случае	1	3
14	с одной стороны	5	3
15	тем не менее	4	3
16	то же самое	1	3
17	хотя и не	2	2
18	состоит в том	4	2
19	так или иначе	1	2
20	по сравнению с	1	2
21	в этом отношении	3	2
22	то время как	1	2
23	в то время	1	2
24	в конечном счете	3	2
25	в обоих случаях	1	1
26	как уже говорилось	2	1
27	у меня в	1	1
28	более или менее	1	1
29	подобно тому как	2	1
30	в ответ на	2	1
31	в соответствии с	3	1
32	одной стороны и	1	1
33	в его присутствии	1	1
34	и в то	1	1
35	в зависимости от	1	1
36	в отличие от	5	1
37	тем же именем	1	1
38	и не может	2	1
39	может быть только	1	1
40	с этой точки	1	1
41	на мой взгляд	1	1
42	к себе и	2	1
43	он не наделен	1	1
44	как раз в	1	1
45	едва ли не	1	1
46	далеко не всегда	1	1
47	является ли это	1	1
48	не сводится к	6	1
49	сто лет до	1	1
50	но при этом	3	1
51	таким образом для	1	1
52	то что он	1	1
53	здесь не только	1	1
54	как бы в	2	1
55	всю свою жизнь	1	1
56	в случае с	1	1
57	об этом и	1	1
58	т п не	1	1
59	этой точки зрения	1	1
60	в себе самом	2	1
61	и для нас	1	1
62	более чем за	1	1
63	по своему характеру	1	1
64	так и в	1	1
65	можно сказать что	3	1
66	и не должен	1	1
67	было ясно что	1	1
68	в прошлом году	1	1
69	что у него	1	1
70	в основе своей	1	1
71	если говорить о	1	1
72	по своему происхождению	1	1
73	и не думал	1	1
74	он не владеет	1	1
75	она не могла	1	1
76	таким образом что	1	1
77	к тому что	3	1
78	за сто лет	1	1
79	к ней в	2	1
80	на то чтобы	2	1
81	и все его	1	1
