N	3gram	Propp_Morf_1	DiskursI
1	в том что	3	13
2	с одной стороны	1	9
3	по отношению к	4	9
4	о том что	1	5
5	с другой стороны	4	3
6	не может быть	9	3
7	сказки о животных	4	2
8	подобно тому как	5	2
9	можно сказать что	1	2
10	в е годы	1	2
11	состоит в том	2	2
12	более или менее	2	2
13	в волшебной сказке	1	2
14	что же касается	1	2
15	в данном случае	1	2
16	с самого начала	1	1
17	в таком случае	1	1
18	и даже не	1	1
19	в том случае	1	1
20	в большинстве случаев	3	1
21	о том как	1	1
22	к тому или	1	1
23	лежат в основе	1	1
24	в связи с	8	1
25	тех случаях когда	2	1
26	один из наиболее	1	1
27	как и в	2	1
28	до известной степени	1	1
29	на этом основании	1	1
30	до сих пор	1	1
31	в научной литературе	1	1
32	что далеко не	1	1
33	так например в	1	1
34	тех или иных	1	1
35	здесь как и	1	1
36	в противном случае	1	1
37	дело не в	2	1
38	в этом случае	8	1
39	потому что в	1	1
40	на русском языке	1	1
41	и то же	1	1
42	может быть названа	1	1
43	на самом деле	4	1
44	и может быть	1	1
45	под углом зрения	1	1
46	на то что	2	1
47	том случае если	1	1
48	можно указать на	1	1
49	к чему не	2	1
50	далеко не всегда	1	1
51	в этом отношении	1	1
52	до наших дней	2	1
53	между собой и	1	1
54	в тех случаях	2	1
55	но все же	3	1
56	ни к чему	2	1
57	одновременно с этим	1	1
58	которое может быть	2	1
59	далеко не все	3	1
60	в другом случае	1	1
61	или во всяком	1	1
62	с точки зрения	2	1
63	а не от	1	1
64	том что он	1	1
65	тем не менее	4	1
66	одно и то	1	1
67	она могла бы	1	1
68	во всяком случае	2	1
69	в том или	1	1
70	чему не обязывающий	1	1
